# This is a comment line to skip
name;salary;rating;score;description;summary
Terence Brown;63.0;18.1;23.2;"""Debitis quae magni eos quisquam; Voluptatum ; Saepe laborum distinctio error""";"""Note: Quas ipsum assumenda consectetur; then Perspiciatis corporis"""
Mr Cameron Saunders;48.0;89.1;94.2;"""(Deleniti iure laudantium soluta) ; Sapiente laborum culpa dolor a veritatis and Ut""";"""Vitae: Ratione beatae et; Sunt nemo maiores accusantium"""
Dr Declan Bentley;70.0;89.1;56.2;"""Nobis occaecati ut possimus blanditiis: Quidem velit ipsum; Veniam quasi culpa corrupti""";"""Sapiente numquam ipsa ea magni; Recusandae sunt iusto illo Sint ab amet voluptates quo"""
Diane Faulkner;75.0;74.1;95.2;"""(Ut id consequuntur sint a) ; Ratione ab and Dicta aut""";"""(Quibusdam iusto) ; Nostrum impedit dicta and Fugiat eligendi"""
Dr Eric Holloway;52.0;;69.2;"""Similique unde similique; Cupiditate dolores ; Accusamus voluptatibus ad dolore""";"""Cupiditate cumque; Quod dolorem ; Id quasi"""
Ms Francesca Fowler;90.0;56.1;2.2;"""Quas quas sit iusto temporibus iste; Quaerat commodi nesciunt debitis iusto ; Asperiores eius reprehenderit""";"""(Error assumenda id eos consequatur ipsa) ; Est explicabo and Sequi praesentium molestias quidem facilis officiis"""
Dr Aaron Morris;1.0;47.1;67.2;"""Labore impedit; Quidem vero Quaerat""";"""Note: Tempora itaque quibusdam; then Alias eum"""
Gemma Cross;80.0;21.1;73.2;"""Soluta: Necessitatibus animi fugiat; Assumenda quia""";"""Consectetur numquam assumenda; Ipsa commodi dolorem ; Nisi"""
Lee Hall;18.0;75.1;7.2;"""(Occaecati ad ad) ; Assumenda quasi ipsa reiciendis and Suscipit illo ab dicta fuga""";"""Note: Placeat odio aspernatur occaecati facere; then Blanditiis quasi aliquid alias"""
Mrs Clare Green;38.0;36.1;96.2;"""(Soluta totam qui qui) ; Cumque libero nostrum and Reprehenderit""";"""Note: Tempora aspernatur possimus; then Consequatur"""
Miss Georgina Donnelly;5.0;40.1;18.2;"""Delectus est: Ratione veniam enim mollitia at ex; Totam unde illum""";"""Accusamus repellat autem debitis veniam: Unde mollitia voluptate mollitia cupiditate; Sequi cupiditate cum"""
Cheryl Richardson;63.0;22.1;28.2;"""Note: Deleniti odit; then At quisquam cupiditate""";"""Blanditiis repellendus; Officiis debitis aperiam optio omnis ; Repellat ducimus"""
Mr Leon Todd;69.0;19.1;20.2;"""Note: Natus sit; then Expedita eum""";"""Note: Esse totam repellat tenetur enim natus; then Aliquam id"""
Abdul White-Mitchell;39.0;83.1;57.2;"""(Ad error recusandae doloremque asperiores) ; Eveniet itaque and Ut impedit molestias quae""";"""Sit; Fuga suscipit Delectus architecto voluptatum harum sunt doloribus"""
Dr Bryan Bolton;17.0;71.1;5.2;"""A dolorum modi similique esse: Optio debitis facere a; Reiciendis modi quasi culpa""";"""Earum iure; Officiis laboriosam temporibus Temporibus asperiores quis"""
x;4.0;97.1;8.2;"""Excepturi eum: Corrupti magni optio; Harum reiciendis commodi sint""";"""(Laboriosam) ; Aut numquam and Praesentium ea ut quia"""
Sian Khan;100.0;25.1;65.2;"""Note: Cumque; then Omnis""";"""Dolor vero iste; Saepe veritatis molestiae exercitationem earum ; Atque ad maxime pariatur praesentium eius"""
Lee Roberts;17.0;74.1;97.2;"""Velit eveniet; Natus ad ; Distinctio vel itaque possimus ratione""";"""(Laudantium explicabo odio vitae) ; Culpa minus provident and Distinctio nesciunt vitae"""
Mrs Chloe Jones;30.0;29.1;51.2;"""Facilis nesciunt veritatis aspernatur quaerat; Atque officia nihil vel Cum quos necessitatibus""";"""Commodi; Odio necessitatibus voluptatibus modi ; Maiores eligendi"""
Megan Adams;57.0;74.1;24.2;"""Similique reprehenderit excepturi tenetur; Alias repellendus ipsam ; Autem debitis aut ullam""";"""(Minima aliquid hic reprehenderit quasi accusantium) ; Facere exercitationem and Veritatis at ad repellendus dolores animi"""
Joyce Price;71.0;93.1;65.2;"""Note: Quia quidem veritatis; then Sed tenetur modi""";"""Aperiam ullam earum nihil quia; Magnam magni Soluta aperiam"""
Dr Mandy Hopkins;76.0;45.1;39.2;"""(Distinctio perspiciatis) ; Corrupti repellendus officia quis and Quae et inventore architecto molestiae""";"""(Doloribus architecto nesciunt) ; Iusto delectus and Eligendi laudantium blanditiis"""
Catherine Goddard;47.0;45.1;75.2;"""Consequatur dignissimos; Officiis aspernatur quisquam deserunt eligendi delectus Itaque incidunt eligendi omnis""";"""Note: Atque ipsam; then Est cumque velit harum laboriosam"""
Jill Hughes;91.0;2.1;49.2;"""Nisi sunt voluptatibus deserunt tenetur laborum; Quia ipsa magnam ; Incidunt""";"""(Mollitia ut) ; Doloremque quis eum in and Numquam dolores ea debitis est"""
Russell Jackson;5.0;81.1;31.2;"""Sit aspernatur reiciendis; In quam repellendus exercitationem ; Voluptatem""";"""Accusamus eum nulla non facere; Ducimus reiciendis Mollitia amet vero"""
Benjamin Johnson-Watkins;53.0;48.1;77.2;"""Note: Optio veritatis dolore; then Reiciendis praesentium""";"""(Hic laboriosam velit) ; Pariatur mollitia magni id and Sed magni"""
Rosemary Evans;78.0;89.1;53.2;"""Dolore animi: Pariatur et; Unde ut in occaecati nisi""";"""A autem nemo eligendi culpa; Consectetur architecto saepe ; Consequuntur incidunt perferendis"""
Leon Smith;50.0;81.1;37.2;"""Iusto; Laborum aliquid neque sapiente aspernatur minima Deleniti a autem eaque maiores""";"""(Quod dolorem ea) ; Debitis minima and Vitae tenetur ea aut aliquid blanditiis"""
Christopher Morton;89.0;53.1;;"""Note: Alias; then Explicabo cum""";"""Ea tenetur animi: Ullam eius dolores vel; Perspiciatis nulla eius natus modi deleniti"""
Peter Douglas;36.0;37.1;74.2;"""Distinctio aperiam eveniet; Et ; Eaque iusto odio""";"""Cupiditate nisi non: Optio nesciunt; Velit veritatis"""
