username;name;age;rating;price;description;note
lindsey_thomas_2657;Lindsey Williams-Thomas;15.0;48.1;19.2;"""Note: Dicta aspernatur sequi; then Sint provident quae architecto""";"""Maxime provident debitis exercitationem ratione veritatis; Quisquam minima voluptas alias Labore saepe"""
mohammad_miah_7756;Mohammad Miah;85.0;73.1;51.2;"""Note: Quisquam maxime dignissimos aut molestiae quis; then Ducimus""";"""(Ducimus vel) ; Blanditiis and Labore labore"""
bruce_mitchell_3391;Bruce Mitchell;69.0;9.1;80.2;"""Consequuntur aperiam inventore aspernatur; Nobis facilis laboriosam consequatur officiis ; Esse reiciendis""";"""Note: Nihil pariatur eligendi; then Aliquid molestias quos et nesciunt"""
billy_jones_4932;Billy Jones;35.0;72.1;65.2;"""Deserunt perferendis; Nam nihil consequuntur Tempora similique dolor quo""";"""(Sequi aspernatur reiciendis) ; Ab facere hic and Provident neque"""
liam_owen_8077;Liam Owen;45.0;100.1;18.2;"""(Ut voluptates consequuntur tempore dolores) ; Totam maiores officia ducimus and Nostrum expedita nesciunt""";"""(Enim praesentium ullam voluptatum) ; Reiciendis and Exercitationem asperiores"""
matthew_gray_3823;Matthew Ross-Gray;38.0;85.1;16.2;"""Note: Voluptate explicabo ullam architecto; then Cumque""";"""Cum totam doloribus modi; Saepe blanditiis quae adipisci Laudantium laboriosam error"""
hugh_young_9470;Hugh Young;38.0;1.1;38.2;"""Soluta rerum: Autem explicabo blanditiis reiciendis; Reprehenderit illo et enim""";"""Note: Quam at mollitia nisi nostrum dolorum; then Alias sapiente"""
allan_james_8247;Allan James;65.0;47.1;87.2;"""Note: Nemo suscipit perferendis odio; then Vel reiciendis id sunt""";"""Note: Ducimus molestias voluptates eaque; then Deleniti perferendis et modi dolorem necessitatibus"""
anne_hunt_8244;Anne Hunt;92.0;22.1;26.2;"""Natus eligendi provident; Omnis fugit atque placeat soluta ratione ; Voluptatem asperiores eaque""";"""Quos repellendus expedita dolores impedit culpa; Laboriosam earum ; Placeat corrupti optio nam deserunt earum"""
liam_richardson_0161;Liam Richardson;92.0;86.1;96.2;"""Officiis ducimus fugit accusantium ex voluptatum; Ad voluptas vitae Laborum minima in est""";"""(Similique aliquid suscipit) ; Quas sed excepturi architecto commodi and Omnis dignissimos perspiciatis"""
mark_farmer_9851;Mark Farmer;53.0;48.1;50.2;"""Nostrum dolore; Culpa quis ; Aut animi officiis eum""";"""Ad rerum; Nemo maxime temporibus Repudiandae dolorem enim fugiat tempora magnam"""
donna_atkinson_4833;Donna Atkinson;50.0;55.1;99.2;"""Repudiandae alias occaecati; Dicta deserunt molestias ; Eveniet enim ad""";"""Note: Iusto nesciunt eum amet laboriosam aut; then Alias labore"""
tracey_singh_9910;Tracey Singh;93.0;23.1;95.2;"""(Doloremque) ; Quasi facilis consectetur voluptate perferendis and Odit quaerat similique fuga""";"""Repellat ipsa eos; Dicta sequi ; Perspiciatis nam asperiores"""
joe_hill_9961;Joe Hill;9.0;31.1;91.2;"""Doloremque; Ipsa id ; Placeat accusamus""";"""Possimus officiis: Assumenda fugit; Praesentium aspernatur illo mollitia"""
dr_holland_3144;A;30.0;61.1;7.2;"""Excepturi esse totam ea; Nulla expedita expedita ; Corporis vero quia delectus dolorum""";"""Suscipit exercitationem: Corporis eum hic; At quas dolore nisi"""
elliott_hayes_5386;Elliott Hayes;;40.1;93.2;"""Culpa laborum enim; Illo aspernatur ; Assumenda assumenda""";"""Deleniti consectetur eos quas velit beatae; Sapiente laboriosam maxime sequi ; Necessitatibus"""
cameron_anderson_1620;Cameron Anderson;89.0;43.1;78.2;"""Note: Temporibus quod nihil; then Nihil dolores delectus""";"""Repellendus illo; Nostrum similique ; Eos culpa ex ratione voluptatum"""
guy_hopkins_7471;Guy Hopkins;51.0;23.1;42.2;"""Fuga accusamus tenetur; Enim porro fugiat ; Nesciunt atque delectus""";"""(Aspernatur ipsam facere) ; Ratione beatae and Optio itaque accusamus"""
norman_wood_0921;Norman Wood;58.0;86.1;69.2;"""(Perspiciatis quasi atque maiores) ; Saepe cupiditate mollitia totam nobis placeat and Repellat dolores ratione""";"""Note: Aperiam; then Laborum est"""
miss_brown_6591;Miss Maria Brown;92.0;19.1;84.2;"""Note: Sed; then Debitis similique suscipit similique""";"""Note: Dicta ipsum quas veritatis; then Veritatis unde neque"""
mr_kemp_1405;Mr Darren Kemp;4.0;33.1;15.2;"""(Architecto similique adipisci similique sequi ipsam) ; Labore modi and Assumenda impedit odio sed""";"""Accusantium labore; Ipsa Quibusdam laboriosam"""
alice_taylor_3757;Alice Taylor;75.0;20.1;49.2;"""Nisi exercitationem; A nobis ; Nostrum a""";"""Necessitatibus minima sed iure: Magnam esse vel occaecati aperiam; Necessitatibus totam ad doloremque veniam recusandae"""
