# This is a comment line to skip
username;total_count;price;review;comment
gerald_henderson_4558;23.0;30.1;"""Quidem optio nulla eius: Eos officiis; Modi quidem""";"""(Doloribus) ; Beatae iure eaque in dolore and Ullam sequi impedit"""
mr_roberts_2782;29.0;94.1;"""Laborum autem: Iusto quis; Laudantium nobis""";"""Note: Itaque quis; then Quod distinctio"""
irene_dixon_6131;30.0;20.1;"""Modi magni excepturi quasi minima totam; Velit veritatis ; Aspernatur nobis suscipit eum""";"""Veritatis laudantium itaque; Magnam aspernatur ; Nobis reiciendis"""
norman_henry_0472;100.0;11.1;"""Alias nisi commodi quam numquam voluptatum; Laudantium natus ; Officia temporibus occaecati eius quasi""";"""Laudantium aliquid quasi: Totam aut; Doloremque"""
shaun_middleton_1513;41.0;93.1;"""Velit doloremque molestias; Illum illum dolores ; Nemo rem labore voluptates voluptatum impedit""";"""Consequuntur laboriosam quod; Libero expedita laudantium similique iste ; Optio incidunt"""
mr_edwards_9435;71.0;44.1;"""(Aperiam) ; Provident doloribus and Earum maiores""";"""Adipisci unde: Iste totam voluptate qui culpa; Amet mollitia"""
sophie_knight_8369;4.0;91.1;"""Doloribus: Minima vel vitae; Beatae et""";"""Harum itaque magnam veniam corrupti; Vero doloribus Fuga exercitationem ad sunt in"""
sara_saunders_5721;52.0;26.1;"""Note: Iste ducimus suscipit; then Corrupti illo expedita""";"""(Aspernatur sint dolore optio fugit) ; Veniam and Officia aliquam"""
kate_johnson_2556;35.0;12.1;"""Consequuntur blanditiis; A ; Labore quas laboriosam""";"""Note: Voluptate unde quam; then Expedita cum"""
allan_ryan_1733;31.0;64.1;"""Dolores quos fuga sunt ipsum reiciendis: Molestias earum hic; Suscipit voluptates""";"""Necessitatibus rem error; Libero fugiat ipsum Magnam facere laboriosam neque"""
george_lee_4674;29.0;82.1;"""Quo facere distinctio; Sapiente sapiente deserunt inventore ; Odit incidunt officiis dignissimos""";"""Qui nobis excepturi praesentium dolor; Quibusdam illo esse quibusdam quisquam Similique quae dolorem"""
lynn_smith_3805;65.0;50.1;"""Sapiente; Nobis quibusdam Molestias quibusdam mollitia at asperiores ullam""";"""Possimus magnam amet unde; Esse neque labore Suscipit voluptate at"""
lewis_bell_5974;25.0;4.1;"""Dicta fugiat repellendus voluptatem minus; Error consectetur fugit Laboriosam""";"""Note: Quisquam maxime laboriosam; then Placeat provident sed totam"""
martyn_walker_3201;45.0;14.1;"""Note: Corrupti sed minus magnam; then Ex non corrupti amet suscipit""";"""(Eligendi recusandae a) ; Amet iure aspernatur dolores fugiat and Iure consectetur"""
vanessa_johnson_0525;41.0;24.1;"""Consectetur pariatur; Ut aut ; Neque repellendus ullam""";"""(Qui aliquam delectus inventore rerum assumenda) ; Cum veritatis quasi excepturi nam and Nulla ratione"""
amanda_smith_4561;70.0;85.1;"""Commodi officia cum non: Asperiores totam architecto; Nostrum quam non ea""";"""Note: Ipsa dolorem error expedita; then Harum ipsa quis delectus"""
mr_rogers_5639;39.0;42.1;"""Esse eius; Corporis ; Doloremque""";"""Qui deleniti veritatis pariatur quis; Officiis beatae Sunt eos illum saepe neque non"""
mr_kemp_9482;36.0;24.1;"""Note: Dolore porro; then Nulla atque at tenetur""";"""Note: Similique; then Placeat odio doloribus"""
dr_davis_6627;74.0;8.1;"""Voluptatum atque excepturi architecto mollitia harum; Magnam Atque fugiat accusamus sint facere nesciunt""";"""Quae optio; Dolorum perspiciatis suscipit dolorem ; Vitae aut"""
miss_smith_7200;43.0;32.1;"""Note: Nostrum libero; then Est perspiciatis voluptas rerum assumenda quisquam""";"""Modi voluptatum aperiam amet: Eius est expedita autem labore; Distinctio id atque"""
damian_atkinson_4297;94.0;100.1;"""Quas quidem; Quae Placeat""";"""(Inventore omnis nobis harum) ; Iure architecto and Dolorem"""
