# This is a comment line to skip
name;username;age;price;message;note
Jordan James;jordan_james_2890;70.0;2.1;"""Odio corporis fugit: Repudiandae consequuntur vitae; Magnam atque reprehenderit""";"""Earum quis totam; Dicta ; Odit occaecati"""
Dr Brandon Thomas;dr_thomas_1935;82.0;12.1;"""Ratione repellendus: Omnis; Occaecati nihil facilis""";"""Note: Suscipit autem nemo cum corporis eaque; then Repellendus magni nulla"""
Brandon Robinson;brandon_robinson_1070;45.0;8.1;"""Dolorum illo nesciunt voluptatibus: Perspiciatis impedit recusandae incidunt accusantium enim; Voluptatem provident""";"""Totam velit officiis; Quae modi Quisquam"""
Suzanne Simpson;suzanne_simpson_3236;36.0;35.1;"""Voluptas; Itaque expedita sapiente necessitatibus aliquam ; Ipsum dolorem animi cum""";"""Maiores aperiam; Provident magnam fugit sunt occaecati beatae Delectus recusandae"""
Douglas Jones-Grant;douglas_grant_9051;40.0;41.1;"""(Totam provident quasi reiciendis laboriosam) ; Ipsam facilis excepturi and Nulla alias asperiores natus voluptates""";"""Fuga; Quo dicta sequi illum ea ; Itaque dolore officia"""
Elliott Carter;elliott_carter_8851;36.0;45.1;"""Commodi optio: Nisi blanditiis nulla commodi debitis; Pariatur sequi praesentium commodi non ducimus""";"""Note: Vero repellat; then Distinctio"""
Melissa Reid;melissa_reid_2135;99.0;73.1;"""Suscipit aliquid dolor; Temporibus ; Occaecati""";"""(Ex impedit) ; Commodi ullam non aut ullam quae and Eum voluptatum maxime facere cupiditate"""
Holly Richards-Connor;holly_connor_5389;61.0;35.1;"""Note: Laudantium aliquid aut blanditiis; then Illo minima eaque ducimus magni""";"""Quidem; Aspernatur numquam Reiciendis deserunt"""
Graeme Robinson;graeme_robinson_2822;67.0;20.1;"""Veniam quisquam odit; Harum expedita dicta corrupti Nesciunt""";"""Necessitatibus placeat; Et vero ; Consequatur dicta"""
Dr Leigh Little;dr_little_3836;61.0;58.1;"""(Labore voluptas veniam illum) ; Fugiat ullam iure corrupti nihil and Sequi corporis soluta""";"""Consequuntur nobis; Voluptas nobis optio ; Unde incidunt"""
Diana Thorpe-Patel;diana_patel_4740;12.0;;"""Consequatur repellat; Quae fugit ; Consequuntur tenetur cupiditate tempore""";"""(Harum recusandae eos ut blanditiis) ; Voluptatum pariatur excepturi tenetur and Labore"""
Mr Derek Oliver;mr_oliver_4639;21.0;8.1;"""Note: Suscipit; then Rerum ab""";"""Doloremque similique et: Nihil amet inventore; Blanditiis totam provident iusto exercitationem"""
Charlie White;charlie_white_0229;87.0;84.1;"""Quam excepturi; Dolor eaque dolor Quam cupiditate""";"""Facere excepturi cumque vel et itaque; Nostrum ipsum nihil corporis quibusdam Esse enim"""
Cameron James;cameron_james_3842;54.0;39.1;"""Iste: Ipsam inventore sequi voluptate; Est labore et numquam""";"""Quis aut harum; Eligendi ducimus itaque ; Praesentium dolor voluptatem voluptas"""
e;gillian_connolly_0576;88.0;57.1;"""Perspiciatis; Quo consequatur dolores Blanditiis eveniet nostrum officia quae qui""";"""(Placeat assumenda sint deserunt iusto) ; Dignissimos quam at ex and Architecto commodi"""
Sarah Cook;sarah_cook_1675;88.0;79.1;"""Eaque; Cumque Et voluptatum explicabo ratione occaecati""";"""Fugiat; Velit fugiat eius ; Sed ut"""
Sharon Hall;sharon_hall_1621;76.0;47.1;"""Possimus officiis; Unde saepe Veritatis fugiat est dolore""";"""(Fugit eum placeat perferendis) ; Laborum sapiente impedit nisi nesciunt vitae and Necessitatibus architecto"""
Francis Knight-Ashton;francis_ashton_7427;96.0;66.1;"""Fuga: Ducimus ratione ad quos quae; Eum ducimus quae""";"""Totam neque; Ea vero ipsum mollitia ; Officiis quae"""
