name	score	age	salary	comment	remark
Michael Campbell	14.0	26.1	73.2	"""Already star; Big 	 None arm strategy cold increase"""	"""Lead last find lead administration	 Remember piece year Religious why"""
Heather Cruz	70.0	17.1	40.2	"""(Structure idea ability authority) 	 Down public eat and Relationship us allow"""	"""Two least accept	 Admit answer team maintain Move evening provide over"""
Gregory Mcfarland	90.0	14.1	19.2	"""Music none	 Remember lot interest across Occur"""	"""Foreign natural experience wish	 Fine learn Two peace ball debate"""
John Newman	90.0	93.1	26.2	"""(Word read life) 	 Ahead my type view smile and Term smile development"""	"""Note: Sure	 then Set institution even fight"""
Shelby Anderson	2.0	64.1	89.2	"""Subject kid	 Around thousand interest Respond movement sell while difficult"""	"""Animal show film policy culture: Answer	 Point movie people father"""
Joseph Molina	9.0	6.1	16.2	"""(Speech yard Republican court) 	 List watch commercial and Material television director property look around"""	"""Certainly about now: Face word soldier address degree	 Dark against employee"""
Eric Williams	45.0	66.1	32.2	"""(Special) 	 Some despite rich someone goal and Edge color dinner economic"""	"""Note: Capital skill	 then Police return"""
Paula Rojas	71.0	30.1	86.2	"""Political: Than lose must industry	 Drive"""	"""Brother him other real these	 Experience throughout continue Message book member report significant"""
Christine Johnson	62.0	29.1	62.2	"""Wall	 Political summer writer Pay door"""	"""Step state: Wall goal	 Product until country doctor"""
Suzanne Kaufman	90.0	17.1	10.2	"""Deep people message: Water then alone form what enjoy	 Something ago final affect care common"""	"""Claim sign; Home pull sound during 	 Staff building leg"""
Kristen Andrews	88.0	54.1	15.2	"""(Military product he attorney else) 	 Add beyond sit rise national and Lose just water ground evening company"""	"""(Sing country the site film) 	 Model production and Professional bar"""
Shelley Orr	31.0	38.1	31.2	"""We ready entire international to win	 Owner present body public Foot professor business firm"""	"""Note: Adult keep experience make media	 then Positive contain pull week"""
Craig Dixon	12.0	10.1	81.2	"""(Sing huge write year attention) 	 Should another head near good and Economy people couple seem"""	"""Follow side large property sign: Nor radio wear	 Good section"""
John Mann	71.0	49.1	6.2	"""(Forward pattern on) 	 Space record see and Important third occur husband"""	"""Western ready else: Laugh live	 Usually safe professional"""
James Miller	29.0	21.1	71.2	"""(Step tonight) 	 Recently and Join miss create amount"""	"""Create	 Miss physical Suddenly part"""
Eric Riley	19.0	40.1	56.2	"""Social state board	 Star majority hold Discussion general summer"""	"""Information policy allow yard want; Paper 	 Music time"""
Kelly Pham	54.0	2.1	72.2	"""Degree attack friend: I interview measure usually	 Expect everybody entire"""	"""Space condition design relate beat: Body natural	 Senior grow thought hold"""
Jonathan Goodman	43.0	29.1	84.2	"""Near will: Party on enough later	 Game course"""	"""Note: However grow	 then If"""
Henry Francis	95.0	48.1	67.2	"""Your perform; Guy military 	 Young relationship"""	"""(Start) 	 Everything approach and Ever old who"""
Jessica Sexton	28.0	65.1	99.2	"""Note: Together common experience	 then Garden level structure safe"""	"""All	 Foot mother if story thousand Anyone democratic they"""
Anthony Perkins	79.0	87.1	14.2	"""(Anyone alone) 	 Inside way nearly and Record admit data"""	"""(Always) 	 Song hope it life and To successful"""
Linda Ballard	18.0	85.1	99.2	"""Note: Summer they	 then Quality lay"""	"""Together; Ahead road choose campaign 	 Travel return"""
Christina Roy	58.0	45.1	82.2	"""(Child) 	 Camera bad and Animal president how"""	"""Note: Enough teach imagine treat good clearly	 then Citizen bank similar car somebody"""
Robert Ward	57.0	4.1	66.2	"""(Ever) 	 Any treat growth and Somebody each"""	"""Hotel technology explain; New itself career economy stock hope 	 Matter"""
Justin Dudley	32.0	2.1	70.2	"""Note: Red until green	 then Of"""	"""Natural	 Kid strategy Who detail guess"""
Benjamin Dennis	88.0	42.1		"""(Try) 	 Here represent drop news property inside and Hair prepare eat"""	"""Player democratic sea economic fill trouble; Range really 	 Point question"""
Christy Kennedy PhD	31.0	99.1	73.2	"""Task economic analysis available: Couple note	 Across time affect part watch"""	"""Note: Professor watch	 then Girl find"""
Richard Moran	36.0	26.1	88.2	"""Identify song: Data get popular	 Address analysis"""	"""Difference more; True third 	 Public"""
