username;name;score;rating;total_count;message;summary
nancy_gross_7556;Nancy Gross;30.0;26.1;23.2;"""Go traditional fall again; Drive ; Game consider""";"""Executive number trade; Middle car trade sound Stand"""
matthew_brock_7952;Matthew Brock;37.0;35.1;7.2;"""Matter; More during item ; Ago them""";"""Then animal president notice: Positive body; Truth experience"""
charles_jackson_9879;Charles Jackson;74.0;88.1;19.2;"""Imagine teach marriage; Wait from rock ; Strategy""";"""(Decision tonight or) ; List support and Loss member line"""
jeremiah_adkins_3546;Jeremiah Adkins;77.0;48.1;91.2;"""(Tree whatever prove floor) ; Building and Debate attention good""";"""Central affect; Rather manager hard light hope environmental ; Back"""
william_simmons_2506;William Simmons;64.0;11.1;65.2;"""Note: Understand future; then Contain pull""";"""(Thank science meet) ; Common day nothing and High almost assume send sign"""
brenda_smith_8245;Brenda Smith;26.0;67.1;18.2;"""Identify learn none; Option Growth without or""";"""Note: Source pattern build; then Story interview none but"""
wendy_perez_4760;Wendy Perez;27.0;13.1;68.2;"""Note: Successful prove be store; then On partner alone occur total""";"""Go; Various situation few live receive ; Institution rise practice"""
danny_little_6794;Danny Little;65.0;92.1;43.2;"""Allow half order; Defense herself environmental card play ; Race affect magazine many wind fall""";"""Six computer: We per; Nature agree fund"""
melissa_sanders_1015;Melissa Sanders;10.0;99.1;60.2;"""Note: Government position federal appear; then Court see this million against""";"""Edge air; Instead there mean ; Pattern should"""
anthony_conway_5626;Anthony Conway;75.0;60.1;27.2;"""Note: Out run where positive happen painting; then Garden box""";"""Note: Most value mention; then Sister"""
julie_jones_3263;Julie Jones;34.0;12.1;18.2;"""Speech fish; Career figure head ; Eight science employee""";"""Dark kind score; Of ; Interview threat us economy"""
bobby_acevedo_9796;Bobby Acevedo;63.0;85.1;86.2;"""Become focus: Suggest have day; Peace team skill""";"""Note: Message describe toward west interesting speech; then Realize medical glass"""
jessica_hudson_9024;D;29.0;59.1;;"""Letter stuff: Join remember according; Child happy six call""";"""(Answer become none) ; Beat beyond and Use husband"""
jennifer_casey_0339;Jennifer Casey;42.0;9.1;99.2;"""Capital draw others floor: Democrat; Name""";"""Red actually painting project summer; Choose center computer ; Value"""
ryan_collier_2520;Ryan Collier;89.0;96.1;52.2;"""(Material who) ; Street wall and Look seven enough""";"""Plan probably minute image fly; Sure name Truth sense local agreement back"""
richard_nash_5168;Richard Nash;29.0;55.1;12.2;"""Note: Third since when health role; then Decide lose reach trade""";"""In figure; Avoid head ; Message price we throw about"""
bradley_williams_2790;Bradley Williams;93.0;38.1;86.2;"""(Different close control close) ; Pm worker measure of near and Place officer""";"""But discussion forget: Radio my on; Can"""
kimberly_robbins_4029;Kimberly Robbins;21.0;53.1;58.2;"""Magazine: Human best explain; Husband order light act""";"""Same home: Later miss; Strategy show never hot"""
cynthia_taylor_7412;Cynthia Taylor;89.0;18.1;55.2;"""Note: Marriage population; then Dog""";"""Whole conference long heavy campaign; Wish discussion ; Indicate above budget"""
cheryl_wheeler_4619;Cheryl Wheeler;59.0;14.1;36.2;"""Method positive thought: Everybody physical spring; Take issue""";"""Instead blood real; Despite thousand ; Enter rich happy meet"""
victoria_mayo_8273;Victoria Mayo;11.0;58.1;27.2;"""Note: Only billion; then South different too way""";"""Note: Painting box; then Discuss resource produce sit stock"""
katrina_smith_4559;Katrina Smith;82.0;52.1;86.2;"""Employee civil baby; Number change Activity hit have""";"""Anyone quality; Avoid space positive evening involve face ; How ground section"""
mrs_dds_0706;Mrs. Chloe Johnston DDS;83.0;98.1;74.2;"""Student enjoy reduce ground: Bag leader policy; Tell we""";"""(Always building) ; Risk role economy possible and Decide bank yourself resource network"""
cynthia_chan_5192;Cynthia Chan;9.0;75.1;11.2;"""Ability increase dark away: Street mean; Win source maintain""";"""(Trip growth officer consumer) ; Surface be realize letter him and Add skill nature development"""
katherine_cortez_1141;Katherine Cortez;9.0;56.1;30.2;"""Note: Six fast model; then Central""";"""Rich back research: Future stuff easy several; Others with"""
chelsea_craig_6141;Chelsea Craig;50.0;84.1;31.2;"""(Make trade enter without enjoy career) ; Analysis people black and Person if fight""";"""Trial green dinner that; My may pretty ; Point reach"""
jennifer_hunt_9131;Jennifer Hunt;37.0;78.1;34.2;"""Century less; Too activity ; Close""";"""(Theory young) ; Available and Take dark"""
joseph_dds_6172;Joseph Gibbs DDS;32.0;76.1;93.2;"""Note: Account rule throw value environmental; then Skill news""";"""Tonight price investment that dinner body; There all say ; Green"""
james_green_5105;James Green;66.0;25.1;20.2;"""(Fact key month program long) ; Keep every fire adult total and Bill yourself throughout investment""";"""Note: Culture; then Information"""
