# This is a comment line to skip
name	username	rating	age	total_count	remark	description
Heather Jones	heather_jones_9993	29.0	68.1	75.2	"""Skin teacher statement school	 Mission Wear"""	"""(Eye control girl) 	 Discover century old alone and Person left"""
Amy Tran	amy_tran_3051	34.0	32.1	43.2	"""(Political quickly black) 	 Put me wish and Understand ago former night"""	"""Note: Media soon table reach trouble	 then Paper agreement"""
Joseph Walters	joseph_walters_9777	77.0	87.1	67.2	"""(Money property) 	 Hospital up laugh also dark and If especially"""	"""(Poor perform have summer traditional) 	 Reason sing clearly and Mrs"""
Linda Ward	linda_ward_7439	63.0	90.1	1.2	"""Would there occur	 Read push senior as role Brother fight area Republican"""	"""Day work institution sister teach bit: See discussion five	 Card"""
Rachel Martin	rachel_martin_0967	85.0	8.1	84.2	"""Look assume even: Help ball front three purpose physical	 Our"""	"""Thus cold memory investment: Which	 National maybe suffer"""
Daniel Johnston	daniel_johnston_4428	2.0	73.1	17.2	"""Window traditional; Letter first 	 Lot source class million"""	"""Build at	 Shake reality Inside western"""
Michael Jones	michael_jones_1765	10.0	69.1	67.2	"""Sea hour grow	 Size Down various"""	"""Note: Phone machine yet thousand hotel bad	 then Be guy recognize bit"""
Heidi Cowan	heidi_cowan_3506	89.0	60.1	68.2	"""Tv other: Trip simple college	 Draw explain own nice"""	"""(Inside voice young save I) 	 See guess skin and Ready explain happen one character"""
Michael Ferguson	michael_ferguson_0981	86.0	26.1	19.2	"""Move study general bring: Without man option	 Risk about charge receive"""	"""Until: Nice medical	 Pm son story computer budget board"""
Donna Kemp	donna_kemp_0532	72.0	88.1	69.2	"""Note: Message hot author red	 then Strong public produce"""	"""State soldier: Avoid worker	 Purpose"""
Margaret Taylor	margaret_taylor_6306	79.0	3.1	89.2	"""Senior indeed investment: Game deal mission technology upon	 Speech design nice"""	"""Song admit	 Road such Instead save relationship"""
x	diana_foster_3693	50.0	77.1	53.2	"""Ago meet be yet culture	 However into participant Including"""	"""(Choice recognize) 	 Activity tend suffer huge and Yourself opportunity"""
Natasha Carson	natasha_carson_3018	9.0	39.1	24.2	"""Unit soldier property specific: Direction catch avoid impact ago serve	 Writer road whether sister"""	"""Run accept kitchen national ability operation; Garden population easy 	 Something camera reflect bill"""
Nathan Jones	nathan_jones_8318	26.0	53.1	100.2	"""Buy; Even manager 	 Pattern stuff various"""	"""Though court agree popular	 We idea Bar unit window"""
