# This is a comment line to skip
username;price;salary;review;comment
stephen_sharp_4516;59.0;56.1;"""Nobis odit reiciendis; Quod sequi dicta ; Corporis aliquid exercitationem excepturi""";"""Ea facere sequi iste; Hic sunt occaecati eaque architecto Perferendis hic"""
ms_wilson_5288;64.0;35.1;"""(Esse blanditiis quae) ; Natus and Adipisci iure unde similique""";"""Voluptate odit: Doloremque adipisci deleniti; Atque"""
mrs_ryan_5787;47.0;71.1;"""Fugiat laborum maiores iste; Rem cum repudiandae Nihil quibusdam perferendis atque voluptate""";"""(Accusamus incidunt ea deserunt) ; Molestiae placeat and Sunt"""
mrs_hart_3797;48.0;50.1;"""Note: Quis aliquam; then Impedit tenetur sint sapiente ipsa""";"""Eligendi quidem molestiae in; Qui numquam ; Saepe necessitatibus pariatur dicta officiis assumenda"""
julia_kelly_4763;60.0;4.1;"""Facere soluta atque; Iure reiciendis ullam ducimus sit architecto Dolorem""";"""Odio numquam aperiam ullam; Aut numquam magni Repudiandae"""
molly_brown_7816;1.0;6.1;"""(Amet omnis quos quam voluptatibus) ; Numquam occaecati sit and Nulla""";"""Note: Consequuntur eaque sit praesentium; then Veniam laboriosam alias architecto nobis"""
ms_wood_6930;75.0;81.1;"""Vero error voluptatem necessitatibus harum vel; Beatae ; Vero autem laboriosam ad""";"""Quisquam numquam sunt; Delectus ; At iure"""
jenna_gibbons_8023;27.0;57.1;"""Aliquid dolorum: Eius et; In excepturi fugit ratione molestias blanditiis""";"""Corporis quod; Nobis A id minima inventore"""
timothy_holmes_6337;29.0;8.1;"""Ullam sunt natus; Totam impedit quis Tenetur quasi""";"""Note: Tempore porro ea eligendi; then Laboriosam recusandae"""
mrs_barnes_5837;73.0;29.1;"""Quis cum praesentium quasi officiis; Eius nam est aperiam ; Expedita voluptatem debitis""";"""Note: Dolores incidunt; then Cumque saepe blanditiis"""
mrs_connor_8272;33.0;61.1;"""(Quos beatae aperiam aliquid) ; Provident and Nobis quo necessitatibus""";"""Nemo architecto; Iste incidunt esse ; Numquam maxime soluta quisquam"""
josh_baker_9765;92.0;39.1;"""Ut nobis esse omnis quasi: Architecto unde; Atque dolorem recusandae""";"""(Reiciendis dolore fuga) ; Nam illo id and Quod sint velit velit"""
mrs_robinson_2149;11.0;28.1;"""Note: Odit maxime; then Praesentium accusantium""";"""Similique modi; Quaerat quasi est aliquam molestias ; Perferendis placeat amet"""
katie_jones_7982;95.0;63.1;"""Note: Nisi eius officiis; then Rem""";"""Hic quisquam modi reiciendis; Odit nemo iusto Aliquid alias"""
bradley_hammond_9782;77.0;21.1;"""Note: Eius quidem tenetur; then Rerum suscipit corporis eligendi porro voluptas""";"""(Eos sint et) ; Reprehenderit totam quidem dicta and Eaque nesciunt aliquid consequatur"""
mrs_collins_3672;37.0;75.1;"""Note: Blanditiis libero aut; then Nesciunt soluta officiis ducimus eligendi""";"""Note: Ab minima reprehenderit dicta; then Cupiditate reprehenderit dolorum labore"""
dr_atkinson_2733;45.0;79.1;"""Repellat: Optio delectus debitis dignissimos repellendus; Voluptatum deserunt doloremque quibusdam nobis""";"""Note: Cumque facilis; then Non ratione"""
