# This is a comment line to skip
username;price;score;summary;description
oliver_wilson_7736;61.0;8.1;"""(Perspiciatis ad) ; Asperiores nobis dolor dolores cumque and Eaque occaecati""";"""(Reprehenderit odio) ; Modi eum sequi provident tempora and Alias"""
diana_williams_0561;96.0;4.1;"""Animi minima tempora; Eveniet accusantium laudantium nihil ; Unde non""";"""(Ea ullam eveniet) ; Incidunt sit quasi quod and Vitae asperiores maiores blanditiis"""
antony_baker_4457;59.0;92.1;"""(Maxime tempore soluta distinctio ratione hic) ; Culpa at and Suscipit vero accusantium""";"""(Corrupti similique ipsam molestiae pariatur) ; Porro quas ratione and Dolor ea adipisci"""
martin_may_9871;;73.1;"""Commodi eum: Dolor veritatis maiores; Eos voluptates itaque""";"""Note: Perspiciatis; then Laboriosam"""
gemma_watts_1844;46.0;100.1;"""Ex temporibus esse eveniet: Quia quia doloremque voluptates; Occaecati nesciunt incidunt neque sint""";"""Natus: Quisquam minus sit veniam; Maxime rerum praesentium"""
kerry_boyle_4565;63.0;83.1;"""Voluptas tenetur nisi repellat asperiores nam: Cum tempore accusantium debitis; Eveniet est""";"""(Autem eius neque vel amet) ; Vitae dolorem voluptatibus eum cumque and Unde quis"""
dr_johnson_8999;83.0;15.1;"""Natus labore id aliquam consectetur corrupti: Reprehenderit incidunt; Ullam""";"""Maxime voluptas reprehenderit quasi rerum minima; Blanditiis aperiam dolore ; Voluptatum sint ut"""
patricia_taylor_5684;22.0;64.1;"""Note: Natus; then Sed tempore harum perspiciatis eaque vitae""";"""(Aliquid explicabo corporis) ; Earum and Porro dolores minus"""
jacqueline_jones_5830;100.0;85.1;"""Explicabo doloremque sed; Magni voluptas sapiente eius possimus quasi Voluptate earum sequi a fugiat""";"""Note: Adipisci perspiciatis modi eaque officia; then Veniam cumque ut repudiandae"""
dale_phillips_8585;69.0;59.1;"""(Doloremque amet) ; Provident and Repudiandae""";"""At nobis culpa; Eaque iste ; Excepturi nobis vitae ad"""
mr_ball_9360;41.0;20.1;"""Voluptas recusandae; Illum accusamus accusantium Illo nam aut eveniet""";"""(Nesciunt quas saepe) ; Magnam aut laboriosam cumque adipisci voluptates and Repellat error harum"""
norman_king_2860;44.0;78.1;"""(Sed) ; Reiciendis exercitationem quos dolor and Incidunt""";"""Cumque maiores hic voluptate: Perspiciatis ut sunt repellendus; Delectus ad inventore est animi"""
douglas_booth_8547;40.0;93.1;"""Note: Aut repellendus accusantium; then Ut tempore""";"""Note: Dolorum dolore; then Recusandae assumenda"""
molly_wong_2842;76.0;91.1;"""(Unde libero at reprehenderit) ; Ipsum recusandae consectetur hic and Repellendus dicta repellendus""";"""(Esse) ; Debitis alias occaecati iure officia reprehenderit and A pariatur aperiam blanditiis non"""
rachael_singh_2922;17.0;93.1;"""Minima eum; Natus molestias ipsa facilis ; Ipsum fugit""";"""Accusantium; Nesciunt quasi dolorum possimus Repudiandae minus soluta"""
miss_gregory_6127;9.0;27.1;"""Aliquid doloribus vero; Atque dicta repellendus suscipit Eum iure corporis possimus repellendus""";"""Nihil ad; A Maiores a minima"""
frank_richards_0504;93.0;60.1;"""(Dolore magni est) ; Incidunt dicta and Officiis voluptatibus quae fuga""";"""Note: Incidunt voluptatibus harum itaque laudantium; then Officiis error doloribus"""
dr_benson_3232;11.0;25.1;"""(Illum ut) ; Quidem corrupti and Iste quis possimus""";"""Dignissimos hic ea; Tenetur perferendis commodi Tenetur sint"""
joanne_dale_1777;33.0;99.1;"""Note: Fugit; then Sint""";"""Odit nihil possimus; Minima ; Repellat qui"""
jessica_sutton_3365;14.0;29.1;"""Odio: Repudiandae totam maxime fugit; Corporis distinctio""";"""(Ab totam) ; Rem deleniti molestiae and Voluptatum"""
gordon_fraser_3179;56.0;60.1;"""Note: Nisi eos quibusdam; then Distinctio amet""";"""Eveniet iure harum quod; Tenetur aut modi Id inventore"""
mr_jenkins_7885;28.0;50.1;"""Quas sequi totam: Accusamus; Placeat saepe magni quidem animi""";"""(Aliquam) ; Sit facere and Hic facilis"""
joyce_pugh_3552;43.0;90.1;"""Laboriosam consequuntur eos; Reprehenderit dolor Eum excepturi perferendis rerum""";"""(Unde sed doloremque) ; Ad a eos and Commodi"""
gemma_palmer_9751;100.0;23.1;"""Ullam modi quod; Cupiditate ab sapiente quas ; Voluptate nihil""";"""(Perspiciatis culpa) ; Harum dolores and Quibusdam quia doloribus culpa cupiditate"""
mr_robinson_7435;6.0;33.1;"""Et iusto natus ea veniam; Repudiandae alias ; Labore illum vitae""";"""Natus; Nesciunt laboriosam odit ; Deserunt debitis nihil perferendis"""
lawrence_read_1993;14.0;52.1;"""(Aspernatur aut consectetur voluptatibus minus) ; Eum incidunt quasi and Autem quo illum""";"""Sunt quas totam nam; Nesciunt ; Explicabo"""
dr_clark_7205;18.0;46.1;"""Voluptatem quis; Cupiditate Iusto id""";"""Reprehenderit atque; Minus soluta amet ; Architecto nam"""
henry_allen_6862;96.0;73.1;"""Dolore optio labore; Deserunt accusantium excepturi ab Consectetur""";"""(Assumenda illum qui amet voluptatem) ; Id hic ex molestiae dicta and Iste cumque numquam vitae dolorum"""
