name	salary	rating	review	note
Geoffrey Lewis-Walker	93.0	44.1	"""Eligendi voluptates nulla; Earum veniam 	 Dolorem"""	"""Mollitia: Iusto nesciunt consequatur	 Rem recusandae aliquam"""
Charlene Watts		74.1	"""(Beatae facere excepturi corporis pariatur) 	 Recusandae dolor harum and Ipsam provident"""	"""Veritatis inventore	 Aut explicabo consectetur Doloremque voluptas dicta esse"""
Dr Timothy Clark	89.0	81.1	"""Suscipit: Natus nostrum ea delectus aperiam	 Amet amet incidunt adipisci excepturi optio"""	"""(Ut facere doloremque) 	 Provident quia voluptates occaecati and Architecto"""
Gemma Stevens	6.0	92.1	"""Voluptatum	 Quod perferendis hic Aut tempora sint fuga tenetur"""	"""Fugiat veniam	 Possimus unde quidem nostrum Aut laudantium voluptate"""
Ms Hannah Gardiner	54.0	74.1	"""Nihil totam harum	 Porro aspernatur Illo eveniet incidunt"""	"""Maxime quaerat esse facere sed	 At eum Sapiente laborum"""
Dr Terence Nolan	20.0	79.1	"""Note: Quam odit	 then Mollitia minima inventore"""	"""Natus incidunt incidunt expedita earum: Aut quas provident	 Et laborum modi eius animi quidem"""
Ian Miller	87.0	58.1	"""Voluptatem molestias eos; Cupiditate perspiciatis sunt 	 Odio"""	"""Dolores modi odit pariatur	 Quis Facilis odio cumque voluptates"""
Mr Owen Griffiths	72.0	47.1	"""Note: Nobis corporis voluptates ad	 then Eveniet reiciendis totam"""	"""(Similique eaque consectetur facere architecto) 	 Odit nesciunt eaque and Iste ea soluta"""
Tina Atkinson-Bray	22.0	46.1	"""Harum sed: Dolorum saepe repellendus dolorum dolorum reiciendis	 Eaque iure"""	"""Note: Voluptatum laboriosam	 then Dolore incidunt"""
Shannon Jackson	40.0	56.1	"""Porro magni nulla reiciendis animi; Eum aut aspernatur 	 Nostrum aperiam"""	"""Fugit consequuntur harum; Consequuntur eos dolore 	 Iure molestias repellendus nam"""
Dr Roy Webster	51.0	78.1	"""Voluptas maiores officiis occaecati: Vel reprehenderit esse	 Consectetur quae"""	"""Note: Veritatis tenetur	 then Omnis tempora"""
Dr Jamie Hodgson	39.0	44.1	"""Note: Unde voluptates ad nihil error et	 then Tenetur facilis veritatis sint sed"""	"""Note: Reprehenderit laborum eveniet harum corporis	 then Necessitatibus excepturi sequi voluptatem ad dolor"""
Tracy Murphy-Connor	89.0	47.1	"""Harum eligendi ad hic: Cum et	 Repellendus quaerat natus voluptate"""	"""Note: Atque eius	 then Nisi voluptatum"""
Charlie Stephens	78.0	2.1	"""Note: Delectus nemo	 then Eos maxime recusandae maiores doloribus"""	"""Ipsa placeat alias	 Quo doloremque Eligendi velit nihil id enim temporibus"""
Aaron O'Brien	94.0	88.1	"""Harum impedit	 Id Magni animi eaque"""	"""Laboriosam nostrum	 Temporibus ipsum deserunt expedita Reiciendis repellendus"""
Miss Deborah Herbert	45.0	46.1	"""Corrupti: Fugiat	 Ipsa"""	"""Note: Incidunt mollitia similique incidunt	 then Dolorem error labore vel"""
Dr Richard Barker	3.0	11.1	"""Ipsum	 Cum repudiandae similique maiores Unde"""	"""Quod ea	 Necessitatibus Neque reiciendis mollitia"""
Dr Jack Jenkins	48.0	66.1	"""(Ut pariatur) 	 Sit incidunt iusto expedita and Architecto perspiciatis"""	"""(Explicabo laborum) 	 Totam exercitationem and Cupiditate placeat itaque ipsam error"""
Jeremy Thomas	14.0	21.1	"""Note: Ut atque in nemo cupiditate	 then Officiis fuga"""	"""(Aut delectus nobis corporis) 	 Id consectetur asperiores blanditiis occaecati nesciunt and Sint in quia fuga similique ab"""
Stephanie Brown-Foster	1.0	85.1	"""Deleniti: Cum	 Odit ut soluta"""	"""Velit repellat; Animi ipsum quas dignissimos 	 Accusamus accusamus"""
Dylan Humphries	76.0	62.1	"""(Eveniet dolorum quod) 	 Blanditiis facilis dicta and Est maiores ipsum doloremque nulla"""	"""Voluptates; Ut voluptatibus commodi 	 Est dignissimos magnam blanditiis quam"""
Amy Jones	88.0	42.1	"""Aperiam nihil impedit perferendis doloremque veniam: Ut minus ducimus harum molestiae culpa	 Enim aliquam dolore"""	"""Note: Aspernatur nostrum esse	 then Possimus asperiores"""
Miss Beverley Hunt	23.0	39.1	"""Note: Voluptatum	 then Temporibus quibusdam"""	"""Suscipit laboriosam eligendi blanditiis necessitatibus: Vitae	 Est ex ea sunt"""
Lewis Graham	87.0	55.1	"""Sint ipsum	 Maiores praesentium iste quas eaque Modi vitae vitae consequuntur"""	"""(Natus) 	 Similique ex corporis rerum and Tenetur non"""
Ruth Smith	69.0	86.1	"""Asperiores dolores; Dolores explicabo itaque cumque 	 Unde"""	"""Note: Numquam	 then Ratione"""
o	57.0	82.1	"""Temporibus at eius: Dolore similique	 Deserunt eum temporibus itaque"""	"""Illo quae; Quas consectetur suscipit 	 Porro et"""
Zoe Burrows	70.0	16.1	"""(Rerum similique cupiditate qui) 	 Consectetur and Rem natus dignissimos commodi"""	"""(Ipsam animi corporis) 	 Corporis ab consectetur quidem and Vitae mollitia tempore quas similique"""
Martin Lloyd	50.0	87.1	"""Ipsam eius; Eaque architecto quo consequatur aliquam quibusdam 	 Autem fugit non veritatis ullam"""	"""Minima pariatur	 Maiores Dicta id voluptate"""
