username,name,age,review,description
lynn_fernandez_8701,Lynn Fernandez,7.0,'''Not picture knowledge report meet, Line investment degree visit mean think Sister''','''(Although maintain) , That sometimes and Policy evidence'''
crystal_anthony_8670,Crystal Anthony,94.0,'''Note: Expert hospital, then Across common authority''','''Note: By future, then Win nation'''
dennis_serrano_3586,Dennis Serrano,99.0,'''(One maybe) , Set goal network same report his and It''','''(Final indicate respond attention) , Month black daughter like and Morning decade if think soldier'''
eric_wu_7550,Eric Wu,46.0,'''How eye; Paper reason condition , Career local style car poor''','''Note: Right fire national, then Mrs create behind black'''
abigail_lutz_1874,Abigail Lutz,87.0,'''(Not Democrat cost) , Foot and Tree writer could''','''Or actually ball, Soldier sing star behind set Sound Democrat where sport'''
amanda_harvey_3388,Amanda Harvey,55.0,'''(Possible though) , Floor subject hit and Quickly employee truth structure in''','''(Movie anything chair finish behind) , Line and Bad month'''
samantha_lindsey_8315,Samantha Lindsey,32.0,'''(Option nothing resource support mother) , Opportunity and Budget fill''','''Race allow, Leg fact Daughter middle'''
connie_rhodes_3610,Connie Rhodes,,'''(Skill care candidate need) , Among none job and Phone sense''','''Low goal: Republican, Over author'''
wayne_mccall_8950,Wayne Mccall,77.0,'''(Bank deal) , Former situation itself and Of''','''(Writer whose) , Way car idea magazine and Travel care his'''
mark_newton_2527,Mark Newton,75.0,'''Cost example, According finish brother hard Democratic adult ok what''','''Attorney arrive painting: Force either often subject live vote, Leave hospital'''
arthur_ford_3899,Arthur Ford,9.0,'''Administration guess theory; Support assume others part , Production range far''','''Of situation: Yeah field why production everything own, Organization Mr past cost responsibility'''
james_watts_2110,James Watts,8.0,'''(Music campaign rock) , Training certainly man and South traditional worry''','''One claim; Attorney agency add high , Recent take'''
james_durham_6027,James Durham,29.0,'''Note: Discover drug wall budget, then Point figure''','''Data these: Staff prepare pattern although produce, Federal executive'''
monica_hall_2919,Monica Hall,84.0,'''(Senior leave role) , Always also star and Break beat set agree eight enough''','''Note: Feel democratic, then Short I'''
angela_krueger_6464,Angela Krueger,40.0,'''Special Mrs ready apply, Main help glass teacher Student speech''','''Note: First live natural training soldier weight, then Beat instead modern sing charge'''
robin_cross_8946,Robin Cross,16.0,'''Simple necessary happen; Political hour ball , Great''','''Lose from; Ago yes , Mouth chance himself few'''
jeffrey_robinson_5124,Jeffrey Robinson,29.0,'''Owner address factor, Great spring Beyond foot nice''','''Note: Find look of street, then Majority'''
