username,name,score,salary,message,note
dr_ashton_6624,Dr Leigh Ashton,34.0,41.1,"""Note: Reprehenderit velit, then Sed iure culpa ab asperiores distinctio""","""Fugit illum: Itaque, Dicta"""
sharon_murray_2964,Sharon Murray,11.0,59.1,"""Quam maxime vel error: Necessitatibus tempore commodi repudiandae, Qui""","""Nihil est, Illum occaecati expedita optio Quod suscipit"""
leonard_sinclair_2039,Leonard Sinclair,87.0,50.1,"""(Omnis cum) , Rem and Nihil voluptatum accusantium""","""Note: Minus quisquam delectus, then A inventore"""
dr_atkins_0399,Dr Graeme Atkins,94.0,94.1,"""Aliquam fugiat; Facere non odio accusantium , Nihil""","""(Animi) , Optio dolor non and Reiciendis ipsum mollitia"""
miss_edwards_9726,Miss Carol Edwards,39.0,46.1,"""Fugit omnis corrupti; Repellat voluptas deserunt , Libero corporis""","""(Similique deleniti eum tempore distinctio) , Expedita suscipit accusantium adipisci accusamus and Beatae assumenda"""
melanie_parsons_6674,Melanie Parsons,59.0,30.1,"""Sit ab: Sapiente eaque doloribus dolorum, Similique omnis vero""","""Ipsa aperiam accusantium; Doloremque occaecati voluptate quam , Adipisci ad reprehenderit quas sapiente"""
dr_douglas_0922,Dr Joe Douglas,78.0,23.1,"""Dicta occaecati consequatur, Quis Sequi maiores itaque""","""Note: Rem omnis atque repudiandae perspiciatis, then Sunt exercitationem"""
dr_williams_1989,Dr Kelly Williams,35.0,23.1,"""(Soluta magnam) , Reiciendis fuga accusamus ab and Delectus sit""","""Temporibus voluptatem ratione, Veritatis ratione doloribus Est reiciendis harum excepturi ea"""
dr_roberts_9426,Dr Katherine Roberts,74.0,63.1,"""Aut sit; Aliquid incidunt , Quos eius ad""","""Ad; Sunt recusandae eveniet voluptates atque nisi iure , Accusamus tempore nobis animi"""
oliver_warren_6869,Oliver Fletcher-Warren,64.0,11.1,"""(A voluptatem) , Sit illo and Incidunt neque nisi""","""Note: Ipsam natus distinctio quibusdam quod, then Quaerat voluptate a facilis nisi ipsa"""
vanessa_dixon_8234,Vanessa Dixon,56.0,52.1,"""Sapiente fugit culpa totam eligendi; Quod veritatis dolores , Blanditiis molestias quasi""","""Note: Tenetur accusamus earum rem, then Ab magni delectus"""
