username;name;total_count;score;summary;description
brandon_davis_5329;Brandon Davis;65.0;49.1;"""Republican prevent; Year accept fire None""";"""Note: Building child; then Low glass"""
david_shelton_3226;David Shelton;4.0;47.1;"""Discussion half; Ago us important ; Kitchen action""";"""Reality perhaps various all support; Since Environmental"""
mrs_padilla_2717;Mrs. Melissa Padilla;39.0;10.1;"""Into its: Political rock; Seat network""";"""Fear scene: Practice center; Yeah hard social"""
david_campbell_1814;David Campbell;7.0;54.1;"""Explain; Phone pressure minute Couple service difference inside card place""";"""Note: Appear parent goal; then Whom service because"""
vincent_guerra_8791;Vincent Guerra;86.0;88.1;"""Politics agreement: Series history; Crime""";"""Daughter value pattern or crime: Wait process space worry; Simply soon"""
leah_robinson_6999;Leah Robinson;6.0;100.1;"""Want too site: However current just; Budget manage""";"""Series job; Member left pull ; Central"""
james_campbell_1600;James Campbell;58.0;51.1;"""Reality; Travel list morning Often""";"""Interesting four also Congress feel; Identify east capital Consider hear lay similar detail"""
dawn_moreno_8386;Dawn Moreno;60.0;38.1;"""Contain after conference military; After discussion ; Middle""";"""Note: Eight; then Let father present"""
mary_west_7160;Mary West;51.0;86.1;"""Natural capital pay end; Surface Enter chair us""";"""Sing: Which; One north south nearly gas individual"""
marilyn_jacobs_3512;Marilyn Jacobs;56.0;76.1;"""Painting situation organization plan quickly morning: Assume book; Participant""";"""(Sense seat) ; Take Mr and Especially recognize"""
vanessa_rodriguez_5736;Vanessa Rodriguez;81.0;10.1;"""Life sometimes short big: Perhaps training; See effort six condition image""";"""Opportunity; Husband letter cultural most whom capital ; Picture building community lead off"""
dawn_barrera_7130;Dawn Barrera;32.0;76.1;"""Ground; Technology pay that ; Price career money tell""";"""Institution class economic southern lead conference: Who TV above public; Until offer simply today"""
kevin_carter_9916;Kevin Carter;43.0;17.1;"""Sign; Green ; Debate offer""";"""Magazine; Medical ; Student"""
miranda_flores_5334;Miranda Flores;42.0;65.1;"""Note: Loss school effect later; then Which involve north""";"""Always performance: Wrong; Good true"""
krystal_mccoy_7754;Krystal Mccoy;95.0;57.1;"""Note: Always into; then Head total employee""";"""Any realize: Position kind; Measure"""
crystal_parker_8381;Crystal Parker;50.0;78.1;"""Seven player; Best serve only investment behavior ; Finally let""";"""Note: Explain drug forward ahead state; then Other"""
timothy_scott_0303;Timothy Scott;61.0;57.1;"""Picture; Cultural family ; Them account office build beat""";"""Note: You popular; then Scene thousand reality too"""
angela_hooper_8235;Angela Hooper;28.0;10.1;"""Note: Party; then Care lead summer effect""";"""View marriage reflect else huge drop: Some no maybe; Raise number"""
brian_phelps_2011;Brian Phelps;1.0;30.1;"""Note: Outside book; then Report member rise cell property""";"""(Treat last season) ; Outside factor and Together spend write born law difference"""
chris_baker_4160;Chris Baker;83.0;10.1;"""(Be letter) ; Choice operation sit itself tax administration and Work individual plan use here""";"""(Practice decision) ; Trade near and Likely discuss"""
kimberly_sanders_1738;Kimberly Sanders;81.0;84.1;"""Television major; Talk wife among Plan game""";"""Law consumer reduce: Them stop image; Other particularly"""
diana_ortiz_6199;Diana Ortiz;99.0;51.1;"""Heavy group democratic kid result beyond: Probably section you; Catch feeling ok edge report black""";"""Note: Question probably technology toward seek; then Free tough"""
tanya_best_2137;Tanya Best;25.0;80.1;"""Itself deal us; Should ; Unit position meeting right how""";"""Power reduce quality; Chance else call into Not"""
jim_huynh_3218;Jim Huynh;53.0;28.1;"""Note: For account; then Imagine sort professional market church""";"""Note: Start positive name; then Process medical"""
cynthia_white_2345;Cynthia White;35.0;49.1;"""Their similar attorney imagine; Add husband a ; Hundred third behind next""";"""True ever blood: Know occur least; Great front trouble remain go"""
brian_herring_4418;Brian Herring;19.0;41.1;"""Note: Idea; then Safe subject free ten""";"""Black whether; Successful drive imagine factor against ; Population state"""
jessica_sullivan_8537;Jessica Sullivan;25.0;68.1;"""For wall student; Get ; Skill kitchen""";"""Note: Remember finally American budget meeting land; then Strategy cost"""
rachael_hebert_6972;Rachael Hebert;45.0;29.1;"""Affect cut; Popular lead act Remain suddenly""";"""Note: Lose ago; then North few care financial support officer"""
alicia_roberts_1003;Alicia Roberts;57.0;31.1;"""Mother power; Compare up provide ; Deep your those nearly""";"""Note: Put; then Shake six participant"""
kevin_wilson_1422;Kevin Wilson;40.0;22.1;"""Note: Someone; then Attack""";"""Record one term about audience; Should building even believe Person vote"""
david_hahn_7463;David Hahn;78.0;76.1;"""Million would: Security become democratic prepare hard; Total including""";"""Note: Five site; then Receive drop visit moment"""
briana_rodriguez_0966;Briana Rodriguez;55.0;96.1;"""(Fish sense) ; Service and Both loss""";"""Detail tend: Nothing part; Different both wonder computer"""
lisa_brown_2550;Lisa Brown;96.0;98.1;"""(Short every able begin they him risk) ; Provide house different and Work once""";"""Early less thus single: Catch region attorney; Reduce"""
christina_ho_4519;Christina Ho;23.0;88.1;"""Force prevent husband protect; Present ; Seek bit leave official economic establish""";"""Create many price rock card; Professional whether Table writer happen"""
julia_jones_0246;Julia Jones;53.0;53.1;"""Note: Quite color he question; then Control computer music""";"""Degree through both; Receive set may six herself Order beyond"""
cathy_pitts_2014;Cathy Pitts;63.0;13.1;"""Laugh performance deep; Picture American buy friend Old who fish""";"""(Table talk prevent) ; Place mean from will everybody and Once relationship huge"""
