name,salary,comment,remark
Dr Katy Francis,16.0,'''Repellendus: Dolorem sequi, Accusantium eius''','''Unde mollitia, Cupiditate nulla Itaque cupiditate maiores architecto'''
Duncan Burton-Cunningham,45.0,'''Facilis aperiam; Dolorem consequuntur , Veritatis repudiandae corrupti nesciunt earum odio''','''Est amet numquam; Aliquid voluptatem , Quia fugiat perferendis'''
Ann Harvey,81.0,'''(Quos minus labore) , Molestias praesentium and In officiis''','''Illo quos corrupti reprehenderit dicta voluptas; Doloribus ipsa quo , Ipsam'''
Ruth Bryant-Fraser,58.0,'''(Beatae facere recusandae) , Dignissimos mollitia consequuntur accusantium provident and Culpa blanditiis''','''Placeat aliquid, Non itaque Ducimus natus neque'''
Ronald Bull,87.0,'''Fugiat nobis; Nemo , Neque''','''Note: Accusamus, then Saepe cumque'''
Mohamed Baxter-Davies,10.0,'''Officia dolore: Quibusdam, Quo impedit''','''Minus velit officia consequatur suscipit; Laudantium earum exercitationem , Officiis quae'''
Miss Kimberley Robinson,16.0,'''Note: Quo, then Enim modi''','''Iure, Eos illum Minus atque repellendus officia commodi'''
l,,'''Perferendis, Doloribus sint Et dolorem accusamus hic veritatis cumque''','''(Reiciendis pariatur tempora temporibus) , Mollitia iusto consequuntur deleniti and Laudantium possimus'''
'Miss Clare O''Neill',50.0,'''Eveniet perspiciatis quod beatae vitae consequatur; Sint quis voluptatem , Explicabo quos''','''Note: Iure, then Molestias temporibus voluptas amet'''
Ms Sharon Ingram,83.0,'''(Veritatis hic sunt) , Porro ut culpa eius voluptas ab and Ut iure quos voluptate doloremque''','''Ipsam voluptate: Praesentium voluptates, Aliquid consequuntur rem accusantium est'''
Joshua Hamilton,69.0,'''Optio similique ad rerum vero, Provident officia Ducimus exercitationem debitis''','''Note: Vel, then Officia in velit ratione porro'''
