name,username,score,rating,salary,message
Linda Lambert,linda_lambert_5583,65.0,74.1,72.2,"""(Quae in assumenda) , Reiciendis quibusdam est veniam eum and Dolore itaque unde accusamus explicabo"""
Maurice Cook,maurice_cook_4390,25.0,94.1,11.2,"""Inventore dolorem repellat, Ratione corrupti iste Aliquid possimus"""
Carolyn Jones-Marshall,carolyn_marshall_3254,51.0,64.1,21.2,"""Sequi sed accusamus sit soluta; Explicabo repudiandae , Voluptatem repellendus necessitatibus"""
Gavin Williams-Turner,gavin_turner_2422,75.0,19.1,38.2,"""Ex temporibus; Error quibusdam enim recusandae , Necessitatibus placeat impedit rem corporis"""
Mrs Paige Shepherd,mrs_shepherd_4800,40.0,99.1,64.2,"""Accusamus vitae rerum, Voluptates Deserunt dolore consequatur ipsum exercitationem explicabo"""
Derek Jackson,derek_jackson_8428,40.0,60.1,93.2,"""(Facilis) , Occaecati quis and Voluptas nostrum"""
Miss Stacey Horton,miss_horton_1190,26.0,44.1,49.2,"""Sunt veritatis placeat tempora ullam: Temporibus amet ex, Laudantium"""
Roger Jones,roger_jones_8872,38.0,59.1,26.2,"""Repellendus quae numquam tenetur; Cumque vel fugiat , Explicabo cupiditate"""
Gillian Taylor,gillian_taylor_9970,9.0,74.1,82.2,"""Reprehenderit ipsum fugiat: Quae rem, Tenetur aut est vero ratione accusantium"""
Graeme Steele,graeme_steele_1208,75.0,81.1,78.2,"""Sapiente vel, Ipsum Mollitia dolore sint pariatur perferendis voluptates"""
Leslie Smith,leslie_smith_9697,78.0,23.1,80.2,"""(Ipsam occaecati tempora nam vitae eveniet) , Perferendis corporis ipsum and Ex"""
Jamie Cole,jamie_cole_6822,32.0,25.1,66.2,"""Minima voluptate molestiae iusto officiis; Fugit libero , Quae"""
Jonathan Campbell,jonathan_campbell_9564,25.0,37.1,8.2,"""Aperiam possimus necessitatibus; Reiciendis nihil eius laudantium , Nemo dolor"""
Teresa Burke,teresa_burke_8850,14.0,90.1,40.2,"""(Corporis illo) , Animi and Fugiat perspiciatis beatae facilis"""
x,owen_harris_7994,42.0,87.1,74.2,"""Ratione optio necessitatibus maxime doloremque, Quod in Animi ullam assumenda"""
Dr Rachael Sharp,dr_sharp_9220,73.0,98.1,79.2,"""Soluta; Non cumque , Totam voluptates"""
Mr Hugh Jennings,mr_jennings_2648,47.0,69.1,76.2,"""(Tempore ipsa possimus sapiente) , Velit commodi voluptatibus eum culpa and Explicabo odio"""
Natasha Jackson,natasha_jackson_7601,65.0,17.1,34.2,"""Note: Facilis neque a, then Et"""
Mr David Green,mr_green_2282,72.0,84.1,90.2,"""Iure libero fugit unde quae; Distinctio excepturi , Eligendi aspernatur dolore"""
Chelsea Todd,chelsea_todd_4732,17.0,72.1,60.2,"""Veniam quis eius: Dolores at vel, Doloribus repellendus nisi"""
Hilary Sullivan,hilary_sullivan_8894,4.0,8.1,87.2,"""Note: In fugit fuga, then Quibusdam veritatis"""
Miss Caroline Hardy,miss_hardy_9693,64.0,,66.2,"""(Repellat harum) , Ullam deserunt blanditiis and Ducimus"""
Lynn Holden-Fisher,lynn_fisher_8999,46.0,3.1,47.2,"""Note: Cupiditate, then Perferendis dignissimos"""
Ronald Mitchell-Whitehouse,ronald_whitehouse_9837,73.0,10.1,21.2,"""Aliquid quaerat natus, Pariatur error magni reprehenderit Nostrum"""
Dr Richard Walsh,dr_walsh_5642,74.0,7.1,24.2,"""Ea maiores, Odit tenetur ad Eius magni laudantium dolorem iure"""
