name;username;score;remark;note
Richard Roberts;richard_roberts_8635;14.0;'''Note: Enim illum; then Magni consequuntur''';'''Reprehenderit; Dolores quod ; Magnam quibusdam'''
Dr Fiona Fox;dr_fox_0758;12.0;'''(Repudiandae tempore beatae consequuntur) ; Ipsam odit and Nemo tempore corporis mollitia perferendis''';'''Note: Voluptatibus eaque sunt; then Quisquam'''
Mrs Lynn Taylor;mrs_taylor_9064;80.0;'''(Velit dolorem aliquid at consequuntur vero) ; Quas illum repellat sequi eligendi and Fugiat ducimus ullam a''';'''Enim consequatur: Reprehenderit fugit veniam eum; Praesentium'''
Dr Mandy Payne;dr_payne_4739;74.0;'''Omnis aspernatur earum doloremque ab animi; Praesentium ullam eveniet ; Quae''';'''Delectus ea; Nihil voluptate recusandae corporis cum Maiores molestias ab'''
Miss Jodie Smith;miss_smith_4447;42.0;'''Dicta beatae esse; Voluptatem odio perferendis Cum iste accusantium''';'''Ipsum quis dicta; Consequuntur vitae ; Optio non qui'''
Benjamin Thompson;benjamin_thompson_3610;;'''(Voluptates aliquam) ; Aliquid officia hic and Minima eos hic ipsam earum placeat''';'''Accusantium laudantium magni molestiae ipsum; Dolorum sequi dolore Perferendis facilis sint rerum culpa'''
Luke Manning;luke_manning_0696;65.0;'''Accusamus aspernatur officiis: Error amet; Culpa temporibus quo''';'''Veritatis esse; Aspernatur id non autem ; Sint possimus atque minus nulla'''
Annette Shaw-Fleming;annette_fleming_9269;30.0;'''Note: In; then Aspernatur repellendus''';'''Delectus asperiores id odio nobis: Molestias nihil rerum reiciendis; Velit autem'''
Norman Cooper;norman_cooper_3178;7.0;'''Pariatur ea: Expedita ducimus ducimus; Tempore molestiae suscipit quam''';'''Note: Sit minima asperiores; then Voluptatibus eaque'''
Mrs Danielle Grant;mrs_grant_7643;22.0;'''Note: Soluta odio illum neque officia; then Sapiente dolorem ipsa minus''';'''(Alias amet) ; Libero vel and Earum'''
Dr Glen Fox;dr_fox_9391;84.0;'''Exercitationem similique; Nemo libero ipsa ; Error quae''';'''Voluptatum; Pariatur error Ullam occaecati'''
Miss Heather Dickinson;miss_dickinson_0733;56.0;'''Ipsum; Voluptates sint exercitationem distinctio Sed''';'''(Alias tempore) ; Corrupti provident doloribus nihil nihil architecto and Dolorem eligendi quisquam'''
Rhys Harris;rhys_harris_2919;66.0;'''Cupiditate dolorem facilis; Aliquam temporibus exercitationem Tenetur nesciunt''';'''(Sed aut minima) ; Magni earum minima cumque and Architecto ab totam'''
Anthony Evans;anthony_evans_8261;29.0;'''Note: Minima dolor sint; then Consequuntur odit nam''';'''Earum nemo; Repellat nulla ; Fugit sunt aperiam aperiam voluptas'''
Tina Dixon;tina_dixon_9288;54.0;'''Dolorem perspiciatis porro velit alias sunt; Magnam officia placeat totam neque Aut nostrum exercitationem''';'''Quae sunt blanditiis pariatur expedita; Eveniet consequatur libero quaerat ; Fugiat praesentium'''
Graeme Morris;graeme_morris_8295;83.0;'''Accusantium non ea ut: Officiis exercitationem; Sit numquam a itaque corporis''';'''Nemo: Blanditiis molestias accusantium nihil porro rem; Cum velit aliquid'''
Christopher Williams;christopher_williams_7359;28.0;'''Itaque amet: Molestias; Ipsa''';'''Vel magnam architecto aliquid; Corrupti incidunt ipsum blanditiis Porro'''
Dr Emma North;dr_north_3598;26.0;'''Temporibus ipsa; Nulla ; Perferendis odit ducimus laborum impedit''';'''Note: Itaque cupiditate similique voluptate; then Tenetur esse'''
Richard Ellis;richard_ellis_4495;75.0;'''Optio: Accusantium cum error sapiente ad ad; Voluptate''';'''Explicabo eaque numquam; Voluptatibus suscipit numquam nobis porro neque Recusandae sint'''
Rita Barker;rita_barker_0667;79.0;'''Delectus tempora numquam beatae saepe: Nobis qui; Nemo''';'''Note: Sit vero aliquam maiores reiciendis; then Itaque reiciendis ea'''
Gemma Turner;gemma_turner_7181;52.0;'''Iusto quia: Maiores; Asperiores officiis vel earum molestiae''';'''Tempore deleniti; Doloribus vitae Nulla'''
Terence Turnbull;terence_turnbull_8843;62.0;'''Illo repudiandae: Unde delectus ad; Commodi odit dignissimos''';'''Note: Nulla iusto; then Occaecati'''
