name;username;salary;rating;score;comment
Olivia Webb;olivia_webb_1217;92.0;41.1;28.2;"""Voluptate: Quam accusantium; Ipsa enim nemo"""
Ms Ann Daniels;ms_daniels_6805;65.0;75.1;36.2;"""(Cumque magnam tempore minus assumenda) ; Illum and Perspiciatis molestias nostrum ea corrupti necessitatibus"""
Dr Lynne Evans;dr_evans_9888;67.0;26.1;52.2;"""Sunt voluptate; Ratione cupiditate voluptates deserunt Neque saepe"""
George Hughes;george_hughes_1284;48.0;38.1;34.2;"""Note: Consectetur incidunt tempora; then Earum quo dignissimos explicabo dolor"""
o;tina_carter_4350;33.0;;81.2;"""Ea similique sint quae voluptatum; Ratione Nam possimus"""
Samuel Archer-Stone;samuel_stone_4913;47.0;10.1;9.2;"""Necessitatibus eveniet illum esse velit: Mollitia pariatur hic maxime provident iusto; Officiis enim"""
Rebecca Kaur;rebecca_kaur_7809;40.0;34.1;25.2;"""Doloribus ipsa sequi saepe distinctio impedit: Est libero; Eum culpa"""
Sam Jones;sam_jones_9347;32.0;15.1;83.2;"""Note: Ullam; then Perspiciatis a rem a"""
Jordan Khan;jordan_khan_9870;1.0;31.1;80.2;"""Doloremque animi; Laudantium soluta mollitia quam ; Quibusdam natus fugiat"""
Rhys Brady;rhys_brady_8416;96.0;100.1;34.2;"""Note: Accusantium; then Beatae culpa dolorum saepe"""
Rachael Martin;rachael_martin_3439;29.0;38.1;73.2;"""(Delectus quibusdam itaque) ; Harum sit tempore harum libero a and Ipsam expedita"""
Abbie Gordon;abbie_gordon_5689;92.0;28.1;25.2;"""Note: Modi deserunt esse; then Porro quisquam aliquam earum quaerat distinctio"""
Miss Shannon Preston;miss_preston_0243;76.0;41.1;16.2;"""Ipsum dicta repudiandae; Deserunt fuga ipsa aliquid ; Modi sit nam"""
Geraldine Foster;geraldine_foster_6473;92.0;6.1;8.2;"""Atque; Officia ; Asperiores sit eos iusto ratione quod"""
Mr Bradley Crawford;mr_crawford_1554;92.0;99.1;91.2;"""Consectetur expedita excepturi quidem quis; Ab eveniet mollitia quidem Quaerat praesentium repudiandae debitis ea"""
Dr Brandon Parker;dr_parker_4387;92.0;78.1;64.2;"""Id dolorem veniam: Quaerat quaerat ullam; Vero aliquid ullam laboriosam"""
Lucy Vaughan;lucy_vaughan_3240;18.0;41.1;30.2;"""Doloremque temporibus voluptate; Totam deserunt optio officia dolores velit Soluta natus"""
Dr Lynn Butler;dr_butler_0019;56.0;36.1;70.2;"""(Aspernatur) ; Impedit doloribus and Inventore cumque"""
Nathan Ahmed;nathan_ahmed_6196;46.0;55.1;21.2;"""Et sint repudiandae explicabo temporibus quam; Iusto ; Tenetur"""
Stephen Edwards;stephen_edwards_3040;20.0;97.1;60.2;"""Animi rem ab; Alias provident fuga occaecati ; Occaecati nihil omnis officia sunt"""
Lewis Elliott;lewis_elliott_9880;80.0;16.1;22.2;"""Debitis maiores nam quam excepturi; Dolorem libero accusamus nobis Mollitia aperiam facilis voluptates occaecati soluta"""
Charlie Walters-Smith;charlie_smith_7189;27.0;91.1;66.2;"""(Provident impedit) ; Quod modi autem quidem and Aut aperiam debitis fugit"""
Mrs Donna Riley;mrs_riley_4898;21.0;20.1;83.2;"""(Neque quaerat corporis) ; Ipsum amet tempora and Expedita sunt dicta"""
Gerald Adams-Harrison;gerald_harrison_5481;23.0;66.1;36.2;"""Sapiente: Ipsa; Mollitia eligendi"""
Dr Aaron Clayton;dr_clayton_0589;45.0;55.1;23.2;"""Officia voluptatem; Ullam ; Laboriosam eveniet doloremque unde"""
Lynn Smith;lynn_smith_3238;43.0;71.1;;"""Dolore id eveniet; Necessitatibus totam ; Quas commodi eligendi"""
Henry James;henry_james_4083;54.0;84.1;68.2;"""(Impedit neque praesentium ipsum) ; Fuga at and Velit magnam"""
Gordon Harvey;gordon_harvey_9048;61.0;32.1;74.2;"""Quas eveniet excepturi magnam incidunt exercitationem: Tenetur enim; Est"""
Nicola Gregory-Shepherd;nicola_shepherd_6882;61.0;30.1;12.2;"""Quas velit facere id ipsam; Tempora Culpa harum voluptatibus reiciendis perferendis porro"""
Jeffrey Jones;jeffrey_jones_6952;68.0;91.1;92.2;"""(Ipsa provident) ; Facilis and Laudantium explicabo"""
