name,username,price,score,age,note,description
Whitney Juarez MD,whitney_md_3703,3.0,82.1,47.2,"""Want heavy hair: Truth international, Computer eye because argue""","""Thought source; From thing me record production music , Until firm onto"""
Frank Davenport,frank_davenport_1606,44.0,55.1,73.2,"""(Suddenly coach among open) , Data and Start listen""","""Site theory, Quite energy Already article"""
Garrett Peters,garrett_peters_8155,72.0,77.1,21.2,"""Hand very: Site sing, President wrong""","""Oil together; Many hit road , Low once"""
Taylor Pitts,taylor_pitts_9120,98.0,45.1,38.2,"""Door; Land be do , Sit have""","""(Alone heart great up employee) , Kind and Bring"""
Kathryn Hall,kathryn_hall_7814,57.0,85.1,14.2,"""Piece price, Room his public green arm Ok""","""Note: Hotel, then Ahead particular defense"""
x,patrick_rivas_7242,72.0,99.1,10.2,"""(Than tax exist fact) , Industry and Officer affect work whole""","""Happy table consider imagine situation: Sit less training study, Tell subject Republican per spend"""
Allison Cline,allison_cline_2663,93.0,63.1,54.2,"""Car figure: Suddenly, Nearly listen or""","""(Behind) , Cell thank beautiful already of recent and Box data"""
Elizabeth Allen,elizabeth_allen_5454,58.0,89.1,42.2,"""Recent people federal: Add price consider, Ready""","""Around: Second hot offer, Order"""
Nicole Atkins,nicole_atkins_2738,13.0,72.1,14.2,"""Tell future attack claim school be tough: While moment catch, Time article""","""Who central: Pm history soldier, Woman case"""
Anna Taylor,anna_taylor_4117,38.0,34.1,42.2,"""(Condition indicate worker agreement same man) , Travel president eat and Rather""","""Spring keep yard cup push, Democratic western really there culture Fly sort economic"""
Dr. Mark Taylor,dr_taylor_5077,38.0,44.1,36.2,"""Note: Spend cost available grow, then Southern process born""","""Note: Art nature, then Week none"""
Darlene Jennings,darlene_jennings_8148,,4.1,89.2,"""(Significant evening school) , Identify former fish forget and High agreement""","""(Exactly member throughout) , Name throughout stuff and Generation degree child"""
Anthony Black,anthony_black_6488,5.0,89.1,56.2,"""(Concern eye sit) , Fast report and Look hit rather""","""Run can history approach American: Bank final travel order because, Place other"""
Mark Mckee,mark_mckee_0650,57.0,86.1,56.2,"""Note: Approach, then Reflect body each""","""Option resource step: Pm success, Strategy child range"""
Nathan Sheppard,nathan_sheppard_7313,58.0,64.1,74.2,"""(Learn reality away) , Certainly century staff and Weight region defense""","""Note: Two head, then Fast record"""
Lisa Rodriguez,lisa_rodriguez_9913,7.0,94.1,80.2,"""(Agree history least born at) , Skin term sister only play and Them""","""Hundred; Statement never , Defense"""
Elaine Stanley,elaine_stanley_3328,93.0,30.1,49.2,"""(Pattern cell heart) , Up realize and Mission than life modern determine""","""Note: Yet reflect our region, then Stage peace home"""
Matthew Smith,matthew_smith_8723,84.0,53.1,97.2,"""Decade girl box; Pass capital likely real , Especially course""","""Note: My scene discuss, then By friend agent camera"""
Monica Patel,monica_patel_8937,30.0,29.1,78.2,"""Garden live different, Body soldier Interview wait""","""State she practice culture radio health; Check fight job page work , Art those stock turn"""
Corey Boyd,corey_boyd_2084,57.0,40.1,1.2,"""Go; New line rise nothing , Personal themselves as sit morning""","""Record hair pretty art whatever: Account go animal, Almost team"""
Cathy Hughes,cathy_hughes_9923,59.0,8.1,47.2,"""Note: Theory because theory explain man, then Garden grow sister defense""","""Section audience receive ahead; Capital easy , Big"""
Kimberly Barr,kimberly_barr_1280,92.0,43.1,94.2,"""(Stay) , A and Question pass""","""Own onto into song: Score hot best her, Public shoulder"""
Albert Underwood,albert_underwood_7845,84.0,30.1,3.2,"""Once serve early agreement: Follow raise, Computer treatment soon word""","""Though news some argue coach, Agent Success success"""
Kelly Blair,kelly_blair_1118,55.0,82.1,70.2,"""Note: Or deal, then Standard know million perform""","""Bad material enter be industry; Myself light , Growth month how particularly company"""
Robyn Gentry,robyn_gentry_3229,67.0,88.1,30.2,"""Dinner which: Stay far either paper then, Part better usually""","""Its father: Cost alone feel it blood cause, Until enter support far see new"""
Darren Garcia,darren_garcia_8252,97.0,30.1,71.2,"""Note: Study wife, then Understand among choose wait mention certainly""","""Bring weight, Teacher Interesting court should production whose"""
Terry Carpenter,terry_carpenter_4787,73.0,80.1,8.2,"""Maintain oil ready successful foot, Issue Win long goal fine""","""Population; Rule argue and tax , Lot population blue cup many"""
Hunter Jackson,hunter_jackson_4606,43.0,86.1,95.2,"""Chance growth bit them; Civil president and animal , Improve represent health teacher""","""Dog: Against perform arm, Bit us"""
Barry Hood,barry_hood_0410,19.0,,85.2,"""(War above get) , Ever movement myself the and Physical each investment shoulder behavior""","""Bill nice I admit, Event might official life Ten heart movement bit"""
Isabel Lopez,isabel_lopez_3827,61.0,77.1,3.2,"""(Set question happy) , Throughout and Wrong away education no some significant""","""Country vote; Lot forget carry , Address"""
Marcus Bridges,marcus_bridges_0536,93.0,47.1,89.2,"""(Lose through) , Different thought and Past same because""","""Floor either: Important example to right reveal morning, Modern same safe"""
Lisa Whitaker,lisa_whitaker_8957,76.0,26.1,8.2,"""Painting, Lawyer listen decide lose party Lay discuss""","""Opportunity forward something, Everything fund employee Fire arm"""
Cynthia Thomas,cynthia_thomas_3024,35.0,8.1,50.2,"""Three mother according: Hear several, Sometimes style lose capital""","""Sound last south take, Myself Little"""
Alyssa Adams,alyssa_adams_2227,29.0,68.1,98.2,"""Television teach low learn clear imagine: Defense hotel necessary pick, Shoulder hand huge really""","""(Represent note old ground trouble step) , Site rather important peace spend and Music character camera"""
Tiffany Nelson,tiffany_nelson_6385,39.0,91.1,50.2,"""Out action information this, When street especially cell Cost white from likely nature""","""Note: Experience, then Enter"""
