# This is a comment line to skip
username;name;age;score;price;remark
anne_brown_3766;Anne Williams-Brown;9.0;12.1;57.2;"""Note: Aperiam ad; then Occaecati dolores ad"""
dr_thomas_5628;Dr Robert Thomas;2.0;25.1;57.2;"""(Numquam eos similique molestias maiores) ; Quisquam quis hic and Impedit sapiente aliquam delectus"""
albert_allen_9566;Albert Green-Allen;22.0;1.1;16.2;"""Note: Corrupti quis fugiat; then Cumque quod"""
daniel_james_6179;Daniel James;3.0;21.1;16.2;"""Pariatur ad saepe id; Quos voluptatem Aspernatur voluptate placeat"""
mrs_warner_2625;Mrs Emily Warner;;8.1;64.2;"""Sapiente quasi tenetur: Nihil mollitia unde; Quae porro"""
antony_holden_5810;Antony Holden;88.0;45.1;43.2;"""Tenetur repellendus: Optio aperiam ea distinctio; Dignissimos earum provident"""
roger_reid_7709;Roger Reid;18.0;60.1;85.2;"""Modi numquam at; Voluptatibus aliquam ; Pariatur ab nostrum"""
miss_cooper_6423;Miss Jacqueline Cooper;45.0;31.1;62.2;"""Possimus sapiente; Eveniet totam quasi ipsum ; Voluptates quis ut animi neque vel"""
marie_smith_1076;Marie Smith;17.0;91.1;26.2;"""Perspiciatis ut; Reiciendis ; Suscipit velit"""
george_jones_8954;George Jones;42.0;78.1;10.2;"""Corporis; Inventore nam In culpa sed distinctio"""
michelle_austin_5804;Michelle Austin;47.0;55.1;12.2;"""Tenetur nesciunt; Voluptatibus enim assumenda sequi reiciendis Quas ducimus"""
dr_baxter_0315;Dr Adam Baxter;58.0;8.1;73.2;"""Repellat: Modi laudantium; Voluptatibus perferendis sed"""
nicholas_phillips_4006;Nicholas Phillips;19.0;82.1;35.2;"""(Tempora) ; Sit voluptatum enim and Eligendi eaque nesciunt"""
mr_davey_4385;Mr Keith Davey;27.0;14.1;93.2;"""Voluptatum consequatur; Ex ; Eligendi velit doloribus"""
mr_harvey_8801;Mr Alan Harvey;1.0;91.1;78.2;"""Sit sit; Odio laboriosam dolore Laudantium nisi"""
shaun_lee_9378;Shaun Lee;32.0;54.1;43.2;"""(Voluptas dicta occaecati) ; Deleniti cumque incidunt velit delectus voluptatem and Architecto"""
maria_davies_1637;Maria Davies;76.0;15.1;59.2;"""Note: Alias; then Sapiente"""
mrs_tomlinson_1303;Mrs Jade Tomlinson;92.0;79.1;31.2;"""Note: Vel voluptatibus optio; then Nemo voluptatibus accusamus"""
mrs_stephenson_9486;Mrs Danielle Stephenson;68.0;25.1;26.2;"""Note: Sint quia itaque eligendi molestias; then Aspernatur adipisci enim"""
donald_griffiths_3900;Donald Griffiths;22.0;14.1;78.2;"""Dolorum dolorem; Molestiae tempore ; Aliquam"""
sandra_roberts_3732;Sandra Roberts;71.0;6.1;64.2;"""Occaecati nihil; Inventore praesentium velit voluptate commodi quos Possimus nostrum soluta magnam doloremque"""
