name	price	total_count	age	comment	summary
June Watkins	35.0	40.1	70.2	'''(Voluptas ad) 	 Aperiam perspiciatis and Sapiente illum earum'''	'''Voluptates nemo consequatur; Dolorem cum 	 Repellendus minus'''
Paula Chapman	4.0	86.1	32.2	'''Doloremque aspernatur numquam aspernatur	 Maiores sint doloremque doloribus sint Excepturi eligendi consequatur aperiam'''	'''Deleniti commodi debitis: Voluptate	 Vel'''
George Jones	82.0	17.1	17.2	'''Note: Maiores quod quaerat	 then Laborum nobis recusandae quo magni'''	'''Note: Suscipit	 then Magnam'''
Paul Yates	13.0	9.1	11.2	'''Similique rem modi nihil corrupti; Repellendus iusto ipsum 	 Delectus'''	'''(Consequuntur ratione) 	 Quisquam at dolore laborum and Quae expedita accusantium error praesentium'''
'Dr Jemma O''Neill'	83.0	49.1	2.2	'''Tenetur	 Veritatis Quas quas eum'''	'''Non quisquam; Totam 	 Ipsum necessitatibus'''
Mr Michael Lowe	96.0	15.1	60.2	'''Accusantium aliquid vitae: Laudantium nostrum occaecati	 Eius animi qui'''	'''Earum suscipit aut earum consequuntur: Consequuntur	 Ab fuga aliquid'''
George Lynch	15.0	44.1	6.2	'''Atque inventore facere: In cum soluta quas	 Et perspiciatis'''	'''Note: Facere alias	 then Assumenda animi maxime'''
Mr Conor Heath	74.0	1.1	29.2	'''Iure asperiores modi eveniet: Veritatis minima	 Harum est labore'''	'''Ipsa maiores cum; Tenetur quis odit 	 Vel expedita numquam'''
Dr Ann Morgan	70.0	71.1	71.2	'''Ea culpa; Commodi sequi 	 Et ducimus quidem perferendis eos et'''	'''Vitae nesciunt; Tempore omnis doloremque 	 Laboriosam eaque nulla'''
Barbara Parker	7.0	95.1	36.2	'''(Itaque et) 	 Voluptatum laboriosam and Officiis culpa sunt esse minus'''	'''Atque facere unde explicabo fuga aperiam	 Dolor debitis at Ipsam illo commodi consequatur voluptates nulla'''
e	80.0	72.1	40.2	'''(Vitae) 	 Tenetur voluptate earum and Fugiat dolores veritatis rem nam quasi'''	'''Sunt sit a; Expedita iste sequi voluptates 	 Aliquid placeat vero'''
Lindsey Lyons	90.0	17.1	59.2	'''Note: Quas voluptatem voluptas	 then Similique perferendis enim quam'''	'''Note: Tenetur enim deserunt ea nihil ducimus	 then Earum ullam minus nihil'''
Anthony James	13.0	3.1	42.2	'''Fugiat; Voluptatibus 	 Voluptates adipisci'''	'''Impedit corporis sed	 Repellat deserunt Perspiciatis reprehenderit'''
Bernard Andrews	10.0	36.1	2.2	'''Note: Optio	 then Ipsam voluptatibus et'''	'''Note: Incidunt reiciendis	 then Quidem rem'''
Clare McDonald	95.0	70.1	52.2	'''(Recusandae ea) 	 Saepe tempora officia and Fuga provident accusamus tempore recusandae architecto'''	'''Quae magni perspiciatis voluptate: Sunt ipsam	 Nesciunt unde'''
Dr Shaun Ellis	11.0	16.1	43.2	'''Est dolorem repellendus	 Occaecati maxime nemo laudantium hic Odio et ipsum'''	'''(Nemo dolore occaecati perferendis ipsum) 	 Natus and Beatae dolores'''
Maurice Power	18.0	89.1	20.2	'''Ea debitis nihil; Ipsa inventore 	 Facere vitae praesentium'''	'''Esse debitis aliquid: Atque sint nam illum saepe	 Ullam laborum quaerat quisquam magnam odit'''
Dr David Russell	88.0	84.1	24.2	'''(Aperiam minus inventore sit) 	 Cum saepe suscipit maiores and Libero sint'''	'''(A sint id deserunt) 	 Optio qui nisi officiis mollitia nobis and Sit eius autem iste dicta voluptates'''
Hollie Singh	73.0	8.1	57.2	'''Note: Explicabo animi	 then Inventore eaque adipisci'''	'''Reprehenderit ullam praesentium at ab ullam	 Quis vero Nisi consequuntur'''
Deborah Evans	15.0	21.1	37.2	'''Ducimus optio	 Distinctio voluptates magni Deserunt ex'''	'''(Vel necessitatibus perspiciatis placeat) 	 Ad ullam quaerat recusandae minus and Inventore nesciunt ad'''
Dr Kimberley Hussain	83.0	52.1	77.2	'''(Voluptate accusamus aliquid cupiditate) 	 Tenetur laboriosam nobis and Nisi deleniti'''	'''Eius dignissimos minima dolor reprehenderit; Optio quam perferendis eligendi iusto 	 Voluptas ratione cum natus'''
Dr Christian Young	70.0	8.1	29.2	'''(Laboriosam) 	 Facere excepturi dolore iusto accusamus and Eligendi eligendi minima molestiae'''	'''(Deleniti neque perferendis) 	 Quo asperiores facilis quibusdam earum and Ducimus adipisci quas ad quasi'''
Ms Rita Shaw	17.0	37.1		'''Note: Ullam	 then Debitis illum'''	'''Ab perferendis architecto error ullam	 Itaque culpa corrupti repellat Eveniet debitis optio'''
Michael Moore	86.0	51.1	86.2	'''Deserunt autem totam dolores consequatur laboriosam; Possimus 	 Et'''	'''Nobis unde: Dicta	 Quod'''
Chloe Dixon-Wood	60.0	20.1	88.2	'''(Voluptate) 	 Quam and Tenetur consectetur'''	'''(Aspernatur nemo fugit aperiam) 	 Quae quaerat and Quia iure perspiciatis ratione doloribus illum'''
Vanessa Walton	27.0	27.1	12.2	'''Repudiandae porro sequi; Magni ratione 	 Natus reprehenderit dolores'''	'''Temporibus unde accusamus quia; Commodi 	 Recusandae asperiores aliquid nemo'''
