# This is a comment line to skip
name;rating;price;salary;message;summary
 ;79.0;26.1;65.2;"""Ut exercitationem consequuntur; Quas vel ; Delectus ipsum necessitatibus""";"""Architecto; Ipsam rerum Ullam est voluptatibus sequi consequuntur cupiditate"""
Craig Field;43.0;90.1;74.2;"""Dolores dolores beatae: Doloremque optio ipsam perspiciatis; Magni""";"""Nobis iste ea; Blanditiis voluptates odio Placeat"""
Mr Abdul Dawson;19.0;18.1;27.2;"""(Dolores quidem sit) ; Adipisci and Explicabo ut voluptas""";"""Note: Laboriosam iusto id ex eveniet esse; then Modi earum consequuntur"""
Emma Archer;46.0;28.1;33.2;"""Voluptatibus fugit facere vitae ipsa; Earum Qui aliquam a sed tempore""";"""Nisi architecto sed; Ullam soluta ; Ut alias"""
John Noble;49.0;66.1;63.2;"""Iste aliquam vero; Consectetur quae ea natus doloribus amet ; Magnam voluptate laudantium fuga architecto""";"""Reprehenderit voluptates quis: Veritatis doloremque; Nihil sunt dolorum"""
Edward Brennan;65.0;34.1;69.2;"""Note: Non quas; then Nisi id nam debitis minus""";"""(Nostrum) ; Laborum accusamus mollitia totam quod and Quidem"""
Dennis Evans-Hart;12.0;32.1;;"""Dolorem nemo officiis; Veniam quisquam Veniam nihil""";"""Note: Necessitatibus; then Velit vero"""
Margaret Swift;17.0;28.1;20.2;"""Quidem vitae; Quos Possimus molestiae repellendus vitae ad""";"""Expedita: Eos exercitationem nemo molestias; Voluptate ad totam"""
Miss Anna Woods;74.0;;37.2;"""Quod earum: Tenetur sequi; Vitae molestias sequi""";"""Odit: Quae alias accusantium; Deleniti libero"""
Lindsey Walker;71.0;31.1;18.2;"""Dolorum tenetur culpa excepturi: Accusantium accusantium itaque tempore quis; Odit molestiae""";"""Saepe fuga iste aliquid assumenda; At repellat quae Animi dolorum ipsa"""
Craig Gibbons;46.0;34.1;47.2;"""Porro inventore quis; Fugit nemo ; Expedita""";"""Amet quam eos: Modi; Error sapiente explicabo tempora"""
Ms Joanna Holt;45.0;50.1;10.2;"""(Doloribus possimus) ; Amet and Doloribus earum""";"""Note: Quisquam pariatur necessitatibus quae; then Impedit consequuntur unde non"""
Mr Sam Richards;68.0;30.1;43.2;"""(Cum) ; Veniam magnam and Culpa eaque odit laudantium""";"""Note: Occaecati iure distinctio accusantium ab repellendus; then Aperiam maiores animi"""
Dr Richard Barlow;30.0;96.1;2.2;"""Odit voluptatem: Laboriosam autem modi; Porro""";"""Aspernatur molestiae officia inventore: Iusto; Suscipit ullam consequatur porro necessitatibus molestias"""
Dr Wayne Davies;60.0;52.1;50.2;"""(Ullam quos eveniet) ; Consectetur quidem omnis and Tempore tempora facilis""";"""Note: Quaerat pariatur nobis asperiores voluptate praesentium; then Voluptates officiis porro molestias corrupti"""
Edward Page-Yates;95.0;77.1;17.2;"""Molestias aspernatur: Provident vel atque quod; Similique""";"""Note: Dolorem beatae at corporis dicta; then Voluptate"""
Christine Thomson;27.0;96.1;23.2;"""Quia ut ipsam; Nobis ; Modi dolorum""";"""Id mollitia: Laboriosam dolorem nesciunt; Adipisci officia ipsa"""
Jodie Thompson;5.0;26.1;91.2;"""Note: Impedit odit; then Quia minus quod""";"""Reiciendis dignissimos consequatur placeat: Debitis odit; Sed officia"""
Gary Chan;31.0;34.1;13.2;"""(Fuga) ; Ea dicta aperiam and Officia""";"""Cumque ducimus repudiandae; Aperiam Iste accusantium"""
Dr Stanley Finch;78.0;55.1;89.2;"""Aut sed: Iste rem; Esse fugiat""";"""Ratione cupiditate; Commodi dolore ; Provident voluptates non"""
Wendy Leach;56.0;33.1;18.2;"""(Ducimus voluptates quas impedit quisquam reiciendis) ; Tempora ratione eligendi nam quam and Rerum saepe optio""";"""Corrupti sint; Assumenda quae ; Itaque tempora"""
Roy Stone;58.0;1.1;36.2;"""Fuga inventore; Illo unde perferendis ratione ab error quam Magni placeat fugiat fugiat ea in""";"""(Corporis temporibus reiciendis adipisci) ; Autem sunt suscipit and Omnis repellat ut exercitationem"""
Louise Armstrong;27.0;99.1;40.2;"""Voluptatibus soluta: Pariatur repellendus non nemo; Maiores quas iure""";"""Eaque odio fuga fuga iste; Ut incidunt sint consequuntur Ex voluptates iure"""
June Daniels;78.0;73.1;49.2;"""Velit; Omnis Molestiae nobis""";"""Note: Quo aut; then Modi tempora"""
Lewis Patel;56.0;63.1;12.2;"""Assumenda quo: Quos exercitationem laborum numquam voluptates; Quae nostrum reprehenderit""";"""(Neque explicabo) ; Pariatur voluptatum quaerat dolores quidem and Velit"""
Carly Yates-Fletcher;52.0;56.1;44.2;"""Note: Illo maiores minima id; then Omnis quae maxime""";"""Note: Inventore sit; then Harum delectus neque rem"""
Antony Lynch;;62.1;42.2;"""Delectus; Temporibus amet sequi ; Iusto rem inventore earum similique""";"""Ducimus ipsa autem cum necessitatibus: Magnam modi reiciendis; Molestias veniam voluptates"""
Mrs Kimberley Johnson;33.0;55.1;21.2;"""Note: Nam recusandae in fuga ut sunt; then Placeat""";"""Note: Praesentium numquam labore; then Accusantium quibusdam dignissimos delectus quisquam"""
