# This is a comment line to skip
username;name;score;price;message
kim_taylor_5733;Kim Taylor;58.0;18.1;"""Aliquid facilis libero rerum cupiditate; Non ut sed ; Delectus dolorem consectetur"""
ms_law_4573;Ms Katie Law;7.0;13.1;"""Beatae eum; Soluta tenetur quae quae iusto quia ; Blanditiis provident"""
ms_chapman_4130;Ms Zoe Chapman;37.0;99.1;"""Voluptate earum sequi: Deleniti molestiae aliquam delectus officiis; Dolorum excepturi"""
dr_wyatt_6661;Dr Jordan Wyatt;39.0;15.1;"""Note: Optio tenetur corporis suscipit nihil; then Optio natus aperiam odio optio accusantium"""
zoe_jackson_7719;Zoe Jackson;;47.1;"""Note: Accusantium quisquam architecto tenetur sed amet; then Veniam perferendis ipsam officia nemo"""
ms_howell_6197;Ms Lucy Howell;71.0;52.1;"""Cupiditate incidunt officia repudiandae: Labore eligendi; Exercitationem delectus beatae ipsa velit omnis"""
janice_knowles_7017;Janice Knowles;85.0;48.1;"""Quaerat atque deleniti vero: Numquam dolores nemo; Molestias distinctio delectus sed"""
alexander_barber_8522;Alexander Barber;44.0;83.1;"""Voluptatum quibusdam; Ab impedit ; Necessitatibus"""
marion_gilbert_1442;Marion Gilbert;32.0;19.1;"""Hic eligendi perspiciatis; Beatae expedita impedit labore asperiores Fugit"""
patrick_griffin_8209;Patrick Griffin;43.0;68.1;"""(Illo iste) ; Cumque nam maxime and Mollitia officiis"""
alison_bennett_6369;Alison Mason-Bennett;55.0;86.1;"""Vero: Quaerat; Commodi dolores adipisci explicabo"""
martin_evans_0465;Martin Evans;71.0;18.1;"""Incidunt accusantium quaerat; Ipsum Natus sequi"""
mrs_bell_6883;Mrs Eleanor Bell;66.0;13.1;"""Impedit aperiam; Libero occaecati delectus nostrum Quaerat"""
paula_brooks_4895;Paula Brooks;13.0;71.1;"""Sapiente vel iure: Quas eligendi autem; Error quidem explicabo libero reiciendis vel quia"""
mrs_brown_6025;Mrs Amanda Brown;57.0;37.1;"""Sequi earum; Qui doloremque incidunt Occaecati autem"""
michael_smith_6509;Michael Smith;47.0;71.1;"""Note: Assumenda consequuntur voluptates aliquam; then Aut perferendis"""
jeremy_day_7639;Jeremy Day;47.0;80.1;"""Note: Ad perferendis quidem; then Commodi inventore laborum vitae"""
dr_bell_4423;l;8.0;22.1;"""Modi necessitatibus distinctio distinctio; Mollitia nostrum harum ; Quia vero accusamus saepe quis id"""
edward_hughes_0142;Edward Hughes;66.0;45.1;"""Laudantium nesciunt tenetur: Architecto placeat provident at; Veritatis delectus sint dicta"""
jordan_chamberlain_5839;Jordan Chamberlain;95.0;89.1;"""Repellat omnis voluptatum earum cupiditate; Sed ab doloribus Nulla itaque magnam placeat"""
dr_tomlinson_8137;Dr Julian Tomlinson;6.0;63.1;"""Laboriosam esse; Iusto animi ; Eaque"""
dr_houghton_9935;Dr Mandy Houghton;35.0;61.1;"""Ullam tenetur; Dolores at qui ; Deserunt nihil deleniti sit"""
mrs_richards_6003;Mrs Diana Richards;15.0;71.1;"""Maiores temporibus sapiente; Voluptates commodi ; Quia ab itaque"""
frank_barnes_9529;Frank Barnes;28.0;25.1;"""Provident nihil dolore exercitationem: Vitae dolorem; Placeat"""
paula_owen_8279;Paula Fry-Owen;49.0;97.1;"""Natus reprehenderit molestiae; Doloribus ; Exercitationem enim non quidem a"""
