# This is a comment line to skip
username,price,remark,review
mr_peters_2718,11.0,"""Officiis illum eius; Porro numquam eaque fugiat asperiores voluptatum , Sapiente doloremque""","""Temporibus nihil nam; Magni facere , Molestias iste"""
joseph_wilson_4776,25.0,"""Odio quod reprehenderit deserunt, Molestiae nisi Provident quia""","""Note: Dignissimos voluptate, then Exercitationem nihil"""
kyle_mann_7808,53.0,"""Corporis ex dolor: Est tempora quidem perspiciatis error aperiam, Ut delectus esse nemo veritatis""","""Alias beatae maxime qui ex laboriosam, Repellat odio deleniti doloremque cum Unde consectetur reiciendis deleniti autem"""
lewis_murphy_5906,53.0,"""Reiciendis iste aliquam; Quae soluta , Distinctio magni praesentium""","""Distinctio iusto voluptatum, Possimus Distinctio autem quasi cupiditate"""
ms_griffin_0304,62.0,"""Voluptas tenetur, Corrupti Ex veritatis rem iusto at a""","""Harum iusto porro; Blanditiis , Earum iusto"""
mitchell_roberts_3701,57.0,"""Repudiandae culpa maiores atque: Blanditiis, Quaerat sint adipisci inventore""","""Molestias at hic, Maiores maxime accusamus Aperiam nisi voluptas"""
elaine_fox_1105,82.0,"""Note: Deserunt ratione itaque accusantium, then Reiciendis est aliquam quia""","""Fugiat distinctio animi minus: Corporis optio, Esse"""
dr_green_5733,1.0,"""(Assumenda nobis) , Nihil quisquam numquam voluptate and Expedita qui""","""Note: Placeat fuga cumque voluptatibus, then Dicta dolor natus"""
henry_hopkins_9577,,"""Autem magnam quia cumque; Aut assumenda commodi dicta , Iure explicabo iusto vel""","""Eum dolore, Veniam Error ut quas"""
francis_robson_8552,38.0,"""Inventore: Qui officia cum esse, Animi laborum consequuntur""","""Unde totam; Quia corrupti , Dolores corporis"""
guy_birch_9212,39.0,"""(Necessitatibus quisquam nihil) , Nobis aperiam quidem laudantium and Perferendis fuga provident modi fuga commodi""","""Fugiat, Temporibus quod voluptatum maxime possimus Laboriosam ratione quam"""
trevor_bates_0982,71.0,"""Non; Enim voluptatum , Atque veniam""","""(Ut aperiam nulla natus excepturi perspiciatis) , Iste magnam delectus placeat nesciunt dolorum and Omnis rerum voluptas"""
sylvia_hall_2799,24.0,"""(Delectus nesciunt) , Ea laboriosam distinctio deserunt eos and Ullam ut""","""Ipsa: Expedita natus nihil doloribus, Voluptate a"""
abbie_jarvis_9873,12.0,"""Quaerat deleniti consequuntur culpa at; Aliquid vitae cumque , Minus velit""","""Assumenda saepe, Dignissimos eligendi Assumenda amet rem perferendis sed"""
jeremy_wilson_7168,2.0,"""Deserunt odit; Voluptatem veritatis sit , Sed nemo""","""Note: Vero corrupti cumque unde quis, then Qui nostrum"""
