# This is a comment line to skip
name,price,salary,comment,note
Nathan Jones,75.0,89.1,'''However ready head agent; Drop wait church , Simple bank ask cell type''','''Note: Buy sit structure down, then Blood writer'''
Cassandra Spence,63.0,71.1,'''(Stuff since) , Main and Pass improve audience''','''Note: World away condition, then Age'''
Stephanie Baker,63.0,13.1,'''Left there music common imagine, Down series pick government city Human foreign environment four''','''Note: Common second water describe last vote, then Season it letter'''
Michael Bowman,93.0,57.1,'''Note: Want artist story charge significant fast, then Discussion most''','''(Every general nothing reason) , Be order and Six arrive sister generation'''
Andrew Johnson,72.0,9.1,'''Past, Later game seem behavior Individual add''','''Discuss word, Single light authority Century compare compare either trade lead'''
Sean Thompson,55.0,47.1,'''Fire sort skin red book, Always campaign direction build thus opportunity List special''','''(Girl control) , Three reveal among oil research and Wall indeed plant second per'''
Isaiah Cooley,80.0,41.1,'''Note: Throw, then Say effect fear his''','''(Month buy tree society) , Clearly line born various deep and Democratic store article imagine street'''
Steven Graham,43.0,70.1,'''Note: Once guy key, then Participant board gun''','''Analysis, Bank alone nearly Number'''
Kayla Nielsen,10.0,47.1,'''Career record scientist bill, Newspaper look Resource south through''','''(School) , Experience run factor back detail and Data remain'''
Dana Mendoza,76.0,23.1,'''Medical upon: Agent room, Before tonight''','''Challenge attention suffer; Image would scene , Might than present'''
Jessica Munoz,70.0,35.1,'''Note: Respond, then Culture benefit together nothing''','''Serious magazine; One , Responsibility now'''
Matthew Collins,7.0,43.1,'''Research follow finally: Trouble final those baby collection, Take simple poor owner down''','''None claim rock himself action early; Choice , Mr plant'''
Courtney Cruz,4.0,45.1,'''Remember something meeting stage mind recently, Control low Money appear''','''Successful yet hope, Force around music Religious'''
Chris Jennings,65.0,98.1,'''Here rate, Address glass Weight when''','''Heavy son resource standard bring, Maintain past Become citizen story hard thus'''
Dawn Adams,20.0,59.1,'''Note: Plant plant care, then Long''','''Beautiful: Hospital send compare mean identify, Television'''
Clarence Charles,92.0,12.1,'''(Produce loss) , Reason and Ever onto month onto final attack''','''Those including: Trial time support sister class, Bag scientist manager remember'''
Megan Garcia,45.0,91.1,'''Note: Be industry fine, then Song people market''','''Simply between: Third tonight kind go security, Knowledge old'''
Justin Crawford,87.0,65.1,'''Note: Term letter already, then Game current under window''','''(When clearly however first brother particular) , Ago accept and Sign among sea Republican'''
D,,32.1,'''(Whether too) , Water and Sometimes per where''','''Tonight us voice: Situation under treatment, Maintain'''
Cristian Kent,37.0,8.1,'''(Office stand within system policy) , Travel if catch and Term fall language''','''Note: Operation agency, then Left'''
Matthew Harris,11.0,4.1,'''(Second room sell) , Future example evening money human and Condition meeting possible chance leave''','''Report moment blue large; Sea because language , If'''
James Dorsey,8.0,12.1,'''(Respond trip finally) , You pressure and Movement pay enter science''','''(North employee) , Bad road west and Similar early learn'''
Raymond Sanchez,69.0,20.1,'''Remember pass meeting role, Discuss lead That degree''','''(That letter) , Indicate this and Represent would keep water live'''
Benjamin Evans,89.0,84.1,'''Determine strong side whether buy may, Might board Wall physical fine floor''','''Than heavy expert; Yes finish bad activity , Democratic law sound girl'''
Olivia Berry,93.0,76.1,'''Only raise impact, Congress knowledge Establish wait''','''Its worry radio, Enjoy behavior sit worry Director significant energy'''
Kevin Rogers,65.0,25.1,'''Condition time, Raise success Happy join at current''','''News Congress effort institution: Bit computer management door, Cold stand never'''
Mr. Bradley Powers,81.0,59.1,'''Note: A charge between five, then Music reveal often rise''','''Religious past network: Remember field serious, Sometimes debate'''
