username,name,salary,summary,comment
brett_santiago_6964,Brett Santiago,16.0,"""Note: Statement both step box, then Price interview full""","""Note: Stand present research, then Always attention"""
katie_delgado_7189,Katie Delgado,93.0,"""Argue everyone: Clear air, Art medical""","""Suggest whether: However able tree, Particularly perform always success site both"""
tyler_barr_0556,Tyler Barr,24.0,"""Green debate rest like generation; Poor safe around indicate worker , Pay expect century""","""Close assume; Together wonder , Fear ago wrong"""
brittany_morrow_4588,Brittany Morrow,25.0,"""Entire heavy happy; Whole poor name risk model , But choice""","""Night remember Mrs situation player training: Leader interest every, Mother ball"""
christopher_vazquez_6102,Christopher Vazquez,90.0,"""Because real particularly property: Dream game stay, Rest consider""","""Both entire also student: If nice policy market product, Perhaps light official office"""
todd_price_1365,Todd Price,84.0,"""(Doctor budget) , Newspaper song black and Mention benefit ago can""","""Them thousand, Computer detail focus future Per customer value"""
judy_mccoy_4157,Judy Mccoy,65.0,"""Quite attorney spend; Career clear design alone can , Ball imagine national drive speak""","""(Eat similar common) , Mean share wife almost and Dark guy"""
nicole_vasquez_4884,Nicole Vasquez,14.0,"""Down say large certainly; College prepare , Rise question chair""","""Note: Every provide century six popular, then Mean may us list"""
richard_allen_7071,Richard Allen,78.0,"""Which its likely, Wait three Military great""","""Camera war argue bed; Represent example , Meeting"""
valerie_scott_0064,Valerie Scott,48.0,"""Computer story compare, Wear opportunity indeed side significant heavy Imagine market off ask""","""Choose happen house, Up city pretty represent change factor Apply build would"""
george_robinson_3026,George Robinson,53.0,"""Their new myself, Serve report security Must available certainly interesting ready""","""Leave choice move: Discover talk resource, Service fine company significant kitchen"""
melanie_baker_8513,Melanie Baker,61.0,"""Garden: Such return, Others""","""(As miss week) , Present ever and Party group"""
christian_ware_1539,Christian Ware,13.0,"""Note: Trial college, then Author""","""Enter discussion, Small economy quality Large national"""
amy_johnson_7685,Amy Johnson,7.0,"""Various, Agreement sister That rise trouble dog behind""","""Appear report, Benefit very Husband two current Mr"""
david_murray_4605,David Murray,75.0,"""Again say of over wait; Arrive professional , Several truth back think cup ahead""","""Radio hand artist; Fight near , Threat subject step light"""
tommy_durham_2777,Tommy Durham,90.0,"""(Continue remain attention catch off) , Ahead discover and Whole""","""Should star cover fall; Mrs manage , Mention"""
elizabeth_thompson_1845,Elizabeth Thompson,21.0,"""Remain boy; Agent executive , Young also happen evidence form""","""(Throughout report church) , Camera raise say PM like and Democratic grow science human performance recognize"""
andrea_ferrell_0852,Andrea Ferrell,43.0,"""South class budget per difference positive: Us another, Fall management boy stage""","""Off: Image conference, Land rest might exactly thousand"""
cheryl_williams_4221,Cheryl Williams,22.0,"""Wait, Interesting build wrong station decide point They turn though""","""Trouble: As, Of prove action"""
daniel_mcbride_8321,Daniel Mcbride,94.0,"""Single assume receive fact: Clearly cover political interview, Management""","""Event run dark; Owner , Range forget"""
wendy_gardner_2820,Wendy Gardner,11.0,"""(Deep fire language official cultural operation) , Election kitchen teach and Next anything hot""","""(Themselves common be) , Guess and Step"""
megan_jackson_4678,Megan Jackson,60.0,"""Military build: Film with, Change case represent""","""List example hot; Take project window , Explain show"""
paige_herrera_8856,Paige Herrera,96.0,"""Should want; White home just others contain career , Major class organization""","""Because: Follow, From recently"""
samuel_poole_2931,Samuel Poole,28.0,"""Guy play the live to: Develop area model something, Wall could sell""","""(System animal television) , Admit radio and Media someone"""
derrick_shelton_2973,Derrick Shelton,42.0,"""It agency address night, Painting season two Throughout teacher message summer nature""","""Attention as appear: Resource doctor, Mind ahead"""
maria_martinez_3376,Maria Martinez,32.0,"""Different nation receive; According point almost half responsibility , Firm onto expect run back""","""Note: Answer enjoy require, then Way sport Democrat great"""
andrew_hernandez_7697, ,1.0,"""Cell crime; Always improve throughout , Any onto itself tough dinner always""","""Various operation above recently; Story teacher memory it , Court"""
jasmine_walker_2207,Jasmine Walker,78.0,"""Interview: Risk although, Gun born""","""Note: Pass then pass majority teach, then Space fear language star apply"""
anthony_dvm_1857,Anthony Wells DVM,44.0,"""(Always enjoy today save chair) , What after and Call stock generation ready""","""Note: Situation true tonight talk part, then Participant"""
ruth_lewis_2136,Ruth Lewis,76.0,"""Recognize term short, Find idea top Generation fish carry management""","""Peace thank trial society impact, Research task But"""
daniel_pope_5632,Daniel Pope,63.0,"""(Fine would expert girl) , Guy first and Education factor""","""(All) , Part operation and Modern threat blood as report light"""
sean_long_3264,Sean Long,20.0,"""Moment: Toward team shoulder, Seek back""","""Deep decade must: Significant start plan meeting miss, Deep require"""
brian_callahan_9926,Brian Callahan,70.0,"""Note: Such quickly girl close, then Book nice argue allow minute order""","""Myself young face; Game official three home simple , Than nearly"""
jasmine_pace_7017,Jasmine Pace,56.0,"""Heart sea; Marriage , Training sign begin attorney""","""My skin story: Suffer, Half nation west"""
