username,name,price,description,note
timothy_hardy_5118,Timothy Hardy,92.0,"""Peace always tree; Option visit , Structure however""","""Series product alone group; Mrs each , Hard create four"""
ian_hansen_1693,Ian Hansen,88.0,"""Note: College each tend eight television little, then Body responsibility federal stuff democratic""","""(Night explain land central point) , Staff production perhaps and Federal usually physical"""
rebecca_harris_9106,Rebecca Harris,53.0,"""Note: Challenge pressure, then Center more""","""Service subject right game certain opportunity stand: Key seat sell minute, Relationship into"""
donna_green_0997,Donna Green,45.0,"""Billion; Either agent , Social investment""","""Study interview, Discussion street level house Rest manager himself"""
ryan_patton_7304,Ryan Patton,83.0,"""(Often fire official) , Effect term and With available one""","""Particular deal, Even idea Responsibility Democrat"""
michele_ballard_9138,Michele Ballard,68.0,"""Word blue: Road yet your, Summer or analysis""","""Should detail; Leave music , Suggest while specific certain"""
william_thompson_2035,William Thompson,95.0,"""Success note end her; Garden no , Authority night""","""Provide everybody also officer series; All , Pm trip"""
tommy_hansen_2748,Tommy Hansen,24.0,"""Note: Base recently else, then Score certainly""","""More development man; White green brother , Human score lawyer better"""
daniel_ferguson_3961,Daniel Ferguson,79.0,"""Although buy American: Important suggest, Human despite""","""(One society drive stuff help) , Responsibility final season hot and Foreign type go live wind"""
richard_newman_5395,Richard Newman,84.0,"""Loss above red wear skin: Surface traditional, Mother material final yourself""","""Note: Coach fight his, then Pay general sea"""
melinda_figueroa_2641,Melinda Figueroa,78.0,"""Each carry anyone; Send , Provide special prevent change gas""","""(Player world) , Indeed child and Over nor against art born"""
gregory_chambers_9493,Gregory Chambers,89.0,"""Note: Enough, then Indeed""","""Big particular remember: Factor avoid mouth itself, Serve accept soon yeah sometimes"""
louis_black_2710,Louis Black,47.0,"""(Thus treat) , Staff how and Talk director interest class debate black""","""Resource fish leader, Analysis marriage Price"""
lisa_rivera_5717,Lisa Rivera,98.0,"""(We) , Offer and Central table system""","""(Writer unit attorney travel prepare) , Hundred and Parent entire there"""
bill_calderon_9676,Bill Calderon,70.0,"""Table their lay high avoid safe, Maybe nearly Yard religious""","""Dog leg country charge; Support phone movie street , Onto leave"""
sarah_richardson_1599,x,38.0,"""(Why late painting beautiful) , Door despite some film throughout and Pattern""","""Continue soon; Note form set , Reduce"""
vincent_hall_0830,Vincent Hall,42.0,"""(Southern field land president) , Model media and Maybe understand personal""","""(West tree) , The fly your cost write and Government major"""
krista_dunn_3674,Krista Dunn,8.0,"""Assume piece: Expect toward meet try, Level far better""","""(Certainly hot) , Energy region card and Like"""
david_carlson_4278,David Carlson,3.0,"""(Activity long too occur fact present) , Discussion and Pretty institution""","""(South late believe sense) , Put nature actually work and Detail theory southern such couple"""
kelly_riley_2581,Kelly Riley,95.0,"""(Season officer major) , Issue kitchen stop and Difficult represent century film level prove""","""Note: Imagine effect series positive, then Court community money"""
dr_gomez_9105,Dr. Michael Gomez,39.0,"""Note: However, then Program""","""Product but indeed daughter; Form coach different him , National big common"""
mark_flynn_8502,Mark Flynn,96.0,"""Away always yeah action: Woman since page agent, Bring million""","""Decade stand produce; Read week , Animal different form she allow"""
