# This is a comment line to skip
username;name;price;score;description;message
brittany_howe_1236;Brittany Howe;71.0;10.1;"""(Buy century) ; Step effect help computer central and Provide""";"""(Information meeting) ; Mention and Instead"""
ray_spencer_7028;Ray Spencer;100.0;71.1;"""Wear; Institution ; Real major development""";"""Leader; Argue charge area point Choice federal interesting"""
cassandra_sims_3223;Cassandra Sims;26.0;72.1;"""Note: Other church among account them investment; then Size never also others fine join""";"""(Various consumer) ; Simply organization and Spend"""
john_williams_6447;John Williams;;;"""Bar new check drug; Available what sign woman ; Nation around agree""";"""Security; Beat By fire final"""
jasmine_shaffer_9097;Jasmine Shaffer;18.0;80.1;"""Note: Property goal after white record tonight; then Participant figure especially society""";"""Note: Value side; then Seek under"""
julie_campbell_6902;Julie Campbell;71.0;89.1;"""Protect level ability; Power Something national how""";"""Happen ability; Involve thought morning story ; Dark"""
chris_owens_5976;Chris Owens;49.0;38.1;"""Arrive: Republican; Have growth""";"""Report always allow with pressure challenge; Glass born miss white study ; Pass include work"""
paul_villa_0005;Paul Villa;37.0;14.1;"""Tree or reveal manager trouble: Yes myself; Line born""";"""Key; Age number cover Sometimes treat say"""
diana_smith_4124;Diana Smith;5.0;57.1;"""Will late nice investment sort create; Should everyone technology place stuff able ; Shoulder again practice""";"""(Type charge) ; Project and Letter green nor"""
karen_green_5210;Karen Green;48.0;75.1;"""Participant almost: Join science certain; Phone stop authority degree return director""";"""Over identify; Amount again Pretty"""
charles_austin_3124;Charles Austin;44.0;98.1;"""(Turn social interest according now) ; Example four agree partner and Close""";"""Teach statement goal; Picture front agreement ; Factor business"""
jeffrey_whitehead_7159;Jeffrey Whitehead;22.0;43.1;"""Note: Leader site name build; then Throughout treat magazine""";"""(Allow form green) ; My us and She find its"""
kevin_fischer_0727;Kevin Fischer;3.0;13.1;"""Note: Training ground clear task; then Instead""";"""Part message owner; Moment use ; Time vote"""
cory_lee_5186; ;45.0;64.1;"""Note: Fight during than; then Art play structure""";"""Law; Down miss Minute political"""
caroline_morgan_0478;Caroline Morgan;87.0;86.1;"""Step develop nearly book; Into Start sit community""";"""Structure city something catch half watch: Personal mission there budget; Author both some spring rise early"""
brittany_wilson_7059;Brittany Wilson;65.0;79.1;"""Note: Myself involve power; then Everything common around our""";"""Value represent idea: Commercial suddenly good; Above become"""
christopher_fernandez_1374;Christopher Fernandez;20.0;88.1;"""Build growth pull pick; Line a clearly discover Hotel ok""";"""School act include; Approach chance interview late wait Now just teacher effort usually"""
james_park_8832;James Park;69.0;59.1;"""Machine close hit: Town want; Second pick""";"""Note: Herself add education sure hand need those; then Drop"""
daniel_thompson_4309;Daniel Thompson;69.0;83.1;"""Note: Mind writer; then Owner""";"""See: During cause mission; Necessary bad well interview"""
traci_dunn_6373;Traci Dunn;71.0;73.1;"""Sister structure best; Red man pay ; Theory somebody follow play book""";"""Note: Investment; then Receive lay family call kitchen community she"""
joshua_villarreal_6825;Joshua Villarreal;60.0;63.1;"""(Bit door image tree) ; Main film degree statement and Free""";"""Individual effort morning: Step hour treat improve; So"""
clinton_jordan_7891;Clinton Jordan;83.0;51.1;"""Improve while; Production enough ; Surface former""";"""(Reality ask) ; System live and Think since forward"""
paul_gonzalez_8421;Paul Gonzalez;20.0;30.1;"""Fund feeling; Skin later away List main""";"""(Onto course prove these young) ; Modern finally and Range answer specific peace"""
ryan_browning_8800;Ryan Browning;59.0;92.1;"""Approach east dream career low: Me official; Two serve food plan ten present""";"""Fact listen somebody; Number end physical away near baby ; You politics interest cover million"""
brandon_benson_2799;Brandon Benson;20.0;31.1;"""Home research real: Area rest rich reality; Difficult natural""";"""Sort really possible into; Push evening ; Very card executive"""
melvin_mills_8814;Melvin Mills;22.0;24.1;"""Note: Only vote least; then Box which build wind""";"""Certainly: Keep student choose; Summer center"""
