username	name	score	description	note
mr_hill_1259	Mr Lewis Hill	14.0	"""Perspiciatis distinctio iure: Veniam debitis	 Aspernatur eveniet"""	"""(Cumque fuga recusandae aliquid amet) 	 Odit nulla placeat sunt and Ratione culpa natus nihil"""
ms_davis_2226	Ms Jade Davis	43.0	"""Similique molestiae; Molestiae eveniet aliquid 	 Nesciunt"""	"""(Corporis saepe) 	 Consectetur dolorum ipsum and Porro minus"""
leslie_bull_8923	Leslie Bull	38.0	"""Note: In iste earum quis quasi labore	 then Occaecati commodi aliquam consequatur ipsa"""	"""(Rerum quia) 	 Perferendis architecto quos soluta omnis and Libero sunt ullam"""
jason_bennett_1945	Jason Bishop-Bennett	27.0	"""Autem; Laudantium a 	 Vel perferendis sequi"""	"""(Qui) 	 Enim and Eius vel"""
molly_harper_4624	Molly Clarke-Harper	2.0	"""Non doloremque aperiam ea: Ut doloremque ipsam illo	 Quaerat aut"""	"""Magni odio adipisci	 Iure voluptate Accusamus rem vitae"""
jennifer_miller_3870	Jennifer Miller	99.0	"""(Corrupti reprehenderit sit eaque) 	 Sequi pariatur and Tempora doloremque facilis"""	"""Tempore facilis consectetur eaque; Commodi quidem 	 Doloremque"""
mohammed_howard_5666	Mohammed Howard	15.0	"""Praesentium esse exercitationem	 Excepturi sint incidunt Itaque illum"""	"""(Rem deleniti deleniti) 	 Voluptatibus ex iure and Ab dicta est ipsam"""
stacey_smith_5983	Stacey Smith	74.0	"""Cumque: Reiciendis eaque voluptate non odit natus	 Vitae corporis pariatur suscipit saepe laboriosam"""	"""Quis perspiciatis: Ad totam	 Dolorem maxime facere aspernatur cumque"""
georgina_richards_4121	Georgina Wall-Richards	75.0	"""Note: Consequatur nihil	 then Hic perspiciatis sed non"""	"""(Magni optio voluptatibus) 	 Iure and Consequuntur veniam odio"""
dr_daly_2234	Dr Patricia Daly	83.0	"""(Fuga officia) 	 Reiciendis dignissimos eius and Consequatur sapiente"""	"""Placeat facere labore voluptatum possimus; Accusantium ex inventore possimus 	 Sit modi"""
dr_smith_9215	D	21.0	"""Dolores minus: Ea dolorum velit	 Debitis fuga quidem vel"""	"""Note: Quod soluta	 then Ipsum nam explicabo atque"""
jean_singh_4292	Jean Ross-Singh	86.0	"""(Quo) 	 Quas non cum and Commodi"""	"""Note: Adipisci	 then Distinctio asperiores"""
mr_pearce_3467	Mr Toby Pearce	16.0	"""Aliquam quibusdam quos: Eum animi laudantium	 Deleniti"""	"""Excepturi distinctio; Dignissimos in 	 Nam ex amet"""
mr_white_3829	Mr Samuel White	61.0	"""Note: Eligendi cupiditate qui	 then Rem autem dolores officia vitae exercitationem"""	"""Facere accusamus doloribus in; Neque eos 	 Ad velit iste at ullam"""
dr_holt_1624	Dr Matthew Holt	37.0	"""Note: Quas natus molestiae quasi itaque ipsum	 then Eveniet"""	"""Nemo quaerat molestiae; Harum exercitationem 	 Eos"""
rebecca_kaur_1151	Rebecca Smith-Kaur	55.0	"""Aut perferendis: Error	 Et voluptatum"""	"""(Maxime hic porro magni) 	 Consequuntur exercitationem and Ducimus eum adipisci non"""
donald_clark_5393	Donald Cook-Clark	70.0	"""Odit et aut ratione	 Odit neque perspiciatis esse ratione Architecto ut dolorem maxime eveniet autem"""	"""Quaerat mollitia sapiente accusamus fuga	 Placeat in pariatur Alias atque voluptatem esse corporis"""
ms_barber_6577	Ms Emma Barber	20.0	"""Vel voluptas ex ut aliquid dolorem: Totam quis magnam ducimus	 Magnam occaecati"""	"""(Debitis nesciunt minus) 	 Sunt dignissimos ratione atque and Occaecati quam"""
mr_evans_6445	Mr Philip Evans	19.0	"""Laudantium	 Alias voluptate Assumenda expedita tempore tempora repellat"""	"""Veritatis et	 Iusto Vel blanditiis"""
geoffrey_lamb_3452	Geoffrey Lamb	42.0	"""Note: Suscipit non ipsam	 then Quas assumenda voluptate"""	"""Fuga minus occaecati	 Quis Laborum vitae"""
barbara_reynolds_5951	Barbara Reynolds	58.0	"""Reiciendis: Reprehenderit voluptates dolore ab est	 Voluptatum nobis"""	"""In id a praesentium at ullam; Odio saepe 	 Et modi fugit molestias corrupti"""
kevin_heath_9220	Kevin Heath	15.0	"""Velit itaque	 Recusandae architecto Itaque asperiores"""	"""Quod: Maiores officia	 Ad minima a eaque"""
ms_collins_9300	Ms Suzanne Collins	45.0	"""Delectus fugit doloribus vel excepturi itaque: Nulla temporibus	 Aut"""	"""Minus voluptatibus: Aspernatur eius consectetur natus	 Tenetur laboriosam necessitatibus"""
jamie_bennett_7975	Jamie Bennett	76.0	"""Ut	 Et quo Dolorem iure tenetur ad"""	"""(Accusantium sed assumenda itaque) 	 Labore eligendi and Aspernatur dolore dolorem"""
elizabeth_brown_2506	Elizabeth Brown	95.0	"""Inventore: Ullam culpa eos	 Unde fugit"""	"""(Corrupti hic alias vel dolore) 	 Harum and Repellat distinctio distinctio"""
helen_wilson_9804	Helen Wilson	32.0	"""Hic officiis rem	 Provident animi Explicabo neque distinctio"""	"""Odio	 Nisi nesciunt vitae dolorum Deleniti voluptate eum"""
jeffrey_houghton_0818	Jeffrey Elliott-Houghton	55.0	"""Esse error vel quos: Quidem quaerat	 Rerum sit aut delectus consequuntur"""	"""Note: Illum	 then Vero facere ab"""
miss_kelly_3733	Miss Lauren Kelly	7.0	"""Note: Cupiditate ex suscipit similique	 then Eaque hic illo expedita"""	"""Dolore doloribus optio	 Pariatur perspiciatis accusamus Voluptatem est"""
emma_carr_9249	Emma Carr	55.0	"""Note: Aperiam culpa quae	 then Suscipit error reprehenderit eius quisquam"""	"""Magni dolores; Eveniet inventore 	 Iusto autem totam quas quae"""
