username	name	score	price	salary	comment
dr_khan_4006	Dr Elliot Khan	80.0	100.1	70.2	'''Praesentium earum incidunt laudantium odio repudiandae; Laborum fugit exercitationem 	 Commodi debitis'''
anne_jones_6056	Anne Jones	97.0	28.1	76.2	'''Iure; Quia earum molestias nam reprehenderit 	 Tempora fugiat consequatur'''
caroline_parkinson_7215	Caroline Parkinson	12.0	61.1	8.2	'''Repudiandae quam: Placeat cum voluptas	 Suscipit excepturi aspernatur'''
susan_smith_0887	Susan Smith	10.0	33.1	27.2	'''Nesciunt optio facilis: Quas facilis quod	 Placeat vero'''
mr_gardner_4929	Mr Justin Gardner	67.0	60.1	63.2	'''Voluptatem esse ipsum: Natus tempore sed	 Sint nihil provident sit'''
leah_baxter_1556	Leah Baxter	36.0	40.1	76.2	'''Hic; Debitis vero 	 Asperiores iure'''
tom_arnold_5198	Tom Arnold	40.0	11.1	8.2	'''Voluptate aliquid quae architecto; Iure voluptatum minus 	 At'''
ruth_hunt_9144	Ruth Hunt	66.0	46.1	83.2	'''Perferendis asperiores quaerat; Praesentium optio 	 Error cumque atque'''
denis_jones_8721	Denis Jones	35.0	21.1	2.2	'''Ab cum rem cum: Iste dolorem	 Magni'''
jade_hilton_1831	Jade Hilton	88.0	41.1	17.2	'''(Nobis) 	 Incidunt delectus ipsam aut doloremque and Ab aut magni'''
mr_jackson_1557	Mr Lewis Jackson	95.0	57.1	29.2	'''Reiciendis vero	 Cum odit quasi quidem deleniti Qui quae officia suscipit'''
beth_perkins_8346	Beth Perkins	39.0		29.2	'''Tempora quaerat dolores accusantium architecto: Reiciendis similique numquam esse	 Perspiciatis ipsam deleniti porro'''
mrs_jones_3710	Mrs Diana Jones	58.0	98.1		'''(Exercitationem quaerat) 	 Earum sit cum and Voluptatem debitis cupiditate aliquam'''
william_taylor_8481	William Taylor	50.0	96.1	55.2	'''Natus aut	 Excepturi aliquam dicta Hic'''
nicola_wilson_5207	Nicola Wilson	55.0	39.1	49.2	'''Dolores dolorum nostrum magnam fugit: Voluptatum eum	 Culpa possimus debitis nobis non'''
sylvia_cartwright_2321	Sylvia Barnett-Cartwright		68.1	65.2	'''Provident aliquam unde; Esse ad 	 Blanditiis eius eveniet iure laudantium'''
gerald_brooks_2311	Gerald Hughes-Brooks	37.0	35.1	34.2	'''(Dolores doloremque voluptas) 	 Alias porro and Corporis'''
mr_white_4542	Mr George White	22.0	67.1	48.2	'''Libero asperiores	 Repellendus dolorum Dolorem excepturi iste'''
dr_brooks_5701	Dr Jonathan Brooks	38.0	71.1	33.2	'''Et culpa quis culpa	 Eum illum atque Quas fugit'''
dr_lucas_3713	Dr Clive Lucas	40.0	91.1	26.2	'''Totam ipsum alias saepe; Doloremque quo 	 Aut'''
maurice_webb_2400	Maurice Webb	86.0	47.1	38.2	'''Ipsam error asperiores at: Est asperiores praesentium	 Consequuntur eum eligendi sapiente'''
hollie_davies_1675	Hollie Pearce-Davies	78.0	11.1	98.2	'''Nihil magnam adipisci debitis: Aspernatur veniam eius iure perferendis	 Vitae ex'''
glen_marsh_8419	Glen Allen-Marsh	82.0	54.1	12.2	'''Note: Dignissimos distinctio voluptatum	 then Iusto modi quae quasi nobis'''
dawn_nicholls_2599	Dawn Nicholls	90.0	13.1	98.2	'''Explicabo pariatur corporis incidunt	 Optio Assumenda ipsum vero itaque nihil impedit'''
dean_wong_0512	Dean Wong	24.0	75.1	83.2	'''Sequi dicta	 Voluptate molestiae excepturi magni ullam Esse asperiores'''
anthony_foster_3911	Anthony Foster	5.0	50.1	35.2	'''Voluptatibus vitae consequatur: Sunt officiis magni rerum	 Doloremque exercitationem iure'''
