# This is a comment line to skip
username;rating;total_count;price;note;message
jade_lee_1154;4.0;85.1;67.2;"""Poor street send your: Political reveal pressure American food; See language pay wide skin agree""";"""Population cause wait: Worry culture data draw; Particularly six the professional"""
andrea_baker_9431;15.0;63.1;87.2;"""Discuss large; Light central none in guess ; Their meet what admit fly""";"""Student: Safe hand operation make future quickly; Idea end deal fine write"""
molly_gardner_1811;37.0;93.1;69.2;"""Year: Itself TV enough; Between degree""";"""Note: Boy partner; then Computer whose"""
vanessa_young_0598;75.0;97.1;78.2;"""Town chance during past win; Between system Job money""";"""Nice; Take In"""
nathan_wilson_7410;8.0;35.1;37.2;"""Movie well scene; World serious direction rule So agent others world""";"""Down: Bill ability whether; Able clearly rule same her"""
madison_lopez_8728;64.0;49.1;18.2;"""Others local fund; Free information ; Everything end month""";"""Interest run hotel; Should receive ; Collection"""
nathan_griffin_1460;90.0;89.1;11.2;"""Else national send natural detail; Require his choice education half simply Catch land""";"""Some speech successful bill; Perhaps fear under figure case Worry couple medical style"""
roger_grimes_0547;28.0;90.1;60.2;"""Note: Hear that special; then Power example""";"""Whether somebody structure media: Not pay public; Protect ever"""
miguel_burke_7192;58.0;77.1;68.2;"""Note: Likely compare performance economic; then Boy star car need""";"""(Evening light bed without other stuff) ; Lawyer reason mention and Measure"""
monica_vaughn_8804;20.0;38.1;18.2;"""(Leader) ; Media and She""";"""Note: Argue under; then Do term yourself into election"""
stuart_moon_0976;24.0;38.1;70.2;"""Long establish produce since; Him college production at nor more ; Quite tree""";"""Give activity; Or challenge seat light reveal test ; Pretty sit"""
michelle_austin_8028;56.0;27.1;48.2;"""Artist indeed teacher tell various; Theory figure commercial ; Anything shoulder past region""";"""Remember language pass; Back travel environmental American country relate ; Body short discover"""
jessica_mullins_9470;34.0;;54.2;"""Attention; Somebody pay involve although agreement probably ; Several need change""";"""Establish idea tonight girl two; Early maintain something Toward wrong"""
andrew_pierce_2358;24.0;28.1;52.2;"""Note: Fast second join pick; then Low line forget board pull""";"""Point fight address lead; Point wonder generation all By recently executive guess report"""
elizabeth_haynes_5002;34.0;45.1;44.2;"""Spring special; Society relationship stock Trouble summer""";"""Respond least training example; West both doctor ; Former finally free"""
matthew_nichols_5355;45.0;81.1;53.2;"""Research side; Only great ; Eat life defense special kid collection""";"""Range human fast material; Both scene nature make challenge Bank"""
april_walsh_8418;55.0;33.1;75.2;"""Fine sometimes; Particular help individual lay dinner above Across sign collection""";"""Note: Watch bank actually; then After can century"""
destiny_hughes_1164;13.0;87.1;59.2;"""Interview; Care alone establish Not""";"""Note: Garden rather big; then National see"""
dana_gray_0623;11.0;9.1;75.2;"""Note: Service morning live determine spring; then Seat""";"""Green another trip level paper; Rate author ; Recent political morning"""
mrs_patterson_6347;84.0;92.1;39.2;"""(Someone task) ; Little establish gun actually and Play region candidate stuff""";"""(Organization night learn more never then) ; Live and Since sell hot"""
brandi_murphy_6000;99.0;80.1;36.2;"""(Picture I he) ; Her and Reason other cut person water""";"""(Structure black modern ever realize) ; Cold worry chair see and Treatment sound traditional history suggest realize"""
cameron_daniel_2097;66.0;1.1;71.2;"""Type; Particularly Across hour great possible attention""";"""(Write) ; Former couple and Note"""
mr_phd_3382;59.0;73.1;86.2;"""Single other response within story; Away billion arm even child ; Risk suggest""";"""Kind spring: Easy rather; Serve"""
jessica_smith_9008;65.0;44.1;97.2;"""Note: Then detail even; then Paper structure break inside""";"""(Above red) ; Apply and Civil debate"""
robert_stone_5467;15.0;74.1;24.2;"""Note: Necessary; then Ahead during Congress""";"""Fire on: Blue; Born whose"""
janet_crosby_9875;100.0;59.1;9.2;"""Note: Party fish leave short need; then He eat""";"""Lose baby different available support; Deep law Hope too already"""
corey_smith_7585;33.0;62.1;46.2;"""(Oil analysis good) ; Against and According""";"""Teach bar; Oil all executive money ; Event"""
sharon_fletcher_1481;81.0;29.1;11.2;"""(Service note) ; Here manage sound and Reason eat pattern""";"""Note: Side property; then Mean discuss team"""
michael_smith_2230;86.0;43.1;42.2;"""Hope need: Tonight fast animal share or though; Focus manage blue""";"""Consider local education feel: Like method thank ability challenge letter; Fine garden"""
claire_edwards_0607;24.0;88.1;50.2;"""(Wish world) ; Half society economy and Throw she director fast end area""";"""Challenge stock; Support soldier remember Heavy career account"""
