# This is a comment line to skip
name,username,total_count,price,summary,description
Nicholas Obrien,nicholas_obrien_7126,40.0,35.1,"""Note: Moment point act, then Treat road former""","""(Either white who) , Reflect and Seek difficult instead"""
Emily Smith MD,emily_md_1056,46.0,67.1,"""Behind: Activity accept, Can describe visit""","""Note: On, then School"""
Scott Davis,scott_davis_3642,32.0,25.1,"""(Help girl leg before college teacher) , Financial offer and Series travel threat""","""Southern event: But skin, Cover finally often year agent"""
Alexis Gibson,alexis_gibson_4655,19.0,78.1,"""Type two, Structure chance Purpose five only century learn""","""Politics economy still spring: Husband everything rest majority, Appear million month"""
Rhonda Ritter,rhonda_ritter_0673,78.0,44.1,"""(Leader herself) , Accept serve and Wide""","""Industry lay free, Product entire safe yard Like"""
Robert Sanders,robert_sanders_9050,18.0,12.1,"""Resource couple statement at arrive too: White their, Above store""","""Note: World full especially, then Dark certainly fall"""
Michael Armstrong,michael_armstrong_1858,60.0,50.1,"""Edge stop: Population, Move""","""(Forward need road hold successful know) , Mind degree couple shake and Pick"""
Darrell White,darrell_white_9443,78.0,34.1,"""Heavy chance edge human under: Example, Also""","""Note: Particularly throw friend, then Pass order"""
Pamela Thompson,pamela_thompson_9627,96.0,82.1,"""Note: Several, then According century""","""Ever try less; Evidence affect painting audience measure reality , Animal cell"""
Joseph White,joseph_white_5418,,14.1,"""Draw clear, Leave cold Try opportunity""","""(Majority environment nor) , Or and Fish wait old lead white"""
Ronald Gaines,ronald_gaines_3185,27.0,53.1,"""Store for so: Single around, News similar unit""","""Teach above: Half stay generation, Somebody ever"""
 ,adam_hansen_9705,21.0,85.1,"""Research whose hold: Hour break art, Increase""","""Around: Respond change better ten, Professor future stop executive visit"""
Hannah Brown,hannah_brown_9285,90.0,32.1,"""(Claim industry) , Understand deal woman outside work and Fire cut""","""Something TV bad fight; Make high benefit relationship avoid , Card deep exist material"""
Janice Scott,janice_scott_3106,89.0,81.1,"""Note: Game like, then Administration job trouble""","""Fine total: They manage meet tell, Father case address"""
Michael Mills,michael_mills_2597,98.0,3.1,"""Natural ready provide, Build student player allow Important""","""(Final put establish) , Law church between environmental Mr and Trip local trial same"""
Raymond Aguirre,raymond_aguirre_5736,18.0,59.1,"""Many wonder seven: Painting, His""","""(Tell health democratic care) , Class partner and Partner assume new"""
