name,username,total_count,age,price,remark,message
Louise Pearce-Smith,louise_smith_3364,64.0,36.1,11.2,"""Note: Ratione quo, then Neque fuga animi aut beatae""","""Voluptates laudantium blanditiis necessitatibus labore magnam; Commodi magni reprehenderit mollitia voluptatum , Labore eius unde eaque reiciendis maxime officia"""
Ms Lesley Stewart,ms_stewart_5197,85.0,84.1,61.2,"""Beatae sequi: Atque sed consectetur pariatur velit, Accusantium earum maxime""","""Officiis: Magni fuga enim, Excepturi laboriosam ex ipsum ipsam"""
Lorraine Lewis,lorraine_lewis_9608,79.0,2.1,90.2,"""Note: Delectus enim totam iste nihil nisi, then Corrupti""","""Voluptates impedit, Voluptates magni at Reiciendis facilis vero"""
Malcolm Bowen,malcolm_bowen_2903,93.0,24.1,22.2,"""Note: Deserunt mollitia vitae officiis aspernatur, then Unde expedita""","""Tempore aspernatur adipisci asperiores, Quos consectetur Placeat"""
Phillip Payne,phillip_payne_0624,62.0,85.1,62.2,"""(Reiciendis beatae) , Dolores sit autem and Iste tempora mollitia""","""Nulla et laborum: Ex ad, Amet delectus molestias"""
Rosemary Hill,rosemary_hill_9419,56.0,68.1,,"""Possimus: Dicta veniam quia ducimus nesciunt, Illo cumque facilis""","""Magni accusamus et alias: Explicabo ratione eaque itaque, Quos"""
Jayne Woods,jayne_woods_3863,9.0,30.1,3.2,"""Nisi non quis, Eveniet quam Nihil consequatur nostrum""","""(Nesciunt dolor) , Veniam exercitationem and Ipsam assumenda quam expedita in"""
Stacey Cook,stacey_cook_1064,17.0,57.1,14.2,"""Excepturi incidunt: Ex tempore amet ea, Recusandae""","""(Odio ipsum cumque) , Dignissimos veniam and Eum cupiditate"""
Jean Connor,jean_connor_4913,53.0,32.1,53.2,"""Note: Ipsum quidem mollitia quidem, then Adipisci quasi accusamus""","""(Earum repellendus dolores corporis earum) , Commodi and Dolorum blanditiis voluptatum"""
Nicola Miah,nicola_miah_7889,42.0,44.1,12.2,"""Numquam quaerat: Alias ut eum voluptate, Dolores nihil dolor eveniet voluptatem""","""(Nobis fuga adipisci) , Laboriosam and Sapiente exercitationem temporibus quidem recusandae"""
Alice Simpson,alice_simpson_4638,48.0,74.1,27.2,"""Note: Molestias deserunt, then Alias dolores et""","""Enim ex doloremque, Pariatur expedita Odit vitae ut iusto perspiciatis unde"""
x,ian_evans_8593,10.0,75.1,26.2,"""Excepturi: Repellendus, Assumenda praesentium quibusdam""","""(Qui ut voluptates accusamus) , Quaerat ducimus perspiciatis and Consectetur iure voluptatum deserunt"""
Dawn Cooper,dawn_cooper_8795,,54.1,49.2,"""(Sit ut tempora architecto voluptates) , Maiores maiores quaerat and Aspernatur""","""Distinctio: Doloremque est corporis nisi eveniet, Reiciendis voluptatem"""
Elliot Jones,elliot_jones_4120,3.0,99.1,25.2,"""Note: Laboriosam eos maxime consequuntur maiores, then Hic voluptatem libero""","""(Facere) , Explicabo minima autem and Saepe velit"""
Owen Andrews,owen_andrews_3349,91.0,66.1,2.2,"""Note: Nobis numquam laborum, then Cum in dicta eaque sed""","""(Assumenda officiis nihil temporibus laboriosam) , Adipisci unde aspernatur and Suscipit iste pariatur"""
Dr Lawrence Gray,dr_gray_6708,87.0,,44.2,"""Consequatur ipsum porro inventore sed, Quod corporis Blanditiis""","""Note: Repellat vitae neque corrupti, then Voluptatibus at in quasi"""
Tom Williams,tom_williams_8390,19.0,22.1,30.2,"""Molestiae itaque, Autem recusandae sit Minus incidunt excepturi""","""(Unde sunt voluptatum ipsa facere laborum) , Perspiciatis reiciendis natus and Impedit blanditiis aliquam"""
Terry Ali,terry_ali_7365,37.0,19.1,89.2,"""(Soluta rerum) , A amet facilis and Cumque molestias""","""Note: Explicabo tenetur laboriosam nobis delectus, then Consequatur doloribus"""
Mr Abdul Bishop,mr_bishop_6561,11.0,3.1,35.2,"""Ipsum esse magnam necessitatibus iste; Quae expedita ullam , Atque maxime consectetur""","""Repudiandae; Vitae ea , Cupiditate"""
Dr Brandon Wood,dr_wood_1918,100.0,48.1,30.2,"""Explicabo quasi commodi quas: Rem aliquam sunt debitis, Impedit dolorum nemo perferendis totam""","""(Consequuntur quisquam ex quae deserunt quo) , Placeat alias fugit culpa asperiores dolorem and Optio eum quam"""
Martin Evans,martin_evans_9704,81.0,91.1,61.2,"""Ut molestias, Mollitia A saepe labore""","""Note: Consectetur accusamus temporibus, then Soluta"""
Toby Ross,toby_ross_0293,86.0,40.1,58.2,"""Cumque nobis, Eligendi Porro""","""(Expedita animi suscipit veniam nisi) , Temporibus odit and Perspiciatis non"""
Timothy Johnson,timothy_johnson_7231,39.0,77.1,19.2,"""(Voluptates fuga) , Culpa commodi blanditiis consequuntur and Voluptatibus hic cum vitae quos""","""Necessitatibus commodi; Ea corporis quasi rerum , Nemo id est saepe"""
