# This is a comment line to skip
name;score;price;rating;review
Ms Chloe Lucas;72.0;43.1;90.2;"""Voluptates laboriosam consequatur dignissimos esse; Delectus at ratione ; Dolorum ipsa fuga sequi"""
Ms Georgina Fisher;77.0;10.1;33.2;"""Mollitia iusto; Veniam accusamus sint minus Alias officia"""
Josephine Hopkins;84.0;20.1;34.2;"""Note: Commodi perferendis totam atque; then Totam tempora eveniet quibusdam"""
Sian Davies;75.0;84.1;63.2;"""(Cum maiores animi) ; Facere architecto non voluptatibus and Ducimus illo explicabo sed"""
Stephen May-Walton;14.0;1.1;35.2;"""(Rem corrupti quae) ; Odit quas veritatis and Ipsa quia optio"""
Amelia Burton;9.0;3.1;41.2;"""Molestias nostrum; Maiores optio totam ipsam ; Similique possimus incidunt ratione distinctio"""
Alex Gray;37.0;92.1;80.2;"""Repellat error autem tempora exercitationem repellat: Ratione itaque libero perferendis; Unde officia eum"""
Dylan Lane;56.0;;71.2;"""Expedita quaerat doloribus suscipit; Hic mollitia perferendis adipisci delectus ; Maxime possimus pariatur"""
Dr Beth Little;48.0;49.1;45.2;"""Eveniet itaque placeat atque ipsa soluta; Iusto sed aliquam dignissimos consequuntur Sed cupiditate"""
Adam Murray-Allen;63.0;61.1;34.2;"""Note: Debitis saepe similique; then Suscipit libero dolore aut sunt"""
Mrs Victoria Watson;33.0;78.1;13.2;"""(Odio porro vitae autem totam ea) ; Culpa and Ratione iste quae amet"""
Debra Read;93.0;80.1;64.2;"""Enim quibusdam deserunt magni; Exercitationem eveniet beatae Recusandae laborum sunt minus sint iste"""
Henry Morris;87.0;93.1;69.2;"""Recusandae reprehenderit; Similique ; Repellat aspernatur"""
Conor Jennings;46.0;92.1;48.2;"""Odit magnam illo consequuntur molestiae; Quas minus magnam ; In culpa excepturi ratione"""
Geraldine Singh;23.0;86.1;53.2;"""Beatae atque: Necessitatibus consequuntur; Ab"""
Mr Maurice Jones;75.0;34.1;62.2;"""(Odio dolorem reiciendis tempora) ; Corporis hic doloribus and Dolore illum eius"""
Megan Collins;91.0;7.1;84.2;"""Nam aspernatur: Excepturi; Quis repellat molestias"""
Julie Jackson;20.0;37.1;4.2;"""Sed eaque neque; Nesciunt Fugiat minima iusto"""
Dr Joe Hill;57.0;64.1;90.2;"""Dignissimos optio: Tenetur id; Minima earum"""
Grace Johnson-Bryant;78.0;65.1;81.2;"""Perspiciatis itaque earum illum cum; Architecto ; Minus occaecati ut"""
Victor Walsh-Fox;73.0;17.1;59.2;"""Hic vel; Sunt impedit Nemo eos"""
Declan Hutchinson;78.0;36.1;84.2;"""Occaecati unde maiores; Autem mollitia eveniet fugit Sapiente debitis hic explicabo magnam temporibus"""
Mr Ross Greenwood;66.0;29.1;20.2;"""Cumque quas; Nesciunt Sed dolores"""
Mr Brandon Williams;51.0;2.1;68.2;"""Modi repellendus officia; Nisi qui ; Est provident animi facilis"""
Teresa Robson-Jones;83.0;62.1;46.2;"""(Nostrum nisi) ; Impedit eaque modi at accusamus inventore and Eaque vero perferendis"""
Lindsey Thompson;;58.1;5.2;"""Omnis occaecati dolorum et a; Quia Impedit nemo provident in"""
Martyn Wallis;44.0;8.1;45.2;"""Recusandae: Iusto veritatis occaecati; Itaque consectetur consequatur"""
Mr Raymond Baker;2.0;32.1;9.2;"""(Quam) ; Fugit and At omnis dicta voluptates"""
Bernard Hanson;21.0;38.1;46.2;"""Fugit saepe iste; Quam Aliquam eius"""
