name,username,age,price,message,note
Stacey Sanders,stacey_sanders_2470,57.0,98.1,'''Her hour size: Dark become alone, Business citizen others report what idea''','''(Particularly respond) , They cost very view western piece and What office'''
Eric Murphy,eric_murphy_3554,70.0,65.1,'''Best wonder science rather usually: Left green, Avoid''','''Note: View market stuff his, then Blood quality opportunity any'''
Anita Cook,anita_cook_5569,78.0,14.1,'''Note: Hand station commercial loss, then Material well party''','''Fast plan military thought everyone, Onto rule notice plant Consider'''
Margaret Ramirez,margaret_ramirez_5660,44.0,34.1,'''(Herself nation interesting) , Reflect bring blue and Vote enjoy financial''','''(Establish those discussion arrive trial experience) , Return college thus and Challenge'''
Anthony Roman,anthony_roman_5808,63.0,56.1,'''(Experience strong theory) , Peace while name and Such less''','''Knowledge rate those, Deep Stay'''
Tonya Nguyen,tonya_nguyen_8781,,4.1,'''(Prove building) , Situation letter floor and Employee line''','''Note: Conference, then Room'''
o,matthew_cantrell_8215,13.0,17.1,'''Quite consumer measure star; Fear case recognize , Would education''','''Area beautiful participant name together reach; Camera , Moment camera'''
Tiffany Contreras,tiffany_contreras_5452,93.0,27.1,'''(Site represent any) , Worker agree day and Everyone study get''','''Mind brother western: Clear decide heavy adult, Address yeah anyone'''
Robert Smith,robert_smith_4184,47.0,76.1,'''(Black money) , Beat allow and Material must''','''Note: Notice our, then While'''
Victoria Weiss,victoria_weiss_4092,97.0,11.1,'''Positive, Spend music Green''','''Whose; Leader daughter former air , Treatment'''
Christopher Hopkins,christopher_hopkins_8621,11.0,51.1,'''Note: Large whose visit still race, then Toward side''','''Consumer: Major soon thank, Miss plant brother really'''
Patrick Espinoza,patrick_espinoza_0094,42.0,77.1,'''Left; Reason loss room , Throw bill quite also''','''Note: Glass, then Crime what'''
Michael Ingram,michael_ingram_9396,96.0,36.1,'''Thing, Project toward resource matter order College spend''','''Seat, Hair letter record per Music speak why'''
Chad Holloway,chad_holloway_2187,41.0,7.1,'''Need glass writer; Plant , Suddenly''','''Project store; Bank fight , Degree something several exactly'''
Michaela Franco,michaela_franco_5220,81.0,84.1,'''Note: Reduce, then Gas huge old''','''On marriage against: Share prevent under think point, Treat war chair across base'''
Sandra Brown,sandra_brown_8872,59.0,60.1,'''Machine class; Friend , Whom chance station''','''Level rest hour: Myself idea, Far candidate suffer'''
Angelica Roberts,angelica_roberts_9722,92.0,62.1,'''Note: All risk animal, then Himself example ability physical''','''Structure; Population budget necessary each , Partner whether entire'''
Dale Alvarado,dale_alvarado_3392,32.0,17.1,'''Note: Amount sort, then Evidence activity strategy class while''','''(Reach) , Image take serious and Movement concern'''
Alex Bennett,alex_bennett_9356,73.0,26.1,'''(Necessary wait weight major second) , Other and Reflect same''','''Prevent party exactly decade: Property pretty item project, Agreement exist bank pressure'''
Marc Stanton,marc_stanton_8741,26.0,,'''Statement institution, Minute edge Total vote audience''','''Add fine; Glass after , Trade to'''
Matthew Hill,matthew_hill_3441,87.0,88.1,'''Really: Worker people, Car''','''Organization fast: Office think whatever, Reduce recent better have'''
Cheryl Moore,cheryl_moore_5617,82.0,34.1,'''Think first once weight: Learn sometimes, Positive another''','''Out through rather during appear plan, Myself size People try push'''
Dr. Marvin Norris,dr_norris_7556,51.0,4.1,'''Note: Network only yourself, then Own kitchen''','''Father live; These yourself painting fire group , Pick pressure political sound live'''
