username,name,age,salary,score,note,message
georgia_hill_1114,Georgia Hill,65.0,,,"""At iusto: Saepe ipsum neque, At tempora delectus cupiditate""","""Note: Architecto ea fuga, then Molestias quam consectetur"""
elaine_martin_1267,Elaine Martin,76.0,55.1,91.2,"""Note: Voluptatem, then Dolor optio cupiditate sequi maiores placeat""","""A adipisci sapiente similique repellat laborum: Quos, Sed"""
dr_ahmed_0742,Dr Bradley Ahmed,35.0,67.1,53.2,"""Veritatis distinctio hic maxime cum vel; Sint tempora tempora assumenda unde , Quisquam""","""Provident odio nostrum mollitia: Ratione maiores, Ullam nesciunt"""
leslie_fuller_9664,Leslie Fuller,26.0,54.1,37.2,"""Facere, Magnam deleniti Libero alias""","""Nesciunt nesciunt; Magni asperiores a quasi dolor , Laborum molestias"""
mr_jones_3435,Mr Elliott Jones,49.0,12.1,18.2,"""(Quo numquam blanditiis sapiente atque) , Eius and Vel molestias optio omnis""","""Quod ex, Corporis odio maxime asperiores Eaque consequuntur placeat"""
sally_baker_1020,Sally Baker,87.0,93.1,87.2,"""Cum neque: Tempora id quae, Expedita sint commodi""","""(Adipisci alias a reprehenderit quas) , Hic enim quis and Placeat fuga nisi unde quia"""
jennifer_smith_2869,Jennifer Smith,52.0,58.1,88.2,"""Eos: Molestias magni corrupti fugiat fuga, Rem nihil sunt""","""Note: Repudiandae natus, then Odit qui debitis"""
naomi_kemp_8480,Naomi Kemp,11.0,27.1,90.2,"""(Repudiandae harum nulla) , Sunt nostrum provident and Aliquam ipsum odit odio""","""Nostrum perspiciatis laudantium: Ullam quaerat doloribus, Magnam voluptatem aut temporibus officia"""
garry_talbot_3484,Garry Talbot,50.0,97.1,15.2,"""Ea officia, Natus fuga In veritatis quas""","""Alias reprehenderit tenetur perspiciatis mollitia: Impedit neque itaque sed, Vitae tempora"""
louise_edwards_5725,Louise Edwards,32.0,1.1,80.2,"""Quas, Consectetur quia ipsam Aliquid necessitatibus quas sit sunt""","""(Excepturi vero officia fugit officiis) , Molestias nostrum and Autem necessitatibus ullam voluptas"""
simon_bull_3909,Simon Bull,49.0,73.1,92.2,"""(Deleniti recusandae) , Reprehenderit fuga and Provident ad""","""Molestiae quia; Et debitis laboriosam , Doloribus"""
mr_holland_3335,Mr Damien Holland,93.0,31.1,37.2,"""Architecto magni quisquam: Sequi quisquam, Sequi maiores quos quidem""","""Note: Cupiditate sed occaecati minima rerum, then Illum similique quaerat a ullam"""
lauren_williams_8639,Lauren Davis-Williams,99.0,53.1,78.2,"""Note: Earum nobis, then Maxime""","""Vitae architecto at molestiae, Recusandae cumque accusamus Culpa"""
