# This is a comment line to skip
username;name;total_count;price;salary;comment
caroline_davis_5510;Caroline Davis;30.0;;71.2;'''Note: Molestiae temporibus; then Non commodi'''
mr_mason_2015;Mr George Mason;10.0;82.1;10.2;'''Qui incidunt: Accusantium praesentium; Ipsum'''
michael_whitehouse_8156;Michael Whitehouse;56.0;32.1;5.2;'''(Quos pariatur corrupti sed) ; Doloremque and Error delectus minima minima'''
terry_lucas_8224;Terry Lucas;44.0;11.1;68.2;'''Corrupti: Nobis non amet id ad; Ipsum'''
alex_lawrence_1403;Alex Lawrence;15.0;75.1;40.2;'''(At) ; Debitis qui and Officiis illo dolore expedita'''
lorraine_green_8491;Lorraine Green;56.0;54.1;89.2;'''Tenetur; Eius sequi reiciendis error Cupiditate ducimus soluta'''
mrs_kelly_8620;Mrs Heather Kelly;7.0;51.1;6.2;'''Et laborum harum; Architecto ex ; Voluptatum'''
mr_morris_1320;Mr Samuel Morris;75.0;61.1;63.2;'''Deserunt suscipit; Ipsam ratione ; Distinctio rerum esse expedita'''
mathew_anderson_8790;Mathew Anderson;26.0;43.1;53.2;'''Laborum corrupti; Earum in expedita ; Odit'''
jasmine_horton_6708;e;80.0;19.1;48.2;'''Labore nisi alias; Tempora quisquam soluta ; Officiis consectetur reiciendis possimus'''
ann_barker_4238;Ann Barker;38.0;65.1;15.2;'''Magnam: Eaque minus commodi; Animi rem quis voluptas'''
mrs_lawson_4550;Mrs Pauline Lawson;49.0;50.1;31.2;'''Ullam nam nulla; Nihil tempora Rem aliquam'''
anne_harvey_2415;Anne Harvey;82.0;75.1;25.2;'''Temporibus asperiores; Nemo dolorem nam ab Facilis fuga officiis quaerat vitae'''
samantha_stewart_8285;Samantha Stewart;38.0;43.1;31.2;'''A nemo: Eaque iure eveniet qui nihil; Ipsa nihil'''
joan_marsden_4260;Joan Williams-Marsden;75.0;88.1;63.2;'''Note: Magnam ex beatae et dolorem iusto; then Animi dignissimos saepe accusamus'''
paula_patel_0948;Paula Holland-Patel;25.0;69.1;67.2;'''(Deserunt nisi) ; Repudiandae ex dignissimos quibusdam blanditiis and Nemo id perspiciatis dolor'''
shannon_johnson_7540;Shannon Johnson;16.0;97.1;26.2;'''(Excepturi quos rerum) ; Laboriosam dolor and Delectus inventore natus'''
mohammed_lamb_2993;Mohammed Thomson-Lamb;51.0;17.1;53.2;'''Note: Perferendis maiores sequi at; then Fugiat ducimus'''
lawrence_wall_6869;Lawrence Wall;65.0;28.1;61.2;'''(Ipsa veniam) ; Cupiditate quod and Ab veniam sunt'''
bradley_price_5524;Bradley Price;68.0;65.1;78.2;'''(Eveniet nulla) ; Eos rem reprehenderit and Eveniet sunt vero'''
margaret_adams_6714;Margaret Taylor-Adams;87.0;74.1;9.2;'''Quis reiciendis unde; Cumque non Ipsam quaerat'''
sharon_brown_7839;Sharon Brown;61.0;83.1;19.2;'''Alias aut; Molestiae ; Labore'''
shaun_matthews_3793;Shaun Cole-Matthews;23.0;1.1;58.2;'''Iure in maxime quae reprehenderit: Eligendi vitae cupiditate; Nihil autem'''
craig_cox_4121;Craig Gray-Cox;33.0;23.1;55.2;'''Note: Minus iure odit sapiente inventore similique; then Mollitia id'''
lynne_curtis_0233;Lynne Mason-Curtis;38.0;25.1;15.2;'''Doloribus sint possimus; Dolor rerum Asperiores ullam'''
shirley_cox_4363;Shirley Cox;67.0;53.1;51.2;'''Amet tempora; Velit maxime repudiandae quas Veniam'''
wayne_lee_3046;Wayne Lee;27.0;11.1;85.2;'''Fugit ipsam sunt: Facere assumenda; Quisquam consectetur'''
jay_reynolds_1773;Jay McCarthy-Reynolds;58.0;62.1;35.2;'''Nemo nesciunt; Amet laborum pariatur dolorem explicabo Nesciunt non'''
lindsey_wilson_9320;Lindsey Wilson;64.0;99.1;80.2;'''Note: Modi doloribus velit sed odio; then Accusantium esse'''
hazel_barrett_2197;Hazel Barrett;;78.1;26.2;'''Vel vero: Laudantium quaerat maiores expedita; Facere sed'''
