username	total_count	score	salary	description	comment
alex_mullins_8774	56.0		41.2	"""Buy option cover magazine: Why nearly bill	 Continue list cover ability student"""	"""(Big of tough room child) 	 Affect fill buy left although and Available social just rate nearly edge"""
timothy_meyer_9933	3.0	69.1	27.2	"""Art	 Right thing important Meet federal provide"""	"""Cultural design	 Surface None close between"""
brenda_greer_1684	20.0	65.1		"""(Subject series guess loss know) 	 Director meeting and Enter source"""	"""Thus enough by care; I six short away 	 Discussion people image television within"""
lawrence_taylor_3931	8.0	30.1	14.2	"""Team: Among seem dog something check body	 Doctor skin"""	"""Call	 Perform There"""
bethany_hernandez_3866	36.0	10.1	40.2	"""Region mouth	 Oil threat Quickly"""	"""Account their fast safe wife; Power 	 Big"""
wayne_martin_3011	62.0	100.1	54.2	"""Politics woman base house so; Economy born 	 Decision"""	"""House something movie project pattern: His must	 Wonder next blue book"""
eric_perez_9554	72.0	24.1	27.2	"""(Part along language financial) 	 Show and Card system way"""	"""Teach mouth officer catch daughter land	 Day across Shake clearly kid"""
courtney_jones_7767	36.0	78.1	13.2	"""Quickly really already; Force town 	 Along course add"""	"""(Kitchen) 	 Leader never and Blue"""
taylor_hess_2127	100.0	27.1	3.2	"""Air clear say baby writer group: Magazine technology opportunity	 Reveal bring record"""	"""West attack street: Full group student	 Hospital you everything"""
evan_garrison_6364	13.0	79.1	50.2	"""Idea center	 Traditional word Day"""	"""Note: Action his	 then Memory serve general weight election crime"""
mr_best_4060	7.0	9.1	67.2	"""Real	 Statement job Candidate actually"""	"""Carry early find move: Wind rate star	 Peace be buy"""
gary_nicholson_3508	67.0	52.1	52.2	"""Note: Practice series	 then Man significant"""	"""Indicate care crime upon skin upon red	 Personal choose tend property positive Need sure"""
dorothy_gamble_0312	63.0	27.1	12.2	"""Significant official	 Turn Receive accept down"""	"""(Heavy expect whatever) 	 Difficult fund and Early own full back"""
caleb_blanchard_2598	39.0	86.1	1.2	"""Dog stay for: Four science	 Play"""	"""Up day these: Culture	 Born gun check"""
ms_cantrell_1464	85.0	89.1	91.2	"""Baby	 Energy commercial central Week money wait"""	"""Note: She wish one nearly	 then Note of"""
lisa_ross_1545	12.0	22.1	25.2	"""Note: Scene great point	 then According though"""	"""Feel drive: Bag stop	 Simply contain"""
