username;name;salary;total_count;comment;remark
anthony_newman_7694;Anthony Newman;31.0;3.1;"""(Dog suffer) ; True most image and Board argue available establish go""";"""Carry air: Create require section example; Analysis spring"""
mrs_solomon_1197;Mrs. Gabriela Solomon;3.0;3.1;"""Marriage guess difficult example; Billion impact dinner plan ; Among particularly""";"""Cover focus over; Try ; Work help"""
angela_nolan_0718;Angela Nolan;55.0;41.1;"""Note: Personal down; then Rule southern responsibility""";"""Pay left risk; Huge whom big Safe pay bed agree"""
mary_taylor_9875;D;34.0;16.1;"""Either become travel though choice: Whom father; Western consider chance back specific""";"""Act police; Coach then most Practice test"""
lauren_caldwell_2772;Lauren Caldwell;;27.1;"""Identify institution article feeling leader; Already else A soon director that""";"""Every lot like build; Billion Magazine without million almost surface"""
jeffrey_morris_4769;Jeffrey Morris;94.0;58.1;"""Note: Free investment resource bad less concern; then From""";"""Note: Degree; then Reflect hope vote production"""
michelle_medina_3576;Michelle Medina;89.0;65.1;"""Note: Husband before; then War account security""";"""Note: Memory realize; then Have"""
james_ramirez_9019;James Ramirez;71.0;57.1;"""Note: Magazine share role natural budget today; then Goal energy""";"""Occur evening step: Prevent generation; List"""
mark_smith_6975;Mark Smith;75.0;48.1;"""Note: Dream deal can off; then Present happy across network""";"""Him daughter; Lay stay form Cut friend society far"""
lance_murphy_3953;Lance Murphy;39.0;18.1;"""Firm church: Many; Nice today""";"""Note: Face choose chance enjoy true; then Use surface worker deal interview purpose"""
rachael_simpson_0978;Rachael Simpson;19.0;41.1;"""Also job tonight; According although but but occur research game Republican front forget put""";"""Note: Spend claim; then Center sound"""
alexander_aguirre_4725;Alexander Aguirre;94.0;21.1;"""Anyone while instead oil television; Real anyone House son partner attorney language""";"""Card value amount; Republican break admit Use field media"""
steven_gaines_9268;Steven Gaines;18.0;18.1;"""(Part floor) ; Campaign mission level art I and Particular""";"""(Buy reduce) ; Value already hard and About outside trouble"""
margaret_graham_5767;Margaret Graham;22.0;14.1;"""Note: Kind or half; then Late expert""";"""Relationship than: Open region; They people produce"""
dustin_price_3721;Dustin Price;88.0;;"""Each threat put every smile: Lead land; Media color check far out""";"""(Likely single) ; None must fire under someone and Risk term decision resource"""
mrs_jackson_2507;Mrs. Amanda Jackson;40.0;28.1;"""Note: Plan officer case; then Next give""";"""Pattern tough; Out tonight east while war ; Stuff"""
russell_smith_8254;Russell Smith;20.0;26.1;"""Easy national record; Attack apply happen ; Want""";"""Tv seat; Radio group Difference"""
belinda_anderson_1010;Belinda Anderson;42.0;58.1;"""Over ask turn; Move each win ; Majority somebody protect""";"""(Human sing million middle) ; Else someone fact and Break begin collection simple late walk"""
