# This is a comment line to skip
name;username;salary;score;summary;comment
Stanley Fuller-Jackson;stanley_jackson_6960;69.0;5.1;'''Note: Ea maiores laboriosam nemo ducimus sed; then Assumenda''';'''Similique: Nam esse; Dolores dolorum aut ullam'''
Natalie Thomas-Power;natalie_power_3103;100.0;69.1;'''(Voluptatibus distinctio) ; Reprehenderit rerum error and Vero nulla repudiandae porro''';'''(Sunt earum) ; Mollitia accusantium and Commodi deleniti illum'''
Billy Baker;billy_baker_0827;21.0;98.1;'''Ab explicabo; Consectetur quam iusto Sint beatae quis''';'''Laboriosam: Voluptatibus a similique dignissimos possimus; Sed mollitia veniam corrupti delectus'''
Dr Guy Donnelly;dr_donnelly_6154;68.0;77.1;'''Id; Assumenda unde perferendis similique ; Officia''';'''Note: Molestiae fugiat temporibus; then Deleniti esse quae'''
Alexander Simpson-Mistry;alexander_mistry_1967;100.0;13.1;'''Note: Perferendis est tenetur; then Veniam''';'''Autem esse hic reiciendis; Fugit excepturi Vel'''
Ms Jennifer Hunt;ms_hunt_5644;39.0;21.1;'''(Sed facere consectetur commodi nisi dolor) ; Voluptatum odio quasi tempore and Placeat eveniet molestias''';'''Nihil; Doloremque culpa rerum modi esse ; Blanditiis consequatur'''
Jennifer Brown;jennifer_brown_8630;96.0;36.1;'''(Eum labore pariatur) ; Sequi and Doloremque veritatis alias placeat''';'''Cupiditate sit cumque; Velit laborum asperiores ; Distinctio odio inventore reiciendis'''
x;brian_donnelly_3815;73.0;31.1;'''Nemo quas: Placeat quisquam cum voluptas; Magni labore repellat''';'''Sapiente modi animi; Quod molestias ; Maxime'''
Sandra Pearce-Johnston;sandra_johnston_9738;61.0;11.1;'''Doloribus consequatur facere iste tenetur; Laborum totam quod ; Optio''';'''Note: Quia amet esse dolore dolores eligendi; then At'''
Mr Alex Giles;mr_giles_1658;32.0;65.1;'''Magni asperiores aspernatur facere; Quas voluptatem perferendis ; Quo architecto''';'''(Quas atque recusandae) ; Est dolor and Natus quia'''
Rosie Kirk;rosie_kirk_4013;58.0;22.1;'''(Ex aliquam maxime tempore ut facere) ; Vero and Enim aperiam''';'''Quia delectus; Amet officia ; Beatae'''
Guy Rowe;guy_rowe_9318;67.0;35.1;'''Consequatur suscipit; Consectetur nulla ea cupiditate ; Impedit''';'''Fugit accusamus necessitatibus: Corrupti corrupti; Quod laborum dolorum consequatur pariatur'''
Dr Judith Kaur;dr_kaur_5221;70.0;89.1;'''Distinctio delectus fuga facilis: Ex totam; Incidunt incidunt facilis quam''';'''Quidem laudantium; Exercitationem cum fuga magni ; Corrupti porro eaque'''
Marc Hayes;marc_hayes_5138;40.0;23.1;'''Note: Accusantium explicabo adipisci; then Minima alias consequuntur ex''';'''Numquam eligendi: Sequi; Aperiam sequi incidunt mollitia consequuntur veritatis'''
Tom Hardy;tom_hardy_1281;29.0;38.1;'''Repudiandae tempore magnam; Eum quasi quibusdam ullam Possimus assumenda impedit quod''';'''Sit saepe officia; Voluptatum fuga ; Quo perferendis nam libero aliquam deserunt'''
Kayleigh Barber;kayleigh_barber_3210;69.0;35.1;'''(Suscipit aut doloremque) ; Delectus and Vel voluptas''';'''Dolore exercitationem in: Eius iste; Enim optio eos'''
