username,name,total_count,salary,description
miss_pearce_0615,Miss Judith Pearce,36.0,60.1,'''Iure voluptate soluta nesciunt nostrum: Exercitationem alias ut possimus, Distinctio non'''
donald_hancock_9347,Donald Bates-Hancock,67.0,77.1,'''Note: Inventore cupiditate assumenda, then Nostrum et'''
dr_kelly_5509,Dr Sam Kelly,59.0,5.1,'''Iure; Debitis quod cumque odio , Eveniet voluptatibus'''
mr_bell_3239,Mr Alan Bell,11.0,34.1,'''Necessitatibus voluptatum: Consequatur perspiciatis, Eligendi cumque'''
mrs_henry_9902,Mrs Joanna Henry,60.0,39.1,'''Note: Vitae natus laudantium vitae qui quo voluptatibus, then Aperiam inventore expedita id'''
rhys_hall_4247,Rhys Hall,52.0,62.1,'''Reiciendis illum minima excepturi, Occaecati tenetur Officia nulla minima possimus'''
yvonne_mason_6833,Yvonne Mason,34.0,69.1,'''(Provident laudantium vero minima) , Officiis delectus reiciendis deserunt and Deleniti ipsam dolorum accusantium quis'''
angela_davidson_4996,Angela Davidson,88.0,61.1,'''(Ipsum repellendus nemo consectetur) , Consequuntur and Exercitationem repellat libero'''
neil_gilbert_7634,Neil Gilbert,21.0,22.1,'''Possimus; Earum , Hic porro dolore facere error'''
grace_neill_7001,'Grace O''Neill',79.0,25.1,'''Beatae nesciunt, Alias iste tempore nostrum Esse at'''
francesca_gibson_3485,Francesca King-Gibson,42.0,8.1,'''Error officia: Voluptatibus optio quis, Commodi'''
mathew_turner_2996,Mathew Turner,4.0,91.1,'''(Non eaque nesciunt asperiores veniam) , Nisi and Accusantium'''
ms_cunningham_2206,Ms Denise Cunningham,58.0,52.1,'''Nobis: Culpa placeat minima magnam, Voluptas vel sed'''
mr_shepherd_3420,Mr Matthew Shepherd,3.0,7.1,'''Aspernatur blanditiis; Dolores consequatur , Laboriosam'''
miss_stanley_1589,Miss Mandy Stanley,29.0,49.1,'''Pariatur totam; Tempora dignissimos cumque autem , Occaecati praesentium'''
william_miller_9959,William Miller,35.0,13.1,'''Dicta optio natus accusantium, Distinctio Odit iure soluta'''
mrs_clark_8901,Mrs Jemma Clark,74.0,44.1,'''(Modi nulla architecto) , Error consequuntur eum and Laborum similique temporibus hic'''
dr_gibbons_6998,Dr Abdul Gibbons,92.0,84.1,'''Ab; Delectus dolor excepturi , Necessitatibus perspiciatis impedit eligendi'''
mrs_martin_9395,Mrs Hazel Martin,43.0,72.1,'''(Neque ut) , At corporis and Accusamus dicta'''
dr_ferguson_6157,Dr Roger Ferguson,86.0,76.1,'''Temporibus; Nam eius , Ea nemo esse nulla eius'''
ms_james_8070,Ms Molly James,19.0,10.1,'''A; Harum deleniti aut , Assumenda excepturi'''
jordan_harrison_1956,Jordan Harrison,11.0,64.1,'''Harum asperiores voluptatum aliquid quis soluta, Impedit temporibus Dicta'''
samantha_burgess_4267,Samantha Burgess,17.0,52.1,'''Note: Nemo aspernatur, then Facere'''
dr_jones_5688,Dr Adrian Jones,24.0,89.1,'''(Minus nulla) , Dolorum quae ducimus and Odit architecto ea illo'''
ms_patel_2925,Ms Beverley Patel,21.0,96.1,'''(Saepe saepe possimus excepturi) , Minima illo inventore and Officia esse expedita'''
