# This is a comment line to skip
name,username,score,total_count,age,remark,note
Sydney Ingram,sydney_ingram_4233,5.0,42.1,58.2,"""Including popular free: Worker bank, Light red""","""Team sense: Order attorney defense at activity, Understand city"""
Brian Gallagher,brian_gallagher_2465,1.0,26.1,82.2,"""Note: Civil piece, then Loss out""","""Mother four: Eat meet nice food field, Deep same child article"""
John Curtis,john_curtis_7427,91.0,55.1,70.2,"""(Speak power couple face should) , Alone and Game draw these""","""Particularly traditional before, Father phone effort end Woman other the suggest"""
Jimmy Potter,jimmy_potter_1464,72.0,,1.2,"""Note: Manager hot born hit, then Employee training""","""Note: Memory issue people beat price, then Energy now"""
Katherine Cooper,katherine_cooper_3165,74.0,92.1,30.2,"""Note: Able upon myself statement, then Might above short sea country""","""Note: Resource, then Carry point statement"""
Christopher David,christopher_david_5480,31.0,83.1,27.2,"""Note: New interest, then Into subject""","""Develop check pressure; Lead mention such wear son , Themselves responsibility"""
April Sullivan,april_sullivan_3326,24.0,99.1,8.2,"""Note: Pull there, then Point return different""","""Note: Yard arm, then Require"""
Ashley Patton,ashley_patton_0809,17.0,87.1,47.2,"""(Office) , Any hit share almost and Gas not TV no""","""Behavior each both: Baby or notice imagine, Pressure produce outside water"""
Robin Adams,robin_adams_4123,8.0,60.1,17.2,"""Note: Form serve, then Should""","""Difference mind training whom size, However research standard nor Whole sing"""
Deborah Cooper,deborah_cooper_7364,39.0,96.1,42.2,"""Note: Side factor big art above enter, then Nothing arm anyone""","""Must eye; Among power important total camera , Stuff red affect"""
Carl Hays,carl_hays_1543,10.0,23.1,22.2,"""(Between issue) , Participant and Mouth art want do""","""Statement; Eye compare child realize surface , Out positive hear population"""
David Lane,david_lane_2986,61.0,68.1,,"""White thing everything kind total first; Night , Draw ok""","""Series some after: Remember enough general because different, Customer receive despite official newspaper"""
x,christopher_trujillo_5047,77.0,73.1,73.2,"""Floor decade cut minute; Model rise it , Current various""","""Father training official pull: Room trip summer, Might foreign space new recently"""
Monique Johnson,monique_johnson_6693,,70.1,63.2,"""Yeah local name defense; Become member strategy , Attack worry certain animal trouble late""","""Fine per road; Whose they parent model and already , Sister"""
David Baker DVM,david_dvm_3695,36.0,78.1,59.2,"""Reveal food: Guess check speech, Sign hold interesting issue""","""For left practice stay yeah; Color growth , Center maybe few"""
Amber Pollard,amber_pollard_1437,65.0,96.1,70.2,"""Organization issue, Power involve well Music head fly where draw travel""","""(Factor left security real less sign) , Full yeah and But"""
Mark Perez,mark_perez_2706,100.0,55.1,31.2,"""Note: Coach she laugh carry poor, then Social situation red pattern""","""(Offer drop) , Million if finish and Entire"""
