username,name,score,age,price,summary,note
dr_bell_1480,Dr Bruce Bell,18.0,23.1,26.2,"""Note: Praesentium esse, then Accusamus""","""Molestiae nam quam, Eum quam occaecati temporibus deleniti magnam Eos cum quidem modi itaque ipsum ut"""
jill_sims_0449,Jill Sims,59.0,11.1,100.2,"""Reprehenderit tempore, Deserunt veritatis Veritatis""","""Note: Eius soluta repellendus consequatur id laborum, then Inventore"""
douglas_gardner_2121,Douglas Gardner,24.0,35.1,30.2,"""(Eos perspiciatis) , Ducimus quidem and A aliquid""","""Distinctio magni; Voluptates deleniti , Delectus ipsum reprehenderit"""
peter_french_3643,Peter French,15.0,74.1,83.2,"""(Soluta dicta harum velit error) , Non sed and Esse corporis quos""","""(Voluptatum dolore) , Veniam consequatur corrupti and Consequuntur mollitia distinctio"""
helen_warner_1192,Helen Davies-Warner,72.0,90.1,89.2,"""Ullam eveniet ad quasi assumenda rerum: Quisquam vitae, Earum placeat soluta architecto itaque""","""(Nostrum quidem nobis consequatur occaecati) , Alias and Repellendus explicabo"""
natasha_reid_3995,Natasha Haynes-Reid,96.0,3.1,18.2,"""Note: Architecto tempore, then Qui nisi provident dolores""","""(Quod distinctio rem deserunt) , Aliquam deserunt at libero dicta and Temporibus"""
mary_hudson_6143,Mary Hudson,33.0,33.1,15.2,"""Laborum quod non: Vero deserunt laborum, Itaque magnam perferendis""","""Note: Numquam beatae quae, then Error rem"""
liam_rowley_0193,Liam Rowley,14.0,64.1,68.2,"""Note: Aspernatur ipsum sunt architecto, then Consequatur totam ratione""","""Pariatur incidunt quae: Quia harum error dolore, Debitis nam"""
miss_berry_8377,Miss Laura Berry,58.0,,5.2,"""Optio, Quisquam vero dolores officia Sint iure pariatur""","""(Molestiae blanditiis earum doloribus pariatur) , Quo quis and Repellat eos laudantium doloremque"""
ross_evans_4594,Ross Evans,20.0,66.1,14.2,"""Note: Quis enim, then Libero modi itaque""","""Asperiores ex molestiae reprehenderit; Minima natus , Laboriosam et expedita"""
billy_simpson_0257,Billy Simpson,,71.1,87.2,"""Dignissimos; Eius , Labore alias""","""Note: Corrupti exercitationem distinctio odio minima, then Dolores"""
adam_evans_3024,Adam Evans,98.0,94.1,83.2,"""Necessitatibus accusamus officiis placeat dolorum et: Totam, Recusandae a ipsum""","""Libero dolor; At nobis distinctio dolorem molestias , Sequi impedit alias rerum voluptatibus"""
