name,rating,total_count,review,message
Alex Richards,68.0,50.1,"""Qui quod, Expedita excepturi Explicabo id expedita""","""Autem numquam unde: Tempore optio veritatis iste, Porro sequi perspiciatis numquam voluptatibus"""
Sylvia Chapman,75.0,50.1,"""(Voluptatibus) , Repudiandae deserunt itaque and Harum quae totam fuga""","""Nemo: Delectus inventore, Similique provident corrupti vel"""
Marie Andrews,46.0,56.1,"""(Distinctio sapiente) , Dolorum ullam ratione and Id rem""","""Consectetur id asperiores doloremque: Consectetur architecto, Officiis sed"""
Hannah Hunter,10.0,96.1,"""Esse assumenda voluptas fugit eos mollitia; Magnam temporibus earum , Ex exercitationem aut""","""(Laboriosam voluptatibus) , Maxime officia maxime and Perspiciatis dolores nulla"""
Katy Birch,27.0,23.1,"""Perspiciatis; Rerum doloribus necessitatibus , Illum officiis""","""(Voluptas dolor ullam at ab magnam) , Ipsum vero and Eaque"""
Glenn Griffiths,38.0,47.1,"""(Repellendus) , Hic nisi repudiandae dolorum and Quibusdam natus quia""","""Harum cupiditate dignissimos; Ut officiis , Eius inventore provident"""
Lynn Tucker,56.0,98.1,"""(Distinctio cum magnam doloremque) , Quas illum rem and Quisquam vero provident""","""Note: Iste deserunt praesentium perspiciatis, then Mollitia aspernatur esse"""
Brandon Webb-Francis,3.0,57.1,"""(Enim soluta accusamus nobis) , Aliquid iusto and Eius labore""","""(Atque ab) , Cupiditate cum illum and Dicta expedita quasi tempore blanditiis expedita"""
Joyce Bibi,60.0,57.1,"""Odio fugit ea officiis quae; Hic officia exercitationem officiis amet , Possimus""","""Consectetur id veritatis molestiae: Sit quasi iusto, Tempora provident commodi"""
Lesley Wilson-Jones,85.0,17.1,"""Note: Veniam dicta illum, then Nulla laudantium quibusdam libero labore""","""Voluptatem magni repudiandae; At accusamus , Alias doloremque voluptatum deserunt"""
Ross Naylor,72.0,24.1,"""(Cum reiciendis) , Possimus quisquam perferendis and Dolorem ipsum reprehenderit""","""Eius expedita; Beatae , Eligendi veritatis neque non"""
Mr Colin Lloyd,47.0,19.1,"""Note: Quis alias cumque, then Minus sequi assumenda""","""(Debitis suscipit illum) , Accusamus voluptatem sed saepe quidem and Qui deleniti similique esse accusamus alias fugit"""
Mrs Melanie Davies,70.0,9.1,"""Laudantium voluptas quia, Tempora laudantium fugit iure vero consequuntur Reiciendis neque harum maxime""","""(Illum harum culpa nulla facilis) , Ad cumque provident and Numquam ab eum sunt saepe"""
Alex Cooke,9.0,76.1,"""Omnis magni minima officiis inventore veniam: Pariatur voluptates, Dolore quos quaerat saepe""","""(Eius commodi sunt tempora) , Assumenda labore and Laudantium magnam incidunt harum occaecati repellendus"""
Russell Harris,39.0,23.1,"""Quae enim: Aut ex dolor, Doloremque consequuntur deserunt modi aliquid""","""Note: Ab, then Iste vel eos quas"""
Amanda Wallis,96.0,9.1,"""Mollitia ex nemo amet debitis; In laborum , Illo at""","""Eos at itaque; Beatae , Laborum"""
Marc Wood-Murray,38.0,31.1,"""(Blanditiis eos harum accusamus) , Impedit voluptatum odio ad and Nam""","""Dolores animi provident consequatur aspernatur libero: Praesentium deleniti ipsam, Amet illum"""
Yvonne Payne-Phillips,48.0,10.1,"""Officiis voluptate accusamus inventore placeat; Expedita , Laboriosam unde incidunt""","""Tempora: Fuga quidem, Tenetur nemo molestiae quod tempora deserunt"""
Maureen Hughes,68.0,51.1,"""Iusto eligendi deserunt quia: Voluptate vero et architecto, Consequatur cumque quaerat""","""Note: Ipsum saepe harum maiores, then Perferendis saepe eum beatae nisi"""
Ms Danielle James,5.0,17.1,"""(Quaerat quaerat placeat) , Voluptate odio and Illum illum non""","""Suscipit vero ea dolorum magni laudantium; Sed consectetur modi quis ratione , Labore debitis dolore quae magnam"""
Leon Shah,83.0,2.1,"""(Consequatur quibusdam) , Rem expedita hic beatae voluptatem and Suscipit""","""(Vero dolor accusamus quas quas) , Voluptatibus aperiam and Facilis in iusto provident repellat"""
Claire Winter,100.0,100.1,"""(Asperiores eaque ratione nostrum) , Itaque magni minima sit commodi cupiditate and Quasi vel itaque""","""Quas, Iusto quod Error eum magni laborum"""
Diana Ward,27.0,42.1,"""Nemo nihil: Nobis modi, Numquam asperiores""","""Note: Magni, then Quasi saepe quis"""
