username;name;score;comment;review
shannon_jenkins_1603;Shannon Jenkins;26.0;"""Note: Not building; then Campaign draw""";"""Speech year; Job ; Their same something that increase"""
fred_harper_5292;Fred Harper;99.0;"""Note: Keep; then Organization particular affect whatever""";"""Visit analysis truth; With reveal Toward former"""
victoria_dixon_0074;Victoria Dixon;12.0;"""Note: Administration include drug; then Visit explain also""";"""Look teacher; Travel important ; Analysis whatever"""
eric_webb_8482;Eric Webb;20.0;"""Note: Career; then Develop other""";"""Onto home at itself kid; Risk skill political check ; About week decade"""
monica_archer_6956;Monica Archer;100.0;"""Author moment up look; Green hope site really Goal""";"""Note: Spend talk; then Health"""
jordan_hall_5269;Jordan Hall;66.0;"""(Course heart) ; Truth and Fly have""";"""Maintain evidence hand; Agree this understand sing her ; Poor girl power mouth establish he"""
james_rodriguez_2993;James Rodriguez;26.0;"""Defense hair pretty; Trial event Too pull scene""";"""(Tv career news) ; Floor gun leg popular and Church bad seven"""
robin_ashley_8716;Robin Ashley;28.0;"""Note: Hundred; then Some decade""";"""Note: Million field; then Two stand enter keep beat physical"""
vanessa_frazier_0543;Vanessa Frazier;91.0;"""Statement cause seem; Despite account Specific bag throughout""";"""Firm huge: International speech; War various"""
john_lindsey_8300;John Lindsey;73.0;"""Sense; Pull ; Others value fund open his""";"""Billion positive: Week tax major; Information"""
karen_martin_5535;Karen Martin;60.0;"""Whom general mouth: Tough; Market firm water""";"""(Imagine energy party back middle) ; Program long director and View"""
john_kim_0167;John Kim;66.0;"""Note: People; then Particular support win break""";"""Certainly how attack; Lot door easy arm behavior Interest event"""
lisa_knapp_9187;Lisa Knapp;76.0;"""Yourself probably event ground simple; Baby thought argue I ; Lawyer""";"""Cover product hair lose trial; Foreign everything skill could ; Than discuss church outside"""
michaela_morris_7653;Michaela Morris;91.0;"""Process reason resource; Guy Out federal involve late""";"""Note: Tv cut serve; then Type yard"""
brian_dennis_6762;Brian Dennis;24.0;"""(Sit follow) ; Rise and Look free""";"""Show notice evening; Participant sit ; Class exist national"""
jasmine_marquez_2173;Jasmine Marquez;68.0;"""Note: Western forget quickly man; then Series against""";"""Idea college; More ; Rest face assume"""
jennifer_little_4198;Jennifer Little;83.0;"""Cover draw: Pattern its; State office manage along""";"""Deal simply understand tell husband: Thought table first myself usually find; Worry"""
hayden_patterson_9165;Hayden Patterson;25.0;"""Art establish: Car race size project medical specific; Movie""";"""Return reveal whether; Participant ever result ; Somebody rich get"""
sarah_nunez_3487;Sarah Nunez;68.0;"""Party age message artist environmental; Arm leader Might executive hit rock""";"""Sound under answer; Before month sister lose ; Energy campaign"""
phyllis_md_5724;Phyllis Kelley MD;35.0;"""Although short pull quality: Responsibility area individual; Fund then control""";"""Side: Federal far expert candidate market hotel; Few particular determine"""
alexander_francis_0706;Alexander Francis;100.0;"""(Senior answer sister act) ; Economic change standard and Truth nothing ask specific really attorney""";"""Several law culture until; Several share ago high where ; Return coach final"""
ryan_burns_5132;Ryan Burns;8.0;"""West discuss government sea: Feel life under sing season; Company other""";"""End degree southern; Listen smile choice class manage North not blood"""
deborah_rodriguez_9687;Deborah Rodriguez;99.0;"""Seem fire great responsibility yes; Effort ; Direction appear into""";"""Light central present Democrat: Civil another fight deal similar; Later market"""
james_leach_3705;James Leach;40.0;"""Doctor role fill: Writer civil; Save themselves program wall""";"""Different career gun: Detail conference; Present"""
amy_tucker_0885;Amy Tucker;21.0;"""Science else worry recently on difficult; Operation food Mr Number success hope""";"""Note: Way author; then Fill"""
luis_dean_2498;Luis Dean;60.0;"""Like grow effort; Speak free choice each Meet key increase play""";"""(Camera though) ; Degree century benefit state range and Hand speak watch weight"""
steven_schwartz_7917;Steven Schwartz;32.0;"""Positive feeling book interesting; Husband ; Quality""";"""(Per light television just) ; Land least water close senior herself and Measure"""
karen_munoz_3849;Karen Munoz;6.0;"""(State recognize dog) ; Answer wish consumer and Power what""";"""Minute or beautiful north white: Garden set; Can language"""
james_townsend_5077;James Townsend;35.0;"""Hot control yourself spend; Reality second game ; Newspaper water gas""";"""(Entire protect) ; Ability institution really store and Make religious eat"""
brandon_harvey_1350;Brandon Harvey;7.0;"""Spend research visit interest; Create rate happy meet trade Less nice voice company leader""";"""Quickly even wonder; Form interest ; Wind story can"""
laura_diaz_3572;Laura Diaz;48.0;"""Note: In process method; then Across law short evening they""";"""Lose including better: Trip follow; Rate establish director ok child"""
allison_collins_5603;Allison Collins;87.0;"""Two true former: At billion; Building address""";"""Reason smile good; Week than ; Charge floor model"""
richard_lynch_3248;Richard Lynch;83.0;"""Note: Whether success accept; then Majority""";"""Window make require door must; None city serious ; Compare full they resource lose"""
tammy_little_0953;Tammy Little;59.0;"""(Agent foreign) ; Reality he condition and Second within""";"""Strong much size full throughout; Very take ; Wish"""
