# This is a comment line to skip
name,username,total_count,price,age,note,description
Clare Taylor-Baker,clare_baker_9403,98.0,98.1,64.2,'''Qui asperiores, Molestiae veritatis Sit odit facilis quasi minus nulla''','''Hic inventore nemo aperiam totam: Sit voluptate at magnam, At aspernatur nobis officiis facilis'''
Shaun Powell,shaun_powell_9840,53.0,25.1,34.2,'''Ducimus nam, Odio Culpa dignissimos enim''','''(Expedita deserunt corrupti laudantium) , Adipisci officia and Suscipit aliquid'''
Harriet White,harriet_white_3265,72.0,67.1,76.2,'''(Facere eius) , Eos doloribus and Deleniti soluta magnam sint ex''','''(Quasi inventore rem ratione magnam) , Ratione and Possimus voluptate ad optio'''
Damian Nolan,damian_nolan_3936,39.0,71.1,28.2,'''Atque consequatur: Modi molestiae animi dolorem asperiores, Accusantium ut incidunt officia similique inventore''','''Tempora: Esse, Exercitationem dolores'''
Christian Boyle,christian_boyle_7318,14.0,100.1,40.2,'''Voluptate reprehenderit vero dignissimos fugiat, Animi aliquid In quos deserunt ut''','''Quisquam eos explicabo; Aliquid doloremque optio praesentium voluptatem , Laudantium quisquam perferendis consectetur fuga nulla'''
Dr Beth Williams,dr_williams_5246,43.0,81.1,6.2,'''(Quo quae sunt accusantium optio ipsam) , Sint id dolores and Facilis magni''','''Quisquam quod voluptatum illo: Nostrum excepturi cupiditate repellat, Doloribus adipisci'''
Lisa Hussain-Benson,lisa_benson_5582,81.0,,97.2,'''Note: Nam sit, then Consequatur doloremque''','''Note: Soluta, then Assumenda saepe beatae illum est eligendi'''
Clive Jones,clive_jones_3147,33.0,14.1,11.2,'''Quasi, Ea ipsa Omnis''','''(Saepe earum a) , Assumenda vitae natus consectetur and Facere sapiente'''
Benjamin Duffy,benjamin_duffy_0911,29.0,23.1,54.2,'''Corporis itaque sunt corrupti: Et quisquam, Quos ad''','''Nostrum; Atque quos esse , Id illum molestiae reprehenderit'''
Lucy Hussain,lucy_hussain_6539,28.0,52.1,77.2,'''Odio provident, Consectetur exercitationem similique Rerum ratione illum''','''Note: Libero a, then Consectetur assumenda cumque tempore'''
Francesca Hall-Price,francesca_price_6146,6.0,55.1,43.2,'''Culpa exercitationem itaque soluta animi iste, Amet ratione veniam reprehenderit Sit officiis''','''Nesciunt corrupti voluptatem: Asperiores ullam numquam totam, A aspernatur'''
Gary Griffin,gary_griffin_9248,9.0,13.1,70.2,'''Tempore deserunt magni eum; Quae temporibus quos , In''','''Eos recusandae culpa; Sequi laborum , Iure nihil'''
Tracy Fletcher,tracy_fletcher_1815,42.0,97.1,50.2,'''Note: Assumenda vitae doloremque repellendus natus, then Eum quod eligendi repellat numquam sint''','''Note: Possimus veniam impedit, then Magnam dicta'''
Marion Ward-Mitchell,marion_mitchell_1638,15.0,62.1,11.2,'''(Perferendis) , Aspernatur minus eos and Quam assumenda optio''','''(Aperiam aut minus) , Odit necessitatibus and Nulla eligendi'''
Stewart Williams,stewart_williams_9512,11.0,28.1,64.2,'''Note: Magnam deleniti architecto, then Nesciunt molestiae perspiciatis''','''Commodi placeat deserunt occaecati facere: Necessitatibus iure delectus maiores, Placeat perspiciatis amet aut'''
Dr Dale Phillips,dr_phillips_6094,30.0,11.1,4.2,'''Tempore: Ab alias, Dolorum eos''','''Pariatur hic magnam, Nihil iusto temporibus Distinctio facilis magni odit'''
Derek Harris,derek_harris_5277,1.0,66.1,58.2,'''(Nemo) , Ex earum and Eaque ullam''','''Repellendus ab beatae, Dolorem itaque Amet nam quasi'''
Sheila Carter-Wright,sheila_wright_5061,20.0,46.1,,'''(Fugit earum minima porro voluptatibus) , Sit tempora and Non error''','''Suscipit voluptatem nesciunt cum: Unde voluptatem, Recusandae numquam quis possimus nobis'''
Jean Tomlinson-Bishop,jean_bishop_5911,49.0,47.1,27.2,'''Note: Totam tempora dicta dolorum, then Reiciendis mollitia quam''','''Note: Dolores doloremque similique iste modi, then Eum'''
Cheryl Wilson,cheryl_wilson_0133,10.0,96.1,25.2,'''Note: Temporibus esse quia, then Exercitationem tempora id''','''Tenetur minus nulla, Quis dolor laborum Dolorum neque sequi error'''
