name;age;rating;salary;summary;review
Harriet Berry;77.0;15.1;14.2;"""Note: Mollitia quia; then Veniam asperiores ad nesciunt placeat eligendi""";"""(Corporis dolores) ; Facilis and Aliquid placeat"""
Tracey Pritchard;98.0;85.1;85.2;"""Reprehenderit aperiam reiciendis facilis; Quam aperiam consectetur Reiciendis reiciendis dolor repudiandae illum""";"""Provident: Nisi; Culpa aliquam"""
Miss Josephine French;20.0;21.1;67.2;"""Est nemo voluptatum; Reiciendis libero accusamus possimus eum voluptatum Accusamus ipsam facere""";"""Laboriosam laudantium: Assumenda et at inventore nisi quaerat porro; Non illum culpa occaecati perspiciatis"""
Dawn Ali;72.0;10.1;24.2;"""Note: Cumque; then Aliquam est""";"""(Quaerat sequi eius) ; Mollitia doloribus dolores molestias and Reiciendis corrupti officiis at"""
Ellie Bowen;77.0;37.1;63.2;"""Note: Ad doloribus cum nemo; then Aperiam explicabo quas sint""";"""Ea inventore commodi reiciendis; Natus ; Aperiam eligendi"""
l;64.0;86.1;35.2;"""(Ullam) ; Nihil quaerat and Animi laudantium molestias""";"""Porro est; Impedit laborum Vel impedit blanditiis"""
Gillian Smith;97.0;54.1;43.2;"""Note: Similique eius; then Aperiam aliquam consequuntur aliquid reiciendis""";"""Harum beatae nostrum eum; Illo velit ; Voluptate labore"""
Dr Brett Mitchell;10.0;59.1;52.2;"""Dolorum commodi praesentium perspiciatis; Omnis doloribus architecto Temporibus perspiciatis alias hic""";"""Note: Blanditiis voluptatum nisi; then Reprehenderit"""
Christian Patel;29.0;17.1;70.2;"""(Occaecati fuga) ; Quis quos and Explicabo animi molestiae fuga saepe nisi""";"""(Ea vel) ; Accusamus accusantium and Magni fuga soluta"""
Denise Davies;60.0;15.1;54.2;"""Note: Architecto nam fugit aliquam iusto; then Eligendi architecto""";"""Neque dolores iure quo; Dolores distinctio ; Ea numquam corrupti"""
Geraldine Gallagher-Clark;67.0;36.1;83.2;"""Note: Suscipit molestias; then Beatae fuga nisi inventore sapiente""";"""Ullam officia molestiae: Eveniet; Debitis tenetur aperiam odio nisi adipisci"""
Joseph Taylor-Bevan;91.0;83.1;33.2;"""Omnis consequuntur aspernatur; Soluta ; Fugiat eos voluptatibus hic""";"""Architecto magnam vero enim repudiandae: Ab repellendus repellendus; Consectetur cum impedit consectetur"""
Bradley Phillips;65.0;48.1;27.2;"""Ullam fugit: Repudiandae facere; Accusantium neque pariatur""";"""Laboriosam eveniet magnam mollitia; Quidem omnis ; Nobis dicta beatae"""
Lynda Metcalfe;54.0;60.1;81.2;"""Note: Quas deleniti ipsam molestias; then Libero rem""";"""Quae non; Sit voluptatibus illo Repellat laudantium accusamus neque quas"""
Damien Townsend-Richardson;96.0;99.1;;"""Quae sapiente in; Temporibus molestiae ; Accusantium omnis""";"""Note: Sapiente et enim; then Eveniet repellat dolorum placeat"""
Marion Henderson;81.0;63.1;16.2;"""Note: Voluptas nemo; then Debitis cumque expedita""";"""Deserunt voluptate; Voluptas quidem ; Minus deleniti architecto sunt laborum laudantium"""
Miss Abigail Ali;79.0;18.1;47.2;"""Quas veritatis; Dolore quae nihil Debitis eveniet facere""";"""Vitae; Nostrum doloribus error esse mollitia ullam ; Unde voluptates"""
Gail Hunt;42.0;27.1;41.2;"""(Sequi deleniti pariatur) ; Reprehenderit unde totam dignissimos veniam and Amet cum""";"""Unde; Explicabo Ducimus quos eaque"""
Ms Charlotte Lloyd;92.0;82.1;43.2;"""Incidunt voluptas eligendi; Architecto fuga consequatur Atque labore autem""";"""(Delectus) ; Minima and Distinctio"""
Janice Williams;73.0;9.1;90.2;"""Nihil quo doloremque: Eaque; Veniam consequuntur""";"""(Consectetur saepe) ; Culpa dolorem and Vel occaecati modi enim corporis"""
Ms Lynne Jones;85.0;2.1;40.2;"""Error a explicabo; In temporibus Amet officia dolores tempora""";"""Alias: Temporibus quis modi; Voluptas"""
Karen Anderson;88.0;33.1;43.2;"""Minima dolore assumenda veritatis consequuntur: In rerum veniam consequatur neque repudiandae; Eaque id natus rerum""";"""(Rem quas) ; Exercitationem ea sunt and Eligendi consequatur"""
Leigh Savage;40.0;86.1;70.2;"""Quibusdam quos: Architecto; Architecto impedit""";"""Note: A aut; then Id quo facilis repellat pariatur accusantium"""
Marilyn Murray;35.0;56.1;92.2;"""Recusandae magni ipsum deserunt aperiam; Necessitatibus quibusdam ; At impedit consequuntur placeat nostrum eius""";"""Illum; Dolor dolores ea Aut aliquid"""
