username,name,salary,rating,total_count,remark,note
dr_bull_8107,Dr Frances Bull,7.0,90.1,42.2,"""Note: Recusandae inventore neque in, then Culpa""","""Note: Nesciunt culpa fugit, then Aliquid voluptatibus"""
bethany_smith_3256,Bethany Smith,98.0,85.1,80.2,"""Temporibus: Dolorum, Minus explicabo""","""Note: Rerum ipsam, then Aperiam praesentium"""
ms_johnson_2350,Ms Kirsty Johnson,72.0,79.1,14.2,"""(Minus sunt eveniet tempora) , Tenetur sint and Reiciendis laboriosam""","""Note: Quam, then Minus minima"""
tom_smith_1206,Tom Smith,18.0,94.1,17.2,"""Saepe magni repellat facere: Labore, Amet aliquam rerum incidunt nulla""","""Note: Nihil, then Sunt impedit odio"""
mr_swift_6769,Mr Jeremy Swift,75.0,10.1,72.2,"""Qui harum similique incidunt, Itaque asperiores reiciendis voluptate Provident libero""","""Perspiciatis ducimus numquam, Voluptatem quia Enim odit"""
kerry_king_8097,Kerry King,89.0,57.1,41.2,"""(Vero ratione enim repudiandae corrupti) , Iure and Enim ipsum""","""(Laudantium similique est ex sunt minus) , Illum magni itaque maxime and Commodi quo eligendi voluptatibus ducimus sequi"""
miss_collins_6833,Miss Patricia Collins,62.0,56.1,53.2,"""Provident veniam commodi iure, Expedita voluptatibus pariatur voluptate Quaerat quia vero""","""Natus cupiditate ad aliquam sequi: Minima possimus voluptas, Eligendi modi repudiandae ipsam"""
leah_hunt_6646,Leah Hunt,44.0,51.1,25.2,"""Aliquid: Veritatis cupiditate soluta rem, Optio molestias aliquid eveniet""","""Note: Officiis fugiat at sapiente, then Rem voluptatum perferendis"""
christian_gallagher_5725,Christian Gallagher,65.0,72.1,94.2,"""Reprehenderit est possimus; Omnis adipisci nulla , Eum dolor""","""(Repellat quasi quisquam) , Doloribus tempore officia cupiditate a and Voluptates"""
mr_morgan_1178,Mr Eric Morgan,61.0,68.1,31.2,"""Note: Dolor dolor dolor, then Fuga fugit reprehenderit""","""(Similique deleniti voluptatibus aut quasi placeat) , Omnis voluptates quisquam and Porro quam labore iste maiores"""
peter_roberts_9184,Peter Roberts,52.0,35.1,58.2,"""(Facere) , Debitis totam ea harum incidunt molestiae and Cupiditate excepturi accusamus laudantium expedita""","""(Dolore velit consectetur) , Sunt cum voluptatibus dicta quo and Tempore nihil doloremque veniam architecto facilis"""
joe_townsend_8640,Joe Townsend,47.0,56.1,79.2,"""Id placeat commodi cupiditate impedit ea: Blanditiis hic, Temporibus minima autem itaque""","""Illo alias, Praesentium Inventore ad"""
harry_mills_9591,Harry Mills,30.0,29.1,30.2,"""Note: Libero animi libero, then Eos saepe""","""(Ab consequatur) , Labore and Saepe quod"""
mr_smith_4966,Mr Ben Smith,12.0,58.1,34.2,"""(Vero corrupti) , Quos ipsam deserunt and Pariatur consequuntur ducimus modi""","""Voluptate hic; Officia minima illum perferendis eligendi , Optio commodi cumque"""
chloe_cole_9152,Chloe Cole,,99.1,29.2,"""Quam illo; Sequi , Illo quas""","""Velit, Debitis non at Enim porro tenetur"""
roy_fletcher_0589,Roy Fletcher,92.0,40.1,33.2,"""Note: Deserunt adipisci et ipsa provident, then Aut voluptatibus libero""","""Quos quisquam: Deleniti quod alias, Rerum laboriosam alias voluptatum mollitia voluptatum"""
gregory_shaw_2362,Gregory Shaw,48.0,95.1,93.2,"""Libero; Molestias molestias , Nam perspiciatis maiores""","""(Accusamus fuga assumenda) , Cum aut dignissimos and Incidunt quod facere"""
mrs_barber_6425,Mrs Charlene Barber,37.0,23.1,90.2,"""Perferendis numquam eum autem libero, Quisquam Aperiam aut""","""(Doloremque voluptas rerum) , Impedit quibusdam and Eius doloribus voluptatibus officiis sint voluptatem"""
dr_parsons_2453,Dr Bernard Parsons,28.0,60.1,,"""Ad iusto at: Illo nobis sit odit aut, Doloribus""","""Qui consectetur; Facere sequi aliquam omnis totam , Porro itaque voluptas"""
stephanie_hamilton_8045,Stephanie Hamilton,9.0,55.1,94.2,"""Quod earum: Repellat, Minus labore sequi inventore""","""Ut odit: Amet incidunt natus neque, Provident odit dolorem voluptatem eligendi"""
