# This is a comment line to skip
name;username;salary;total_count;score;note;review
Carole Patel;carole_patel_7554;54.0;;66.2;"""(Minima facilis enim) ; Accusantium and Eos quaerat aliquid""";"""Note: Molestias cumque iste; then Ut et consequuntur maiores omnis"""
Dr Louis Bennett;dr_bennett_0992;33.0;9.1;45.2;"""Hic dolorum labore quo; Maxime laudantium quibusdam provident Quasi nobis non""";"""Note: Recusandae totam iusto molestias; then Eius fugit voluptatum"""
Joyce Oliver;joyce_oliver_0472;47.0;51.1;28.2;"""Ipsa quae: Quisquam repellendus veritatis placeat nobis voluptas; Maiores occaecati""";"""Magnam porro nesciunt; Optio aliquid iste ; Vitae"""
Leon Scott;leon_scott_4007;96.0;97.1;4.2;"""Fugit deleniti nihil error vitae; At eligendi maxime sed dicta at sequi Nisi accusamus error veniam""";"""(Eum molestias asperiores) ; Illum inventore nostrum and Tenetur ullam"""
Kieran Bennett;kieran_bennett_4934;12.0;85.1;69.2;"""Note: Quas esse; then Ea occaecati""";"""Provident dolor incidunt tempora iure; Architecto voluptatem odio ; Aperiam"""
Dr Karen Goodwin;dr_goodwin_0928;84.0;24.1;85.2;"""Rerum quaerat; Architecto rem assumenda ; Reiciendis consequatur sequi""";"""Sed modi aliquid; Pariatur voluptatum ; Aliquam aliquam"""
Dr Allan Graham;dr_graham_4587;14.0;30.1;24.2;"""Vitae nostrum; Ipsa temporibus alias esse ; Excepturi ab sequi voluptatum odio""";"""Perspiciatis; Excepturi sint incidunt aliquid Illo quia"""
D;jason_yates_1925;23.0;21.1;38.2;"""(Placeat possimus minima voluptates atque) ; Quis and Minus illo odit""";"""(Corrupti ut cum repudiandae ea) ; Beatae vel quis eum deleniti and Consequuntur"""
Justin Hope;justin_hope_9086;74.0;68.1;56.2;"""Blanditiis aspernatur doloremque: Consequatur voluptate; Laborum eos voluptatibus illo""";"""(Libero explicabo) ; Voluptatibus adipisci occaecati and Facilis tempore recusandae"""
Wayne Hunter;wayne_hunter_9078;22.0;7.1;10.2;"""Note: Eius rem porro; then Mollitia""";"""Nam iure impedit veritatis adipisci; Libero Aut ea"""
Roger Clark;roger_clark_3377;25.0;91.1;33.2;"""Note: In; then Vel eos quae""";"""Excepturi nemo aspernatur sunt harum; Tempora error minus ; At distinctio perspiciatis sit"""
James Lewis;james_lewis_3723;38.0;51.1;32.2;"""Dolore voluptatibus asperiores; Commodi doloribus voluptates provident hic ; Repellat molestias""";"""Ad maiores; Ipsam fuga ; Ut odio esse"""
Linda Kaur;linda_kaur_3811;96.0;76.1;15.2;"""(Optio mollitia quaerat) ; Atque quis ipsa nam and Similique architecto eaque""";"""Sequi eos; Reprehenderit impedit ; Autem totam aut eveniet"""
Judith Foster;judith_foster_2674;76.0;42.1;39.2;"""Note: Eligendi; then Iste quos vel dolor""";"""(Molestias repudiandae impedit officia) ; Nemo unde and Possimus rerum"""
Victoria Wilkinson;victoria_wilkinson_2521;12.0;53.1;23.2;"""(Nisi dolor itaque labore sed) ; Quasi doloremque and Dolorem esse""";"""Error magni sequi; Dolore ad Enim officia"""
Ashley Parry-Freeman;ashley_freeman_2298;69.0;3.1;55.2;"""(At impedit fugiat) ; Assumenda quae and Odit ea explicabo vero""";"""(Maxime veritatis expedita) ; Quos vel facilis dolor and Similique quam error molestiae doloribus"""
Justin Brooks;justin_brooks_8391;63.0;69.1;10.2;"""Nostrum similique quos consectetur nobis; Optio officiis in dolores ; Deserunt quae occaecati maiores""";"""Autem; Amet eveniet illum quasi ; Eligendi quo"""
Dr Oliver Edwards;dr_edwards_7068;22.0;28.1;58.2;"""Reiciendis nisi distinctio: Nostrum laboriosam provident cupiditate; Fuga nulla distinctio magnam laboriosam""";"""Ut aperiam fugiat natus voluptas nam; Assumenda aliquid illum vero magni Nobis quos nesciunt"""
Dr Alexandra Brooks;dr_brooks_1473;7.0;68.1;94.2;"""Tenetur quis: Voluptas; Reprehenderit fugiat incidunt sequi""";"""Suscipit cupiditate dicta at placeat libero; Dolores ; Deserunt nobis amet quia dolores"""
Glen Thomas;glen_thomas_1559;37.0;17.1;;"""Note: Saepe harum; then Perspiciatis""";"""(Quae ad laudantium amet) ; Aliquid tempore quae aperiam and Odit"""
Dr Kieran Jarvis;dr_jarvis_6935;59.0;5.1;11.2;"""Aut; Sapiente natus saepe Neque ipsum dolorem vitae accusantium""";"""Numquam praesentium libero minus voluptate: Animi repudiandae numquam; Facere"""
Thomas Connor;thomas_connor_9647;;76.1;76.2;"""Nulla voluptates aperiam voluptatem; Quisquam odit quas voluptatibus Facilis""";"""Totam; Officiis temporibus Minima"""
Beth Scott;beth_scott_8367;37.0;42.1;58.2;"""Nulla rem eligendi quo vitae; Expedita modi magnam alias ; Animi quidem""";"""Quod; Ex eos libero ullam Nostrum quidem neque"""
Mr Charlie Brown;mr_brown_3313;91.0;4.1;68.2;"""(Blanditiis numquam perspiciatis) ; Cum and Ab illo possimus""";"""Non sequi harum unde; Commodi nesciunt maxime fuga cum Est"""
Eileen Johnson;eileen_johnson_6901;87.0;35.1;26.2;"""(Voluptatem iste est) ; Explicabo dolore commodi tenetur and Blanditiis a suscipit consequatur consequuntur""";"""Iure ad: Recusandae officia iure est sequi; Minima excepturi sed dolores"""
Rebecca Lane-Barry;rebecca_barry_1915;27.0;100.1;18.2;"""(Numquam voluptates) ; Laborum culpa ducimus voluptatem and Deleniti exercitationem soluta corporis""";"""Architecto; A architecto ; Quis inventore non"""
Amelia Clark;amelia_clark_8685;40.0;48.1;89.2;"""Note: In ex voluptatem quas debitis eveniet; then Minus sint magnam totam""";"""Note: Ad unde; then Vitae laborum porro"""
Yvonne Jackson;yvonne_jackson_3379;29.0;91.1;77.2;"""Excepturi asperiores eum possimus necessitatibus corporis: Voluptates magnam; A eaque""";"""Quam recusandae hic; Aperiam aspernatur repellendus ; Amet ut id distinctio"""
Shannon Allen;shannon_allen_9081;28.0;48.1;3.2;"""Voluptates accusamus; Dignissimos Deleniti labore in""";"""(Fugiat amet dolorum) ; Itaque nemo quia totam veniam and Necessitatibus iure"""
Maria Davis;maria_davis_9522;70.0;79.1;43.2;"""Expedita accusantium delectus; Ab tempore in ut eaque itaque Facere deleniti""";"""(Deserunt illum est at) ; Atque dolore unde illum and Repudiandae reprehenderit animi asperiores delectus minus"""
Rosemary Ali;rosemary_ali_4443;58.0;75.1;84.2;"""Quae aperiam nam; Vero magni consectetur Assumenda neque""";"""Nulla quisquam odit facere dolores; Nemo ; Eum exercitationem veritatis quo"""
