# This is a comment line to skip
name;username;score;rating;age;comment
Gavin Griffin-Sharpe;gavin_sharpe_6940;33.0;66.1;87.2;"""Placeat inventore; Eius porro voluptate eum consequuntur doloribus ; In deserunt"""
Carl Smith;carl_smith_2179;40.0;63.1;20.2;"""Amet provident: Et tenetur explicabo velit; Aut inventore"""
Dr Thomas Thomas;dr_thomas_2087;44.0;26.1;86.2;"""Note: Nostrum eaque dolorem quam; then Possimus ipsum officia"""
Mr Rhys Knight;mr_knight_7220;79.0;64.1;23.2;"""Pariatur reiciendis eius quibusdam: Nobis nam dolor nihil beatae quia; Illum ipsam dolor minus ex non"""
Gail Ward;gail_ward_6564;69.0;92.1;59.2;"""Cumque cupiditate; Sed repudiandae Libero provident"""
Karl Smith;karl_smith_6178;90.0;94.1;32.2;"""Sit adipisci facilis; Nam ducimus ratione Quidem assumenda rem"""
Mr Mohammad Edwards;mr_edwards_8816;11.0;35.1;20.2;"""Doloribus cum vero: Nulla temporibus ipsum repudiandae; Sapiente dolores"""
Holly Baker;holly_baker_0887;68.0;;60.2;"""Quia aperiam asperiores voluptatibus; Molestias ; Tempore veritatis error rerum"""
Wendy McDonald;wendy_mcdonald_3555;;79.1;57.2;"""(Quas nisi doloribus incidunt fuga) ; Odio magni quisquam perferendis voluptatibus veritatis and Ipsam exercitationem"""
Mohammad Smith;mohammad_smith_1391;14.0;11.1;80.2;"""(Asperiores quia voluptas enim) ; Vitae neque eos laudantium and Libero porro recusandae"""
Amanda Reid-Wright;amanda_wright_6720;11.0;94.1;44.2;"""Note: Aspernatur atque repudiandae odit; then Reprehenderit"""
Martyn Moore;martyn_moore_0816;65.0;44.1;28.2;"""Ipsa ea nemo; Ducimus quae ducimus consequatur Non unde delectus optio dignissimos"""
Leanne Reynolds;leanne_reynolds_4822;13.0;87.1;38.2;"""(Odit laborum) ; Est modi blanditiis quos placeat ullam and Minima"""
Adam Moore;adam_moore_5230;25.0;12.1;49.2;"""(Optio ducimus atque deserunt) ; Quod tempore and Labore"""
