name	total_count	salary	summary	review
Patricia Lloyd-Lees	45.0	10.1	'''Veritatis: Modi ratione	 Rerum nam'''	'''Fugiat; Illo nam rerum quisquam 	 Recusandae ea'''
Julian Harper	63.0	72.1	'''Optio laudantium; Veniam odit repudiandae 	 Blanditiis iure expedita'''	'''(Et nemo amet voluptatibus) 	 Debitis enim sint qui and Soluta laboriosam cumque'''
Julian Brown	31.0	64.1	'''(Architecto natus) 	 Quibusdam corrupti and Inventore non facilis est molestiae ab'''	'''Eum itaque ut; Expedita veritatis optio 	 Consequatur'''
Julian Perkins	18.0	3.1	'''Assumenda distinctio	 Soluta possimus nisi Corporis itaque reprehenderit magnam optio'''	'''Quae; Fugiat 	 Nulla'''
Jake Weston	5.0	90.1	'''Note: Autem odit iusto quis mollitia	 then Maxime ullam eos vitae magni'''	'''(Eveniet) 	 At and Deleniti placeat officia'''
Dennis Price	78.0	98.1	'''Veniam ratione animi asperiores commodi consectetur	 Saepe quidem autem Occaecati voluptatem'''	'''Iure; Totam nihil accusamus nobis 	 Quaerat saepe aut ipsa iure'''
'Mr Alexander O''Sullivan'	31.0	81.1	'''Placeat temporibus: Voluptas distinctio eaque	 Sed ipsam'''	'''(Nisi ab ad repudiandae) 	 Deserunt velit architecto error and Corporis ipsum repudiandae'''
Ms Teresa Marsh	91.0	82.1	'''Note: Officia	 then Reprehenderit libero'''	'''Sit beatae dolore	 Nobis mollitia Modi enim'''
Hilary Howe		74.1	'''Libero excepturi amet maiores exercitationem omnis velit; Laborum 	 Incidunt culpa necessitatibus nihil quisquam'''	'''Note: Ex cumque ipsam ullam accusantium possimus	 then Est molestias beatae suscipit'''
Carly Walker-Watts	49.0	24.1	'''(Perspiciatis inventore hic) 	 Omnis illum and Fuga aliquam'''	'''Illum non tempora	 Qui quidem doloribus optio alias ea Iure debitis'''
Mrs Hazel Thomas	21.0	42.1	'''Note: Fugit ipsum aspernatur	 then Amet ratione optio'''	'''Ipsum error	 Cumque occaecati corrupti expedita provident Minima modi'''
o	71.0	8.1	'''Rem: Quidem assumenda	 Nobis commodi quos'''	'''(Non suscipit exercitationem) 	 Hic nulla ducimus eum and Impedit repellendus ab'''
Nicola Singh-Smart	67.0	58.1	'''Voluptas nemo fugit pariatur quidem; Sit quod pariatur optio 	 Dolore'''	'''Suscipit	 Occaecati error ea Mollitia asperiores beatae ullam'''
Mrs Jodie Harris	32.0	100.1	'''Note: Sit assumenda aliquid	 then Ex'''	'''(Fugiat amet) 	 Assumenda quasi aut and Nulla veniam facere corporis perferendis voluptates'''
Dr Christopher Savage	32.0	71.1	'''Note: Accusantium possimus dolore sit	 then Modi nisi'''	'''Note: Eos ea fuga	 then Repellendus natus nemo'''
Mr Ben Campbell	48.0		'''Culpa quibusdam sint cum: Inventore ex	 Harum dolor'''	'''(Natus at pariatur) 	 A possimus laborum exercitationem and Minus a'''
Ashleigh Grant	69.0	63.1	'''Cum nobis	 Molestias ex Dignissimos'''	'''Facilis: Repudiandae consectetur deleniti	 Facere voluptatem'''
Victoria Patel	13.0	90.1	'''Note: Perferendis ad officia blanditiis	 then Hic iusto animi doloribus'''	'''Amet doloremque maxime nostrum qui exercitationem; Consequatur molestias 	 Aperiam iusto id maxime eveniet'''
Leanne Morgan	5.0	95.1	'''Note: A expedita tenetur	 then Soluta asperiores molestiae'''	'''Voluptatem culpa illo nam; Ea 	 Deleniti maiores cumque nobis ea'''
Alexandra Harvey	50.0	41.1	'''(Minus perferendis unde) 	 Deserunt nam iure cumque and Fugiat dignissimos rerum reprehenderit'''	'''Note: Corporis deserunt esse neque	 then Laboriosam repellendus'''
Stanley Clark	74.0	48.1	'''Reiciendis totam asperiores repellendus	 Magnam magnam libero labore asperiores Eius'''	'''Note: Assumenda distinctio quos	 then Quia iste aliquid'''
Rebecca Freeman	87.0	50.1	'''Expedita nesciunt illo: Optio saepe illo	 Laudantium tempore possimus'''	'''Note: Voluptatibus accusantium voluptatibus	 then Expedita provident suscipit'''
Ms Jenna Day	80.0	83.1	'''Magnam nostrum	 Magni In vero voluptatibus sit'''	'''Atque; Commodi sapiente 	 Quo fuga fugiat atque aut'''
Julian Davies	14.0	2.1	'''(Iusto) 	 Reiciendis deserunt and Expedita autem maiores'''	'''Unde voluptas voluptas accusantium: Soluta facere perferendis nam accusamus	 Fugit sunt'''
