username	age	rating	salary	summary	review
joanne_parry_7441	85.0	2.1	26.2	"""(Amet repudiandae minus officia mollitia atque) 	 Sed voluptas non repellendus sunt and Corporis"""	"""Quaerat voluptatem iure: Sed nam minima numquam et	 Quidem at quisquam blanditiis mollitia"""
sylvia_bryan_8762	64.0	9.1	34.2	"""(Fugiat itaque beatae repellendus) 	 Qui repellat vel sunt and Consectetur ipsum"""	"""Iure sunt fugiat	 Voluptates impedit itaque Alias cupiditate magni"""
phillip_ward_1248	77.0	72.1	56.2	"""Quis quidem ipsum hic; Sit quia 	 Nostrum est"""	"""Suscipit quidem nam quo	 Voluptatem laborum Distinctio laborum ipsum quaerat atque"""
miss_pritchard_3692	67.0	45.1	9.2	"""Note: Debitis consectetur voluptatum a	 then Recusandae"""	"""(Quas dolor beatae officia vero) 	 Architecto esse and Reprehenderit corporis incidunt"""
janice_chandler_2391	55.0	32.1	100.2	"""Aperiam dolor tempora ipsa voluptatem delectus: Maiores voluptatum facilis doloribus	 Dolorem rem"""	"""Quis aut; Sapiente accusantium architecto ex 	 Nesciunt suscipit"""
joyce_norman_3927		46.1	85.2	"""Optio iure consectetur accusantium accusantium temporibus: Porro	 Voluptatum neque"""	"""(Eum) 	 Aliquam nobis ipsa dolor and Corporis illo commodi debitis nulla"""
jill_hunt_0988	88.0	29.1	6.2	"""Quam id	 Eius Nobis architecto soluta reiciendis eligendi"""	"""Ipsam: Mollitia impedit quam voluptatibus ducimus porro	 Veritatis nihil quaerat"""
wendy_nicholls_8552	67.0		75.2	"""Ullam eaque: Nihil quasi doloribus totam cupiditate rem	 Nisi labore dignissimos"""	"""Recusandae quos sapiente: Ullam maiores nihil	 Eligendi nam id possimus totam deserunt"""
dr_white_7493	98.0	94.1	21.2	"""Sint odit: Explicabo natus	 Illum"""	"""Eos totam cum eius dolore quam	 Mollitia vitae molestias Natus quis debitis"""
ms_wilkins_4264	15.0	78.1	19.2	"""Note: Totam possimus necessitatibus	 then Vitae distinctio atque"""	"""(Repellat sint tempora) 	 Maiores laudantium and Odit"""
scott_morley_4755	92.0	55.1	87.2	"""(Fuga alias nemo vitae) 	 Esse iste and Facilis deleniti hic ex ab"""	"""Optio vero at	 Itaque nulla Ea consectetur aliquam facilis"""
tom_williams_2676	75.0	2.1	81.2	"""Ex provident iusto; Expedita nesciunt 	 Autem perferendis"""	"""(Nihil porro) 	 Incidunt and Explicabo minus eveniet quis voluptate"""
jordan_young_4177	62.0	24.1	58.2	"""(Ad voluptas) 	 Provident vel and Neque"""	"""Note: Ipsum occaecati	 then Dolor architecto"""
anna_newman_7888	75.0	27.1	4.2	"""(Accusamus) 	 Optio delectus illo and Voluptatem consectetur"""	"""(Velit maiores) 	 Illum tempore reprehenderit and Sunt harum libero"""
matthew_khan_6754	5.0	90.1	34.2	"""(Porro sequi) 	 Nesciunt quod and Corporis ut velit"""	"""Note: Molestias ipsa similique	 then Delectus debitis eveniet asperiores quas"""
catherine_kay_3965	66.0	24.1	37.2	"""(Quia sapiente) 	 Culpa and Repellendus facilis voluptas"""	"""Aspernatur at sunt	 Ea perferendis Suscipit laudantium"""
russell_stewart_7810	21.0	54.1	54.2	"""Quaerat dicta aliquid exercitationem nobis: Aperiam laborum officia	 Quasi saepe velit"""	"""(Expedita odio) 	 Nihil and Deserunt animi iste odit ratione"""
martyn_townsend_1161	30.0	32.1	34.2	"""Aliquid corrupti	 Perspiciatis itaque Vel ab"""	"""Rerum	 Sint ex doloribus Velit vitae"""
nicole_brown_3205	46.0	81.1	11.2	"""(Laudantium quas) 	 Unde and Beatae quaerat asperiores amet"""	"""(Nobis maxime) 	 Perspiciatis numquam unde iure labore quasi and Nobis odio"""
miss_hall_0284	53.0	55.1	25.2	"""Perferendis ad a	 Itaque quaerat Accusantium tempora"""	"""(Unde ex) 	 Nisi provident recusandae harum and Minima temporibus"""
mrs_bryant_0894	86.0	22.1	64.2	"""Odio eaque accusamus itaque	 Quibusdam accusamus quia Ab similique cupiditate debitis sit illo"""	"""Quo sunt quaerat repudiandae; Optio debitis officia consequatur numquam 	 Optio doloremque magni est deleniti"""
graeme_ellis_0070	22.0	66.1	86.2	"""Note: Enim labore dolore beatae	 then Distinctio illum dolorem quidem consequatur"""	"""(Itaque dicta nemo recusandae) 	 Reprehenderit and Exercitationem"""
