# This is a comment line to skip
name;username;total_count;salary;price;note;description
Sheila Crawford;sheila_crawford_4726;57.0;61.1;56.2;"""Assumenda nesciunt occaecati cumque: Ipsum neque; Ipsa id maiores harum placeat""";"""Note: Laudantium ut; then Quas doloremque"""
Mr Jonathan Richards;mr_richards_5051;40.0;42.1;84.2;"""Minima autem; Sed rem alias Mollitia praesentium""";"""Voluptatum expedita: Recusandae fuga nihil quae delectus quidem; Aliquam laudantium mollitia alias"""
Martyn Shaw;martyn_shaw_8502;93.0;39.1;25.2;"""Note: In aliquam iure dolores; then Laboriosam""";"""Note: Neque sint quis esse; then Architecto ea consectetur"""
Arthur Brown;arthur_brown_6225;98.0;81.1;8.2;"""Note: Repellendus aspernatur sint atque; then Neque nisi sint""";"""Note: Laboriosam; then Voluptas accusantium dignissimos minima"""
Marilyn Preston;marilyn_preston_8792;73.0;51.1;20.2;"""Nostrum dicta odio; Officia officia delectus necessitatibus amet placeat ; Cumque totam nobis doloribus""";"""Ea totam; Ipsa nisi ; Omnis magni similique"""
Miss Holly Sullivan;miss_sullivan_5963;85.0;26.1;84.2;"""Quo sequi eum; Facere quidem Explicabo aspernatur""";"""Note: Tempora; then Adipisci"""
Ms Rebecca Brooks;ms_brooks_6226;47.0;42.1;30.2;"""Fugit corrupti repudiandae illo; Magnam Modi""";"""Perferendis consequatur dolore; Rerum ; Dolore neque exercitationem"""
Amanda Williams;amanda_williams_3534;68.0;20.1;16.2;"""Impedit ipsum: Eius fugit excepturi reiciendis; Consectetur ipsam""";"""Note: Distinctio atque; then Sint numquam corporis sequi magni consequatur"""
Jessica Jones;jessica_jones_3314;91.0;19.1;69.2;"""(Architecto sunt quas) ; Doloremque and Minus voluptatibus""";"""(Quam iste nulla) ; Corrupti nihil quam nisi quae and Laborum exercitationem voluptate sequi quia"""
Mr Michael Taylor;mr_taylor_4576;53.0;68.1;45.2;"""Libero omnis debitis; Exercitationem quia maiores facere ; Rem""";"""Hic ipsa sapiente suscipit aliquid temporibus: Fuga itaque; Officiis"""
Denise Smith;denise_smith_9404;73.0;19.1;13.2;"""Note: Laborum officiis ipsam; then Dolores saepe esse""";"""Porro alias quod deserunt; Voluptates maiores ; Maiores quaerat exercitationem numquam"""
Geraldine Fletcher-Adams;geraldine_adams_1482;95.0;17.1;32.2;"""(Minima eos doloribus tenetur illo voluptates) ; Dicta enim labore and Sequi asperiores""";"""Delectus exercitationem occaecati nihil: Ab id amet consequatur; Mollitia amet est vitae recusandae laboriosam"""
Mr Neil Gray;mr_gray_7437;90.0;11.1;62.2;"""Totam delectus similique eum voluptate: Est porro nisi vel; Nobis iste""";"""Note: Aperiam in magnam earum minus rerum; then Distinctio ipsa"""
Rosemary Webster;rosemary_webster_6768;36.0;12.1;38.2;"""(Commodi laudantium ut quo molestiae) ; Consequatur perferendis and Asperiores nesciunt magni ipsa""";"""Note: Animi aperiam; then Assumenda maxime"""
Norman Cook;norman_cook_5690;52.0;77.1;66.2;"""Tempore quaerat consequuntur quibusdam sit velit; Aut nam ab molestias ; Voluptatibus mollitia""";"""(Laboriosam enim assumenda ducimus) ; Tenetur veniam modi and Aliquam dolorum facere enim"""
Mr Kevin Davis;mr_davis_1920;5.0;10.1;100.2;"""Note: Ad repellendus; then Cupiditate""";"""(Animi explicabo illo totam quod) ; Eos consequatur and Delectus repudiandae"""
Denis Turner;denis_turner_1246;86.0;99.1;51.2;"""Note: Delectus animi; then Dolor optio labore""";"""(Dolores tempore) ; Reiciendis sapiente ipsum and Aliquid"""
Joan Freeman;joan_freeman_3004;53.0;80.1;6.2;"""Accusamus iusto velit facilis; Neque expedita quas facilis Iure voluptates quasi""";"""Soluta laudantium ipsa rerum; Vel tenetur ; Mollitia eaque"""
Mr Peter Page;mr_page_8378;84.0;36.1;23.2;"""Note: Omnis earum nobis; then Omnis aspernatur dignissimos commodi""";"""Note: Autem quos; then Enim provident"""
Conor Davies;conor_davies_2238;90.0;42.1;21.2;"""(Eveniet voluptates ipsa quo doloribus laudantium) ; Quod distinctio and Iure""";"""Sed quis suscipit optio aspernatur: Dolores esse omnis consectetur quia; Doloremque repudiandae id"""
Miss Sheila Page;miss_page_3696;58.0;15.1;68.2;"""Nemo; Nihil ; Adipisci alias eos velit qui dolorem""";"""(Recusandae aut) ; Alias debitis excepturi and Ducimus quam explicabo laudantium itaque"""
e;kerry_brooks_3150;60.0;73.1;73.2;"""(Voluptate ea amet hic atque) ; Officiis laudantium quisquam esse and Modi explicabo rerum illum architecto""";"""(Maiores assumenda) ; Voluptate eius quas iste and Vel nisi"""
Charles Watson-Bryan;charles_bryan_1198;42.0;60.1;70.2;"""Note: Tempora ducimus tenetur excepturi; then Tenetur inventore minus""";"""Quod enim; Eligendi deleniti consequatur dignissimos aperiam cupiditate Labore optio"""
Ms Maureen Hopkins;ms_hopkins_5644;74.0;94.1;10.2;"""Ipsa voluptates corporis: Animi dolorum; Sapiente enim sapiente nam""";"""Consequuntur quam harum doloremque: Explicabo; Non tempora culpa"""
Phillip Gardner-James;phillip_james_3393;21.0;35.1;67.2;"""Unde neque ducimus: Quibusdam accusamus; Expedita eveniet saepe animi dolorem""";"""Note: Perferendis perferendis; then Distinctio accusamus ut"""
Ms Helen Parker;ms_parker_6548;57.0;99.1;41.2;"""(Velit esse alias) ; Occaecati and Repudiandae dolores""";"""Dignissimos; Modi reprehenderit sunt ; Beatae"""
Bradley Smith;bradley_smith_3133;33.0;;97.2;"""Cumque numquam sequi nihil animi blanditiis; Facere totam Minima animi voluptas officia""";"""Nisi possimus; Voluptatibus doloremque unde cum ; Distinctio molestias"""
Dylan Robson;dylan_robson_3690;10.0;63.1;19.2;"""(Illo iure) ; Molestiae corrupti laboriosam and Alias""";"""(Ratione repudiandae omnis) ; Illo itaque quibusdam and Voluptatem iusto exercitationem"""
Dominic Charlton;dominic_charlton_2590;66.0;81.1;100.2;"""Illo quisquam; Tempora possimus nobis Earum quod est""";"""(Facilis eveniet magnam fugiat placeat) ; Repellendus eveniet odio and Reprehenderit libero consectetur sint"""
Russell Lee;russell_lee_3953;11.0;32.1;;"""Quia sunt ipsum hic sequi; Labore Dignissimos iste enim perspiciatis deleniti""";"""Note: Perferendis architecto beatae; then Est atque sapiente dolore"""
Bethan Bentley;bethan_bentley_0931;1.0;69.1;58.2;"""Libero reiciendis unde alias vitae minima; Incidunt soluta earum magnam asperiores ; Earum temporibus fuga""";"""Note: Ipsam optio; then Totam saepe"""
Ms Rachael Roberts;ms_roberts_4662;;17.1;5.2;"""(Suscipit eos voluptas non explicabo fugiat) ; Natus and Distinctio optio""";"""Iusto; Perferendis ab doloribus Perferendis vel"""
June Brown;june_brown_4658;91.0;46.1;66.2;"""Corrupti; Blanditiis perferendis Unde iusto quae""";"""Odit quisquam error debitis ab: Eaque consequuntur; Mollitia voluptates"""
Rebecca Daly;rebecca_daly_3789;83.0;38.1;62.2;"""Note: Corrupti alias; then Numquam""";"""Delectus voluptatum voluptatum doloribus; Quidem sit modi ; Quod labore"""
Miss Paige Humphreys;miss_humphreys_5972;63.0;3.1;52.2;"""Debitis in; Omnis ullam iusto ; Dignissimos est necessitatibus""";"""Tenetur eum adipisci; Eos sequi minima dolor neque ut Ipsa cum voluptate"""
