name	score	total_count	remark	review
Charlotte Allen	17.0	2.1	"""Dicta corrupti placeat	 Pariatur beatae nesciunt Provident necessitatibus repellat nostrum"""	"""Dignissimos repellendus harum	 Sint sed Quaerat"""
Craig Harrison	61.0	59.1	"""Odio excepturi totam hic magni	 Modi Quas dolorum quasi deserunt possimus"""	"""Note: Voluptas	 then Quam odit possimus"""
Olivia Robinson-Macdonald	29.0	35.1	"""Eligendi ratione veritatis	 In porro omnis vero Repudiandae labore"""	"""Maiores; Quibusdam reprehenderit 	 Officia nulla tempore"""
Mr Aaron Robinson	76.0	34.1	"""Note: Labore	 then Soluta eius"""	"""Note: Ut iusto	 then Eligendi fugit temporibus animi corrupti asperiores"""
Dr Melissa Yates	44.0	62.1	"""Quis esse deleniti laudantium; Fuga sed 	 Saepe"""	"""Note: Repellat impedit omnis dignissimos iste	 then Dolor ab"""
Dr Jane Taylor	59.0	20.1	"""(Molestias eveniet ducimus) 	 Ullam nesciunt eos sit esse provident voluptatibus and Nobis ut quod nam"""	"""In eaque; Magni itaque 	 Ullam aliquid autem"""
Mrs Naomi Anderson		42.1	"""Modi ad expedita: Illum nemo iusto	 Laboriosam explicabo"""	"""Voluptatem: Nulla officiis delectus voluptatibus nam	 Maiores consequuntur dolore"""
x	93.0	91.1	"""Soluta; Consectetur in laboriosam 	 Dolorem voluptas repellat"""	"""(Sapiente) 	 Magnam excepturi and Necessitatibus"""
Mr Roy Davis	100.0	81.1	"""(Deserunt deserunt necessitatibus nemo) 	 Consequatur enim occaecati and Voluptatem animi asperiores quisquam unde inventore"""	"""(Rem aspernatur enim) 	 Neque amet nobis and Eos voluptate ad"""
Dr Justin Hartley	64.0	40.1	"""Voluptate possimus provident; Autem 	 Voluptatibus similique saepe"""	"""Optio odit: Esse	 Veritatis ipsum cupiditate ipsum quae"""
Mitchell Hardy	47.0	16.1	"""(Doloremque inventore) 	 Quod culpa molestias and Est impedit magni impedit"""	"""Cupiditate totam ad harum consequuntur	 Est reprehenderit eum consequatur In doloribus"""
Marcus Khan	64.0	68.1	"""Ea error dolor quasi illum: Voluptate quaerat modi	 A dolorum"""	"""Minus	 Sapiente quam incidunt Ipsa beatae a"""
Scott Holland	60.0	14.1	"""(Pariatur dolorem) 	 Sit ab dolores officia asperiores and Dolores impedit excepturi sit animi"""	"""(Accusantium fugit) 	 Molestias architecto sit and Temporibus hic"""
Francesca Summers	37.0	74.1	"""Voluptates amet: Eum quasi eius	 Nihil"""	"""Est; Modi non consequatur 	 Exercitationem at quidem"""
Miss Rachael Mason	28.0	71.1	"""Sint	 Nesciunt quasi unde quibusdam eum officia Perferendis esse laboriosam cum"""	"""(Dicta placeat rerum) 	 Ducimus nam tenetur officia similique and Optio architecto consequuntur consectetur"""
Amelia Brooks	42.0	63.1	"""Illo amet in quos	 Eius vero repudiandae quae suscipit exercitationem Maxime dicta maxime"""	"""Id natus	 Nobis accusantium Consectetur quam labore dolorem"""
Kathryn Jennings-Elliott	22.0	33.1	"""Corrupti voluptatum natus; Rerum quae 	 Assumenda repellendus"""	"""(Tenetur ab voluptatem eum) 	 Ad eligendi itaque ut similique and Sed"""
Samantha Pugh	63.0	99.1	"""Libero sit sint labore; Reprehenderit maxime voluptates 	 Labore adipisci"""	"""Note: Repudiandae exercitationem aliquid dolorem neque	 then Voluptas velit"""
Ms Heather Bull	95.0	80.1	"""Note: Eos voluptate	 then Modi veritatis autem"""	"""(In deleniti) 	 Non consequuntur and Dolor aliquam"""
