name	salary	price	rating	note	message
Mrs Olivia Hall	79.0	45.1	22.2	"""(Voluptatum nam ab voluptatibus laboriosam) 	 Modi dolorem esse ea and Nobis in sequi"""	"""Quisquam dicta; Mollitia error pariatur eos dolor 	 Perspiciatis blanditiis ut corrupti"""
George Patel-North	22.0		86.2	"""Esse explicabo odio molestiae: Porro	 Adipisci esse deleniti modi modi"""	"""Nostrum ad	 Nihil Reiciendis ducimus"""
Dawn Doyle	18.0	85.1	2.2	"""Eius provident: Magnam iure at iusto ex	 Voluptates repellendus"""	"""Facilis fugiat perferendis: Labore aliquid optio necessitatibus modi corrupti	 Ducimus reprehenderit magni"""
Jason Smith	85.0	45.1	91.2	"""Itaque doloremque architecto: Ut est eligendi	 Porro quaerat minus"""	"""Iusto voluptate	 Exercitationem vitae voluptatem Architecto perferendis"""
Cheryl Thompson	89.0	63.1	50.2	"""Note: Culpa minus provident a at totam	 then Magnam officia nulla dignissimos"""	"""Dolorum earum non nisi; Quia esse voluptatibus earum at cum 	 Quisquam"""
Natalie Howard	44.0	66.1	22.2	"""Illo minus officia unde totam; Dolores sed deleniti 	 Alias commodi"""	"""Note: Ducimus fugiat tempore	 then Blanditiis aliquam"""
Mrs Sylvia Harding	57.0	59.1	63.2	"""(Officiis dolores accusantium) 	 Nesciunt id doloremque and Doloribus ut"""	"""Note: Repellat nulla eveniet facilis fuga	 then Placeat labore vel"""
Molly Ahmed	24.0	12.1	36.2	"""Ipsam et tempore nam quam vitae; Eligendi 	 Sed"""	"""(Quam ut illo) 	 Non dicta and Recusandae dolorum eius"""
Mary Manning	61.0	42.1	25.2	"""Note: Saepe aspernatur	 then Qui vero"""	"""Provident molestias; Iusto accusamus a 	 Minus nam sed enim sed"""
Mrs Chloe Ahmed	91.0	85.1	43.2	"""(Sapiente dolorem dolores nesciunt repudiandae) 	 Mollitia ipsum hic and Voluptatibus eaque odit"""	"""Exercitationem porro corrupti minus: Impedit	 Officiis incidunt necessitatibus"""
Toby Lyons	31.0	100.1	57.2	"""Quis accusantium distinctio; Aut suscipit voluptates impedit 	 Provident officiis"""	"""Tenetur sequi: Porro veritatis debitis animi vitae	 Magnam fugiat asperiores reiciendis"""
