username,name,age,rating,comment,description
patricia_clark_0604,Patricia Clark,99.0,91.1,"""Note: On, then Early""","""Note: Play camera out, then Author finally research"""
francisco_bryant_2386,Francisco Bryant,72.0,99.1,"""Explain check think; Purpose , Follow however company ok""","""Note: Energy left allow, then Base college"""
sheila_long_0122,Sheila Long,69.0,20.1,"""Because draw risk I follow site just: West industry painting produce, Herself understand person four""","""Available report: Series consider, Car play eye"""
carol_vincent_0885,Carol Vincent,18.0,45.1,"""Point campaign eye phone he: People, Market""","""Yes adult situation too; Factor , Second keep big out"""
jeremy_tyler_5689,Jeremy Tyler,66.0,55.1,"""Quality; Yes environment move matter , Wear himself place physical two""","""Note: Believe hundred woman, then Include world"""
rhonda_collins_4676,Rhonda Collins,56.0,47.1,"""Member; Travel word kind , Side often away to""","""Student information too stay: No improve claim police century, Radio something"""
steven_thomas_9229,D,64.0,11.1,"""Heart city; Picture capital political , Father region cultural my""","""Result cut eight, From score it Strategy room"""
benjamin_davis_3477,Benjamin Davis,31.0,1.1,"""Note: Feeling, then Bank oil""","""Note: Tell first, then Certainly leg social challenge"""
brian_brown_2848,Brian Brown,3.0,52.1,"""(Bar well tree church hair) , Step and So difference""","""Prevent drop: Society improve for player, What"""
kathleen_clark_5227,Kathleen Clark,26.0,4.1,"""In federal society; She describe want common , Share""","""Billion kitchen land: Hospital management reach their west put, Choice science"""
david_brock_0094,David Brock,15.0,24.1,"""Know also: Couple cold mind, Bag age current piece heart environmental""","""Industry anything add name professional, Large according wear give Matter nearly"""
cheryl_flores_6228,Cheryl Flores,60.0,35.1,"""Call glass appear, Key Operation continue""","""Environment standard minute resource form ever: Young, Many thus"""
kristine_randolph_0536,Kristine Randolph,9.0,64.1,"""Note: Hospital head region, then Wrong""","""Hard Democrat provide, Individual Western"""
ellen_morgan_5780,Ellen Morgan,76.0,26.1,"""(End nearly other leg) , Wear sister find bed and Quite consider plant""","""System window; Lead participant reality , Almost"""
david_green_5587,David Green,46.0,95.1,"""Go interesting safe plant color, Far economic His science""","""Public wish, Side off Throw door"""
cindy_johnson_4131,Cindy Johnson,21.0,6.1,"""Board employee medical; Image business , Hand""","""(Find top note) , Interview although trial and Beyond table"""
laura_anderson_7742,Laura Anderson,72.0,81.1,"""Hold strong letter talk same present: Pretty want nice, Among""","""(Surface though personal care) , Clear seek enjoy discover once and Win amount amount pay finish"""
kathryn_williams_7454,Kathryn Williams,54.0,99.1,"""Some, Officer fish Wide election test""","""Note: Cold with myself, then News better"""
jennifer_ramirez_7135,Jennifer Ramirez,31.0,75.1,"""Place if short morning computer can; Song , Should""","""Pretty assume, Heart then dark Conference"""
cody_curtis_9433,Cody Curtis,60.0,19.1,"""Note: Response result partner, then Indicate discuss prepare door""","""Last: Girl suddenly, Board"""
jennifer_rowe_4683,Jennifer Rowe,48.0,56.1,"""Note: Everything doctor south behavior still, then Husband sit item""","""Operation never: Civil phone cultural range, Down growth son"""
miguel_perez_0313,Miguel Perez,32.0,81.1,"""Woman push; Establish have , Able yeah""","""Investment test little: Talk loss expert with, Two hospital power"""
jennifer_bean_1709,Jennifer Bean,33.0,73.1,"""Economic measure, Company level claim Adult late name game couple""","""Perhaps article technology card; Movie court child final , Author design may"""
ashley_hunt_6067,Ashley Hunt,13.0,60.1,"""Soldier poor crime we: Never kind beautiful bit opportunity machine, Course""","""Note: Yes do note process, then Heart level"""
jamie_davis_9150,Jamie Davis,,89.1,"""Trade behind choose kind: Party professor follow likely state she, Day majority reduce""","""Easy month, Single actually eye his Seem later increase"""
april_white_8547,April White,90.0,34.1,"""Wide record; Politics there resource down , Stay decade""","""(Rate choice) , House federal every and Explain draw"""
larry_benson_9664,Larry Benson,40.0,77.1,"""Their give: Different yard deep, Consider any security their""","""House focus life model: Radio consumer nor ground apply individual, Stop"""
