username;name;total_count;comment;note
dr_brown_8699;Dr Heather Brown;26.0;"""Numquam saepe ratione; Nostrum animi at ; Aut temporibus tenetur""";"""(Molestiae a deserunt quo recusandae) ; Officiis doloribus voluptatibus repellat ipsam and Libero dolores error ratione ea"""
carole_sims_5548;Carole Sims;80.0;"""Modi reprehenderit excepturi ipsam; Minima ; Blanditiis veniam animi maiores necessitatibus aliquid""";"""Sint tempora quas; Molestias mollitia recusandae ; Quod quasi ut incidunt"""
joe_brooks_2995;Joe Brooks;47.0;"""Ea atque recusandae facere cupiditate quidem: Aut quidem architecto; Similique quidem""";"""Perferendis reprehenderit cum; Ipsam ; Deleniti necessitatibus accusantium"""
georgia_hart_7328;Georgia Hart;7.0;"""Et; Iste ; Cum nesciunt repellat aspernatur impedit""";"""Note: Saepe est saepe autem nobis; then Maiores dolor hic"""
wendy_wright_2002;Wendy Wright;28.0;"""Impedit; Exercitationem occaecati ; Sint amet magni quam omnis""";"""(Fugiat pariatur) ; Earum expedita accusantium dolores and Vitae"""
dr_thomas_8982;Dr Pauline Thomas;27.0;"""Magni molestias error; Officia ; Placeat odit fugit""";"""(Iure laudantium inventore) ; At facilis and Quaerat numquam"""
dominic_jones_3350;Dominic Jones;26.0;"""(Eum enim) ; Porro odio molestias eligendi and Et""";"""(Accusamus beatae possimus id) ; Voluptatum aperiam and Dicta"""
russell_taylor_1786;Russell Wilson-Taylor;30.0;"""Voluptatum omnis blanditiis vero; Mollitia doloribus Officia nesciunt commodi necessitatibus""";"""(Dolores ipsa) ; Ipsa deleniti voluptatibus and Magnam itaque nostrum eius"""
marc_mann_0826;Marc Grant-Mann;36.0;"""Repellendus perspiciatis deleniti: Et possimus adipisci; Reprehenderit""";"""(Maiores repellendus) ; Aperiam iure eaque and Ipsa ea tempora nulla pariatur ab"""
victoria_manning_6355;Victoria Manning;85.0;"""(Provident porro) ; Nam dolorum and Accusamus sed doloribus inventore""";"""Error nobis consequuntur possimus incidunt; Ullam Perspiciatis in"""
jade_bennett_5500;D;52.0;"""(Officiis vero sunt ipsa possimus) ; Quis neque and Doloribus temporibus autem veritatis""";"""Aliquid; Dolore ; Reprehenderit repellat"""
oliver_ashton_4988;Oliver Ashton;63.0;"""Fugiat enim; Voluptates magnam eligendi perferendis totam Numquam vitae""";"""Explicabo quos ex doloribus nihil; Sapiente nemo molestiae ; Saepe earum quis"""
andrew_lee_0809;Andrew Lee;5.0;"""(Atque culpa) ; Fugiat and Nobis eos""";"""Quidem doloremque quia perspiciatis: Ipsa assumenda; Animi adipisci officia sapiente"""
adam_allen_5070;Adam Allen;27.0;"""(Eum non voluptates) ; Reprehenderit and Laboriosam est""";"""Quis saepe; A dicta perspiciatis dignissimos cumque natus ; Aperiam nihil"""
ben_khan_3222;Ben Carter-Khan;59.0;"""Odit facere; Et hic quia vitae velit Temporibus tenetur harum exercitationem explicabo""";"""Voluptatum nisi delectus consequuntur molestias; Dolorum sit distinctio ; Asperiores ipsum laboriosam"""
rachel_jones_4666;Rachel Jones;92.0;"""Assumenda odio tenetur ratione; Ipsa aspernatur velit officia repellendus voluptate Laboriosam necessitatibus blanditiis reiciendis""";"""Note: Ullam esse placeat; then Tempora voluptatum assumenda"""
malcolm_field_6874;Malcolm Field;71.0;"""Note: Eveniet repudiandae officiis consequatur; then Voluptatem tenetur porro eos ut nesciunt""";"""Note: Quaerat eligendi fugiat optio; then Ex ab"""
marian_smith_5304;Marian Smith;100.0;"""(Non quae culpa ducimus magnam) ; Dolorem officiis soluta and Ea numquam quaerat dolores""";"""Facilis mollitia velit quam accusantium; Similique ipsa ; Optio totam minus enim optio"""
dr_thomas_8265;Dr Owen Thomas;11.0;"""Corrupti molestias; Corporis perferendis sit ; Nam quis""";"""Nemo fugiat dolorem: Praesentium excepturi velit; Nam tenetur a eligendi nesciunt quis"""
beth_rees_3143;Beth Rees;20.0;"""(Eligendi in) ; Nemo porro dolore illo and Dicta""";"""Quam expedita: Enim minus quam deserunt quia; Quis fugit"""
mrs_lees_6241;Mrs Elizabeth Lees;32.0;"""Note: Quaerat alias; then Non""";"""Similique qui voluptas; Nihil Earum"""
dr_griffiths_3123;Dr Marc Griffiths;55.0;"""Sunt deserunt; Eaque ipsum facere nostrum suscipit nisi A perspiciatis alias ipsam""";"""Eum dolore error provident: Officiis; Aspernatur"""
mr_harrison_2618;Mr James Harrison;10.0;"""Note: Atque voluptatum magni; then Esse quod nesciunt omnis dolor""";"""Note: Et; then Amet maxime"""
kayleigh_turner_0005;Kayleigh Marsh-Turner;87.0;"""Molestias tempore saepe: Illum ipsa voluptas eaque cumque ipsam; Dolorum suscipit omnis""";"""(Ipsa fugit quaerat possimus) ; Maiores and Iste possimus dolorem perspiciatis"""
mr_williams_6425;Mr Bradley Williams;75.0;"""(Dolorem veritatis culpa) ; Maiores vitae quas tempora laudantium incidunt and Perferendis minus odio ducimus doloribus""";"""Sed laudantium pariatur quibusdam sequi nam; Occaecati placeat commodi Non unde cupiditate dolorum ab"""
glenn_davies_1877;Glenn Davies;10.0;"""Note: Accusamus exercitationem aperiam; then Veritatis id esse""";"""Ab: Occaecati commodi et; Eveniet non quasi nihil"""
steven_gray_6931;Steven Gray;22.0;"""Quia; Fugiat ; Minima maxime laboriosam""";"""Eius cupiditate suscipit corporis iure: Consequuntur; Quis reiciendis nisi"""
louise_gray_1268;Louise Gray;59.0;"""Deleniti eaque: Illo voluptates id voluptas magnam; Debitis""";"""Ea nobis eum id; Cumque ; Eum"""
conor_graham_3436;Conor Graham;58.0;"""Ex dignissimos: Necessitatibus cupiditate eaque dolores officiis vitae; Laudantium nemo maxime atque quas reiciendis""";"""Reprehenderit doloremque velit veritatis officiis adipisci; Cum Unde natus quo"""
