username,name,price,score,salary,review,description
nicole_lewis_7152,Nicole Lewis,59.0,23.1,59.2,"""Note: Community main, then Third adult""","""Threat reality air; Enjoy best , Behind television"""
dennis_randolph_6281,Dennis Randolph,15.0,58.1,75.2,"""Health majority hundred add add, Whose concern develop old surface Beat court""","""Suffer middle, Cell class course Allow attack throw"""
daniel_manning_1427,Daniel Manning,62.0,2.1,76.2,"""Note: Majority under vote even, then Customer consider""","""Positive debate painting, Level miss Become worry"""
jennifer_moore_9323,Jennifer Moore,39.0,13.1,63.2,"""(Enjoy open) , Blue detail and About building""","""(Challenge left) , Country both rate policy foreign and You relate herself fast young"""
melissa_lester_8249,Melissa Lester,29.0,83.1,55.2,"""Generation consumer, College Great laugh degree""","""(Concern tough) , Everybody total and Property"""
victoria_cooper_7588,Victoria Cooper,62.0,,23.2,"""Why what: Enter born address, Foreign risk message""","""Figure: Beyond stop majority bring better, Door my just"""
teresa_adams_7706,Teresa Adams,88.0,96.1,80.2,"""Note: Anyone save, then Mind especially""","""Along challenge bill; Board increase others , Deal last final well look outside"""
lisa_jacobson_9798,Lisa Jacobson,42.0,24.1,61.2,"""Note: By wind song anyone loss piece, then Federal Democrat major""","""Note: Shoulder heart decide especially, then Mind bill"""
christopher_hanson_3430,e,24.0,77.1,23.2,"""(Strong itself up if pick you) , Director his nor and Party past purpose""","""(Practice professor cell Democrat) , Friend sister because and Technology"""
christopher_garcia_1998,Christopher Garcia,63.0,32.1,10.2,"""Total sense situation standard strong little: Reason happy probably, Nature level""","""(Best civil) , American leader and Either letter others"""
