# This is a comment line to skip
name;username;price;score;rating;summary;note
Leslie Cannon;leslie_cannon_6455;80.0;35.1;17.2;"""Boy discover say: Six reveal rock feeling; Magazine take choice push""";"""The but down; Authority another Where measure only house yourself"""
Mrs. Lori Gutierrez;mrs_gutierrez_3955;81.0;64.1;90.2;"""Professional learn myself; Success claim go ; Speech treat cell well success anything""";"""Note: Determine of; then Choose"""
Jacob Johnson;jacob_johnson_9472;30.0;69.1;86.2;"""Value kitchen good develop: Some color; Police west likely help""";"""Note: Adult fish; then Visit customer offer"""
Melissa Hurley;melissa_hurley_2634;86.0;38.1;63.2;"""Everything represent; Need peace practice Admit especially wait""";"""True; Behind south ; Charge clear author"""
Brianna Gillespie;brianna_gillespie_1270;9.0;86.1;29.2;"""Throughout fire: Include per wall; Today sometimes""";"""(Back commercial) ; Majority identify president and Probably sometimes paper family lead camera"""
Cynthia Fox;cynthia_fox_4502;9.0;22.1;60.2;"""(Similar) ; Deal free popular task and Their such can""";"""Pull now drug; The management Protect listen"""
Evan Strong;evan_strong_8926;70.0;20.1;40.2;"""(Tonight hot likely table) ; Remember and Until forward support hair along""";"""Carry address; Well generation begin ; Knowledge you be cause"""
Erica Wright;erica_wright_9745;58.0;73.1;64.2;"""Authority level occur: Staff public ground; Treatment pull television everyone in eight""";"""Reflect million; Soldier tonight Fine who really upon"""
Alicia Houston;alicia_houston_2142;92.0;47.1;68.2;"""(Plan hope) ; Either grow condition and Base fish""";"""(Need high peace specific) ; Cup and Happy behavior public"""
Brittany Grant;brittany_grant_2073;29.0;4.1;1.2;"""Image enter type prepare manager few; Instead behind ; Ahead line smile""";"""Note: Dark section trial; then Rather reveal cultural fish morning water"""
Christopher White;christopher_white_7387;23.0;33.1;6.2;"""Build main speech; Close mention ; Century trouble""";"""Final through; Father either along Quite unit"""
Timothy Williams;timothy_williams_0724;80.0;86.1;96.2;"""(Card serve daughter) ; Movement happen technology while and Employee eight project half""";"""Something music money home; Two owner Among foreign true"""
Jeremy Grant;jeremy_grant_4582;77.0;19.1;51.2;"""Turn: Reflect size of; Thank activity student agent medical""";"""Note: Surface; then Identify"""
Mary Wright;mary_wright_0166;73.0;39.1;74.2;"""Note: Both; then Six sometimes""";"""Owner eye: Piece ahead poor; Break wear position"""
Mary French;mary_french_9941;16.0;48.1;7.2;"""Together rock effect after; Build season Instead interview if""";"""Note: Area race door; then Should"""
Olivia Green;olivia_green_5844;85.0;70.1;63.2;"""Rock recognize; Community individual ; Increase well special family""";"""Note: Will above last cut; then Time call compare and enjoy"""
Virginia Erickson;virginia_erickson_5005;85.0;100.1;35.2;"""(Laugh lay throughout listen) ; Play level mouth manager and Make owner then""";"""Appear dinner whether; Agreement yet Life present"""
Lisa Santana;lisa_santana_9748;14.0;87.1;;"""Medical other training: Four practice human; Memory discover human difference""";"""Factor: Number stage authority; Manager thing about receive"""
Tristan Stanley;tristan_stanley_4536;11.0;43.1;8.2;"""Whether thousand: Visit radio reveal; Effect later""";"""Management; Month large responsibility mouth ; Action security arm anyone management process"""
Jennifer Stone;jennifer_stone_0156;79.0;;24.2;"""Question able follow; Magazine choice ; Past wear degree""";"""Admit sign assume; Coach hour class ; Use thus more real on read"""
Robin Davies PhD;robin_phd_1138;35.0;58.1;88.2;"""Material one computer hope; Reality Majority near fund focus year among""";"""(General good) ; Recognize many and Benefit part doctor four find"""
Emily Washington;emily_washington_6070;94.0;16.1;63.2;"""(Politics kid end) ; On bag and Worker plant establish special book""";"""(Stuff leave car) ; Than field buy down tonight probably and It network then into value"""
