name;rating;total_count;age;review;message
Mr Edward Hooper;67.0;37.1;73.2;"""Quasi tempore voluptate at; Neque laboriosam laudantium nemo maxime explicabo Neque dolor""";"""Note: Consectetur voluptatum qui; then Ad perferendis ipsa natus sunt"""
Simon Thomson;6.0;;32.2;"""Optio nostrum; Dolores architecto eveniet Distinctio impedit""";"""Pariatur eos repudiandae; Corporis quidem quidem ; Eius occaecati"""
Dale Allen;94.0;71.1;23.2;"""Quaerat excepturi animi: Dolores; Ipsum praesentium nihil""";"""(Doloremque quas) ; Ea and Nobis quam accusamus molestias"""
Maria Richards;61.0;89.1;44.2;"""Enim exercitationem optio veritatis: Aut saepe dolores voluptatibus; Repudiandae voluptatem nisi praesentium doloremque""";"""At accusantium laboriosam cumque suscipit ducimus; Ex cumque nam voluptatem exercitationem eaque Sed voluptatibus fuga id harum"""
Fiona Griffin;26.0;19.1;77.2;"""Note: Dolores magni autem; then Reiciendis fuga aliquam""";"""Vero modi aspernatur: Maxime incidunt enim; Magni commodi dolores"""
Jemma Sinclair;79.0;96.1;59.2;"""Magnam: Nostrum eos accusamus; Consequatur quo iure labore error""";"""Facere beatae; Esse neque sunt reprehenderit sit Possimus"""
Mr Henry Webb;68.0;63.1;55.2;"""(Neque) ; Similique maxime sequi totam and Ipsum rerum debitis maxime tempora maxime""";"""Doloribus aliquid; Quia necessitatibus ; Nemo natus unde laborum nesciunt quis"""
Clare Mills;46.0;22.1;45.2;"""Note: Accusantium provident; then Dolorum saepe""";"""Voluptatum vitae sapiente; Aperiam ; Distinctio omnis cum atque dignissimos"""
A;79.0;56.1;13.2;"""Atque nisi officia; Distinctio illum doloribus temporibus non ; Sunt fugit magnam ad""";"""Nisi asperiores quasi aut cumque voluptatum; Corrupti explicabo ; Odit expedita blanditiis"""
Nicholas Weston;15.0;61.1;57.2;"""Iste sequi; Placeat ; Illo ipsum velit et""";"""Note: Consectetur ipsam; then Maiores consequatur dolorum"""
Darren Davis;88.0;5.1;17.2;"""(Animi magni eligendi) ; Nemo voluptas minima and Similique esse tenetur aut possimus aut""";"""Officiis corrupti voluptates: Ullam dolore accusamus totam; Quibusdam eum quia iure"""
Miss Jasmine Matthews;93.0;22.1;44.2;"""Note: Beatae perspiciatis labore amet ducimus; then Perferendis molestiae excepturi consectetur aperiam""";"""Occaecati omnis: Dolorum excepturi; Sequi ut"""
Barbara Cooper;92.0;71.1;14.2;"""Note: Sunt et voluptates quasi culpa; then Voluptate""";"""Note: Est; then Nobis dolorum perspiciatis"""
Eileen Patterson;11.0;21.1;46.2;"""Note: Eius ex voluptatum quo voluptatem; then Necessitatibus beatae sequi reiciendis""";"""(Nemo sapiente ex libero cum) ; Repellat and Labore natus quis dicta"""
Deborah Gray-Roberts;99.0;54.1;93.2;"""Note: Aut eos quisquam aut accusamus; then Eum nostrum explicabo""";"""Dignissimos aperiam reprehenderit neque velit; Tempora voluptas inventore ; Asperiores nesciunt"""
Charles Booth;22.0;32.1;31.2;"""Delectus ipsa ullam natus voluptates ea: At consequuntur vel distinctio earum; Eius dolore""";"""(Delectus quos error debitis) ; Eaque similique vel occaecati esse and Eos sit consequuntur"""
Glen Parker;39.0;24.1;11.2;"""Note: Eaque cum; then Quod atque nemo laudantium earum""";"""Repellendus nisi nihil; Saepe consequatur ; Rem"""
Neil Collier;70.0;3.1;90.2;"""Quibusdam exercitationem expedita; Quibusdam architecto ; Maxime provident""";"""Note: Molestiae eos pariatur sunt nesciunt; then Dolores eligendi facere sequi occaecati"""
Gary O'Brien;99.0;20.1;52.2;"""Note: Rerum iste facere; then Sint quis corrupti minus""";"""Note: Minima; then Officiis"""
