name	username	total_count	rating	score	remark	summary
Aimee Kerr	aimee_kerr_6658	5.0	91.1	17.2	"""(Ea quasi quae illo) 	 Voluptatem facilis and Earum ex impedit assumenda reprehenderit"""	"""Consectetur quam doloremque; Quis sed rerum sit 	 Et aspernatur quaerat"""
Kayleigh Taylor	kayleigh_taylor_0668	88.0	23.1	77.2	"""(Doloribus excepturi consectetur nihil) 	 Nobis accusantium sequi aliquid and Veniam assumenda"""	"""Autem: Labore asperiores molestias	 Autem temporibus optio aliquam"""
Linda Harris	linda_harris_6132	86.0	45.1	98.2	"""Quaerat veniam in	 Error enim cupiditate Corporis"""	"""Unde alias aut ipsam	 Quibusdam Autem unde eaque ab laudantium"""
Donald McCarthy-Taylor	donald_taylor_3293	33.0	59.1	55.2	"""Exercitationem architecto nemo consequatur quam	 Placeat illo saepe enim soluta aspernatur A"""	"""Harum eveniet animi	 Eveniet ipsam cum vero Sapiente tempora nemo asperiores"""
Brandon Fraser	brandon_fraser_8326	91.0	9.1	85.2	"""Suscipit aliquid: Alias ut laborum	 Alias eveniet laboriosam debitis eius"""	"""(Consequatur minima cumque quos) 	 Officia ea and Facilis perferendis distinctio aspernatur"""
Miss Janice Collier	miss_collier_1615	89.0	91.1	73.2	"""Quisquam molestiae: Distinctio hic error maiores molestiae	 Officia laboriosam cum labore totam"""	"""Eveniet nam laborum voluptates aspernatur impedit	 Rem mollitia Cumque cupiditate quasi eos voluptatibus"""
Mrs Kerry Marshall	mrs_marshall_5916	50.0	40.1	29.2	"""(Praesentium nulla eaque) 	 Odio and Mollitia eius possimus qui"""	"""(Fuga) 	 Eum inventore veniam and Tempore eaque alias"""
Reece Roberts	reece_roberts_5554	77.0	84.1	79.2	"""Exercitationem omnis	 Ex expedita Vel voluptatum soluta nobis natus nam"""	"""Ipsam error: Inventore sint soluta ratione non	 Laudantium voluptatum quam"""
Emily Robinson	emily_robinson_5929	39.0	39.1	24.2	"""Note: Reiciendis odio error	 then Blanditiis vel exercitationem aliquam"""	"""(Iure ad impedit illum) 	 Reprehenderit adipisci ad iusto and Eaque aut fuga labore"""
Katie Woodward	katie_woodward_8910	61.0	51.1	87.2	"""Nostrum neque; Sed unde 	 Animi explicabo nam eaque"""	"""Dolorum; Unde id tenetur eligendi laborum 	 Et repellat hic ipsum"""
Marian Lewis-Watson	marian_watson_6889		62.1	29.2	"""Nostrum mollitia: Qui animi minus unde corrupti laboriosam	 Molestiae"""	"""(Accusamus est) 	 Delectus accusantium voluptatibus commodi and Cum ipsam sed nostrum itaque"""
Raymond Hudson-Johnson	raymond_johnson_7034	9.0	13.1	69.2	"""(Exercitationem odio dolorum animi) 	 Magni porro and A tempora"""	"""Eveniet iste earum: Provident cupiditate	 Reprehenderit voluptas laudantium"""
Donna Hooper	donna_hooper_1745	76.0	92.1	69.2	"""Nobis architecto	 Facere asperiores ut recusandae Dolore dicta dignissimos natus ea"""	"""Illo eaque	 Reiciendis aspernatur quis iure Quae illum assumenda"""
Sharon Nicholson	sharon_nicholson_5911	45.0	17.1	86.2	"""Molestiae adipisci maxime beatae	 Magni itaque Occaecati"""	"""Note: Illo	 then At illo"""
Stuart Whitehead-Nelson	stuart_nelson_5397	71.0	91.1	7.2	"""Enim earum nesciunt nihil	 Eaque quaerat quod Quas eum"""	"""Soluta assumenda provident	 Aliquid quidem ipsam quod mollitia dolore Exercitationem"""
Amy Curtis	amy_curtis_0354	74.0	35.1	9.2	"""(Magnam nisi ab dolorum itaque eaque) 	 Odio tenetur and Fugiat aspernatur"""	"""Note: Laudantium corrupti nam	 then Sed amet"""
Dr Beverley Parker	dr_parker_1703	89.0	38.1	43.2	"""Tempore earum modi similique esse; Aspernatur aliquid deleniti voluptatem cum 	 Quasi"""	"""Velit: Quos ad laboriosam iusto iste	 Pariatur blanditiis"""
Joseph Robinson	joseph_robinson_1980	56.0	60.1	96.2	"""Note: Id accusamus occaecati	 then Quaerat repellat quae"""	"""Ipsam animi animi: Culpa nostrum in illum placeat	 Dolorum non"""
Mandy Butler	mandy_butler_7635	97.0	82.1	91.2	"""(Fugit blanditiis dolores distinctio) 	 Pariatur accusamus and Vitae laudantium eos occaecati corporis harum"""	"""Unde cum: Iusto	 Blanditiis"""
Melissa Greenwood	melissa_greenwood_3096	64.0	22.1	40.2	"""Note: Laboriosam quisquam	 then Asperiores deserunt laborum expedita quis deleniti"""	"""Corrupti temporibus excepturi vel repudiandae: Recusandae aliquam minima corrupti	 Asperiores nihil nemo blanditiis magnam"""
Shane Sinclair	shane_sinclair_7107	44.0	60.1	70.2	"""Note: Aspernatur nam a tempora nulla	 then Unde suscipit laudantium optio similique"""	"""Nulla earum; Asperiores nulla provident vitae veniam dignissimos 	 Porro mollitia quod cupiditate"""
Alex O'Brien	alex_brien_0238	27.0	48.1	76.2	"""Sed reprehenderit labore exercitationem deleniti fuga: Est praesentium hic aspernatur itaque consequatur	 Vel deleniti"""	"""(Perferendis ex quia impedit) 	 Repudiandae and Dolore dolor quas quisquam"""
Scott Reed	scott_reed_6415	95.0	36.1	5.2	"""Repellendus a: Vel totam natus ipsam voluptatem voluptatem	 Ipsum rem"""	"""Aut fugiat suscipit; Accusamus asperiores minus debitis quam 	 Mollitia veniam pariatur quia voluptas quia libero"""
Dr Frederick Daly	dr_daly_0160	40.0	30.1	44.2	"""Impedit incidunt excepturi quibusdam soluta	 Omnis Sunt natus recusandae"""	"""Eveniet necessitatibus veniam enim; Dolores occaecati 	 Perspiciatis"""
Ms Charlotte Owen	ms_owen_4780	98.0	19.1	81.2	"""(Saepe impedit) 	 Debitis quis molestias and Iusto"""	"""Nobis necessitatibus necessitatibus aut sequi	 Eaque ab impedit Tempore dolore ex eum"""
Dr Damian Evans	dr_evans_0883	35.0	29.1	91.2	"""Rem	 Molestiae tempora Fugit maiores nam molestiae"""	"""Note: Repellat quae iusto	 then Nemo alias"""
Heather Fletcher	heather_fletcher_2935	30.0		73.2	"""Voluptatum asperiores illum voluptatem; Voluptatibus minima tenetur 	 Quos"""	"""Nulla veritatis id iure	 Voluptates placeat consequatur quia autem Assumenda exercitationem"""
Martin Charlton	martin_charlton_7276	5.0	30.1	100.2	"""Note: Eveniet numquam	 then Quis maxime"""	"""Tenetur quia deleniti pariatur: Repellat adipisci	 Accusantium voluptas"""
Marie Edwards	marie_edwards_7382	27.0	92.1	15.2	"""Illum; Repellat 	 Nulla eaque"""	"""Officia officia: Laudantium	 Sint culpa suscipit quidem"""
Sally Smith-Hall	sally_hall_3951	89.0	98.1	33.2	"""Ducimus suscipit; Quasi magnam aspernatur hic quam inventore 	 Maxime similique cupiditate"""	"""Quod minus: Impedit	 Inventore ad"""
Nicola Evans	nicola_evans_9688	57.0	98.1	61.2	"""Consequuntur vel vitae: Quia atque iste	 Nobis ipsam"""	"""Assumenda repudiandae; Repellat recusandae neque 	 Eum reprehenderit"""
Mrs Carol O'Sullivan	mrs_sullivan_3735	7.0	37.1	70.2	"""Note: Explicabo distinctio molestiae quae	 then Ipsum minus"""	"""Voluptate unde ex: Consequatur quos	 Rem aut accusantium impedit itaque minus"""
Karl Lewis	karl_lewis_2684	18.0	24.1	58.2	"""Quas excepturi illum: Possimus incidunt et autem	 Voluptas ratione officiis ipsa cumque quos"""	"""(Sequi reprehenderit aperiam eos) 	 Commodi and Ipsam occaecati"""
l	william_kirby_1713	7.0	36.1	2.2	"""Quia dolorem ex	 Ipsam nobis iure sint Reiciendis dolore"""	"""Note: Fugiat corrupti nostrum	 then Asperiores"""
Edward Ball	edward_ball_0840	73.0	68.1	28.2	"""(Nam consequatur) 	 Nam reiciendis nemo esse and Quasi"""	"""(Voluptates qui repudiandae impedit aperiam) 	 Veniam dolores and At eaque repellat error temporibus"""
Mr Matthew Bruce	mr_bruce_8262	75.0	42.1	3.2	"""(A vero libero inventore quaerat) 	 Laborum debitis eaque and Inventore qui"""	"""(Totam consequatur) 	 Natus officiis and Ad quae ducimus perferendis aperiam rem"""
