# This is a comment line to skip
username;name;price;age;salary;review;note
alvin_joseph_0117;Alvin Joseph;36.0;12.1;86.2;"""Production; Follow out meeting ; Statement traditional guy bag open operation""";"""(Page) ; And than live and Party despite begin how involve"""
jessica_nguyen_7522;Jessica Nguyen;56.0;10.1;3.2;"""These analysis player; Live boy treatment Quality""";"""(Person international maybe watch) ; Yes and Another their hospital"""
vicki_reed_1866;Vicki Reed;96.0;6.1;78.2;"""Notice director: Trouble decide theory career; In main north threat maybe""";"""(Arrive) ; Often few and Authority"""
kathleen_jackson_8452;Kathleen Jackson;31.0;2.1;79.2;"""Baby part between bag: Onto practice; Performance skill study""";"""Note: Join fire allow; then Employee"""
jeffrey_valentine_5235;Jeffrey Valentine;69.0;46.1;13.2;"""Focus: Treatment time; Condition""";"""Process simply star: Social recently ok; First modern like"""
theresa_barnett_8541;Theresa Barnett;12.0;19.1;26.2;"""(More protect decide billion) ; Consider thought half bring magazine and Need different""";"""Group thousand ask notice; Significant able Hit move hot cell"""
cesar_lee_6225;Cesar Lee;63.0;44.1;5.2;"""Economy good day; Base performance Blue change quite significant population""";"""Note: Easy huge ability source; then Establish democratic figure occur"""
kyle_rubio_9552;Kyle Rubio;22.0;98.1;15.2;"""Evening example; Time white close oil that ; Reduce local learn until""";"""Marriage Congress; Quickly to trade foreign person ; Ask upon crime inside"""
peggy_mitchell_4610;Peggy Mitchell;100.0;90.1;23.2;"""(Officer if agent bed) ; Loss see and Level somebody accept weight""";"""Note: Room; then Wall responsibility"""
veronica_romero_4019;Veronica Romero;99.0;31.1;42.2;"""Law within recent some what: Television; Southern""";"""Go school; Fast step later benefit garden opportunity have Learn from"""
sheri_shaw_8016;Sheri Shaw;1.0;8.1;9.2;"""Brother painting hard ten son significant; Between Authority magazine central mind conference""";"""Future; Five street ; A meet none happy century"""
kevin_ortiz_8679;Kevin Ortiz;43.0;35.1;75.2;"""Note: Him enjoy cost whether think; then Edge eat first rest miss""";"""Usually star enough; Something of Very drug young few measure"""
matthew_kelly_2924;Matthew Kelly;28.0;39.1;16.2;"""Note: Event daughter; then Radio yard""";"""(Thus tax place challenge) ; Three successful Democrat and Record short away how piece"""
scott_castaneda_5609;Scott Castaneda;53.0;;95.2;"""I body; Center industry garden collection ; Bar admit person fill bank""";"""Thing policy table process ball enjoy; Together sport ; Factor relate"""
mason_williamson_2038;Mason Williamson;31.0;81.1;80.2;"""Discussion manager bag modern; Agent charge indicate ; Throw reason hot""";"""First if: Lawyer important use much rich; Study bad view"""
robert_church_5268;Robert Church;9.0;6.1;40.2;"""(Long wife) ; Arm pressure child and Seek its song""";"""Note: Bar sea; then Best happy floor week lot"""
carla_griffin_4046;Carla Griffin;63.0;75.1;55.2;"""Note: Get picture within none community to; then Research enjoy""";"""(Experience your nice quite provide central) ; Require tough and Military"""
lisa_taylor_8648;Lisa Taylor;17.0;32.1;18.2;"""(Cell plant team) ; Owner practice degree high dream and Against perhaps teach agree""";"""(My sea) ; Tell heart also your and Service"""
edwin_nelson_3774;Edwin Nelson;35.0;71.1;44.2;"""True present with economy machine; Political safe head plan Central for continue Democrat""";"""Cause: Sound direction like; Point training civil truth easy hospital"""
sarah_harris_4569;Sarah Harris;4.0;59.1;42.2;"""Relate reflect; Certain life great First although""";"""Yeah professional fly recently government; Analysis ; Threat economic deep"""
brian_herring_1768;Brian Herring;59.0;47.1;84.2;"""Real left: Know; Natural""";"""Note: Must example wonder; then Various per"""
patricia_baker_1314;Patricia Baker;36.0;89.1;71.2;"""Drug however real heavy; College per in material no Sister involve minute""";"""Note: Miss friend; then Wonder middle note face page"""
christy_ortiz_5055;Christy Ortiz;56.0;81.1;7.2;"""List environment; To million Republican not Front various perhaps""";"""Note: Draw them design available someone; then Against expert natural keep environment"""
david_powell_2015;David Powell;68.0;71.1;58.2;"""Note: These might music; then Record beyond""";"""(Across discover vote) ; Movement and Enter visit"""
melissa_simmons_1091;Melissa Simmons;44.0;88.1;3.2;"""Share; Evening white speak Tv form""";"""A mouth; National customer agree realize Stock adult"""
mariah_ochoa_2361;Mariah Ochoa;98.0;28.1;5.2;"""Note: Man top true; then Task""";"""Boy south; Arm current Idea significant particularly"""
brittany_thomas_4666;Brittany Thomas;80.0;6.1;76.2;"""(Put today although kid) ; Every and Pay item""";"""Likely chair; Cell audience Mother finally thing"""
brooke_smith_9668;Brooke Smith;65.0;64.1;3.2;"""True beyond exist: Magazine wife; Cell four car require ball and""";"""Professional measure; And each ; Resource bad throw"""
kelly_smith_9896;Kelly Smith;;37.1;8.2;"""Will medical hope always reason majority: Son down explain someone deep give; Surface sound another""";"""(Standard per blood magazine while policy) ; Near and church and Identify degree power relationship either"""
anna_gordon_5573;Anna Gordon;9.0;99.1;21.2;"""Note: This cost begin take seven doctor; then Win nation democratic body guess rest""";"""Particularly a; Leader effect war take writer Pretty vote"""
kathryn_holland_1157;e;7.0;59.1;76.2;"""But particularly: There structure; Someone weight development""";"""Note: Oil; then Worry spring"""
daniel_ellis_9879;Daniel Ellis;34.0;67.1;87.2;"""Compare bill line; Letter any anything black father Specific agreement size management""";"""Move responsibility player: Family conference see factor something network; Third hair"""
