username	name	age	price	note
rita_hill_4137	Rita Hill	55.0	80.1	'''Note: Perspiciatis incidunt	 then Laboriosam voluptates at tempora similique laudantium'''
miss_king_8421	Miss Georgina King	88.0	18.1	'''Eius quisquam illum occaecati	 Unde Debitis animi iusto'''
miss_dixon_1708	Miss Sandra Dixon	97.0	6.1	'''Note: Ad omnis repudiandae	 then Laboriosam optio nostrum esse ipsum ea'''
grace_newton_6766	Grace Newton	74.0	22.1	'''Note: Ullam culpa a	 then Atque'''
george_steele_4467	George Steele	30.0	44.1	'''Repudiandae recusandae quo; Explicabo modi quae alias officiis 	 Enim harum facilis labore quia'''
edward_bird_3835	Edward Bird	61.0	10.1	'''Ipsa voluptate ab	 Mollitia tempore et earum Aspernatur'''
mr_edwards_0228	Mr Gerald Edwards	15.0	59.1	'''Laboriosam ea nam similique: Hic ullam possimus	 Quae eligendi ratione'''
dr_davis_4856	Dr Hannah Davis	5.0	11.1	'''Aperiam consectetur consequatur dicta nulla	 Blanditiis esse Quibusdam quaerat quasi laboriosam unde impedit'''
olivia_buckley_3989	Olivia Buckley	42.0	69.1	'''Labore	 Doloremque adipisci distinctio possimus minus Impedit quaerat quia'''
miss_hartley_4752	Miss Amber Hartley	72.0	25.1	'''(Recusandae) 	 Deserunt ea quam and Ex earum nesciunt odit voluptate'''
sheila_hughes_8625	Sheila Briggs-Hughes	15.0	97.1	'''Note: Molestiae	 then Earum occaecati inventore dolore'''
tony_henry_4113	Tony Henry	95.0	55.1	'''Culpa consequatur sint eligendi; Iure ut perspiciatis 	 Quidem'''
dr_murphy_7008	Dr Billy Murphy	90.0	8.1	'''(Soluta libero) 	 At and Expedita nam consectetur'''
fiona_murray_4583	Fiona Murray		38.1	'''Distinctio aut	 Expedita animi officia officiis Laudantium magni quia eius'''
mrs_russell_2315	Mrs Sharon Russell	32.0	37.1	'''Consequuntur sed: Facilis accusamus	 Porro'''
david_mason_8595	David Mason	29.0	23.1	'''Nulla earum reprehenderit; Alias assumenda 	 Nostrum ipsam autem nemo'''
bernard_smith_5135	Bernard Smith	19.0	10.1	'''Veritatis autem necessitatibus	 Harum velit vitae vel Nobis voluptate suscipit accusantium culpa'''
dr_blake_3638	Dr Abigail Blake	58.0	95.1	'''Sint itaque dolores repellat animi; Itaque ipsum 	 Consequuntur sunt enim'''
bernard_mccarthy_5396	Bernard McCarthy	63.0	47.1	'''Note: Dicta placeat	 then Numquam eius'''
mr_lee_7018	Mr Duncan Lee	6.0	62.1	'''(Magni provident) 	 Amet and Impedit beatae a'''
dr_howard_4590	Dr Nathan Howard	88.0	26.1	'''Perferendis; Soluta 	 Officiis'''
mrs_wyatt_7429	Mrs Stephanie Wyatt	16.0	37.1	'''(Molestiae quasi) 	 Rerum a odit enim similique and Tempore voluptatibus reiciendis cumque'''
barbara_carr_6743	Barbara Morgan-Carr	20.0	55.1	'''Minus minima nisi suscipit; Doloribus quaerat doloremque 	 Tempore officia excepturi'''
phillip_lawrence_9040	e	58.0	12.1	'''Error quaerat adipisci et nesciunt: Aperiam reprehenderit quaerat quia iste	 Maxime iste'''
ms_murphy_4904	Ms Grace Murphy	17.0	32.1	'''Eum reiciendis; Quam consequatur ut fugit 	 Dolor eos quisquam'''
mr_jones_5235	Mr Peter Jones	56.0	21.1	'''(Veniam possimus neque) 	 Voluptatum accusamus and Nulla repellendus odio vel commodi'''
dr_patel_2432	Dr Geoffrey Patel	38.0	89.1	'''(Laudantium recusandae ratione porro) 	 Ex soluta commodi and Non occaecati placeat reprehenderit'''
jake_burgess_0470	Jake Burgess	8.0	42.1	'''Laudantium sapiente; Consequuntur 	 Sunt error'''
