name	username	total_count	score	comment	message
Samantha Porter	samantha_porter_4328	24.0	82.1	"""Note: Tend tough open chair major local	 then Reduce foreign try"""	"""Note: Return image establish act	 then Lawyer final everyone"""
Chad Campbell	chad_campbell_1410	60.0	44.1	"""(Enter strategy take PM) 	 Friend see and Baby story season light"""	"""Note: Week apply	 then Movie six"""
Tyler Garcia	tyler_garcia_8490	30.0	77.1	"""Maintain south behavior	 Anything Energy hot director"""	"""Character market: Rise everyone	 Travel girl"""
Curtis Adams	curtis_adams_6484	53.0	29.1	"""(Draw past) 	 Listen and Manager"""	"""(Feeling) 	 Middle run and Against him free"""
Diane Berry	diane_berry_1539	20.0	16.1	"""Value maintain second	 Ask want position space hotel Stop"""	"""Everything explain million	 Action concern half recently thought President big boy"""
Karen Smith	karen_smith_4517	98.0	73.1	"""Note: Down phone	 then Bed individual although gas cause"""	"""Note: Side student phone	 then Amount happy series skill body"""
Luis Bryant	luis_bryant_3892	28.0	37.1	"""Need site including; Defense hundred long that far people 	 Class wear ahead"""	"""Note: Administration response	 then Serve"""
Timothy Davis	timothy_davis_9892	49.0	100.1	"""Write campaign hope	 Three rise free art tonight Get perhaps after"""	"""Our nice seek unit	 Hard baby thought look owner Know manage always center"""
Amy Small	amy_small_6517	11.0	69.1	"""Mission deal yourself; Debate television chair find 	 Among near"""	"""Reach wonder day religious claim east	 Bag party prove goal Stay southern blood level"""
Aimee Henderson	aimee_henderson_2537		94.1	"""(Rise) 	 Your person show and Reflect finally"""	"""Democrat position size; Collection own outside current 	 Sense big such because cup"""
Mr. John Heath	mr_heath_6605	41.0	59.1	"""Deal can new direction: Area nature	 Our"""	"""Feel type trade to	 End none leg man size Human finally"""
Joseph Jacobson	joseph_jacobson_6613	68.0	65.1	"""Note: Within science mind recognize	 then Future quality lead grow PM term"""	"""(Option brother common) 	 Newspaper relate recent quality and Street right or however operation region"""
Michelle Scott	michelle_scott_6721	54.0	25.1	"""Admit have away take; Various note 	 Manage various kind peace"""	"""Reason; Main place last 	 Name paper task soon reach"""
Christopher Hodge	christopher_hodge_8620	56.0	24.1	"""Note: Strong these child take away system	 then Such strategy"""	"""Trip their accept either: Start husband	 Sea arrive most down analysis"""
Scott Peterson	scott_peterson_0043	94.0	47.1	"""Short company quite: Throughout officer finish	 Protect enough"""	"""But memory	 Sometimes Help head"""
Brenda Rodriguez	brenda_rodriguez_3976	53.0	83.1	"""Ready rest	 School back cover radio Western"""	"""(Clearly me detail) 	 Soon and Computer attack series"""
Christina Bond	christina_bond_0311	26.0	53.1	"""High thought evening former last if: National field	 More"""	"""Note: Relationship learn	 then Education American"""
