name	rating	comment	remark
Denise Foster	78.0	"""Note: Teach	 then Center I list high"""	"""(Try information) 	 And choose treatment girl change and Read week leader case student"""
Matthew Jones	59.0	"""Rock social after share	 Write defense Trip day evening weight avoid"""	"""Chair suddenly someone; Simple assume firm 	 Worry plan range yourself lot"""
Patrick Gallagher	61.0	"""Serious; Raise 	 Week long group"""	"""Note: Fish	 then While degree require kitchen"""
Alyssa Davis	71.0	"""(Speech understand performance leader various) 	 Great only decade about and Clearly although reach"""	"""(Whatever us present clear) 	 Scene several beat and Few especially senior late"""
Eric Jefferson	50.0	"""(Where size present dream seek test focus) 	 Maintain north a and Prepare ok"""	"""Country enough myself	 Former whom voice red Too"""
Vincent Wilson	7.0	"""Wear relationship; Economy law actually many base 	 Security"""	"""Note: Notice any very	 then Follow company tax look manager remember"""
Zachary Villa	48.0	"""(Area) 	 Ready and That week"""	"""Letter line rest somebody; Throughout major they 	 Water head same ask"""
Cynthia Fowler	8.0	"""Point whose	 Expect place Employee score fall staff oil carry"""	"""Pm decide trial; Management claim 	 Degree could quickly customer nature process"""
Maria Levine	66.0	"""(Tv cause) 	 Cause bag and Science"""	"""Score	 Support present organization threat ready material Wish others"""
David Durham	8.0	"""Nothing center now safe else: Move language should water	 Never"""	"""Laugh free away require phone father: Record move soldier smile	 Trade military"""
Ariana Glenn	78.0	"""Prepare much along address bring	 Try north often Learn next yet late join"""	"""Car large perform early; Beautiful 	 Event study political health"""
Lauren Perry	87.0	"""Condition name: Me agent participant	 Health agree official successful"""	"""(Add) 	 Than increase and Action source"""
Joe Chambers		"""Government test: Civil American work	 Indicate"""	"""Prevent write	 Institution state Box past"""
Jason Fritz	10.0	"""(About) 	 Everybody process challenge and Race national keep"""	"""Note: Serve	 then Wife window"""
x	90.0	"""Nice head	 Budget above easy your fire Debate"""	"""Discover outside	 Loss once today floor Consumer opportunity among"""
Sandra Vasquez	51.0	"""Position lay in	 Receive hair Time table especially"""	"""Note: Any surface keep	 then Pretty election direction"""
Michelle Evans	88.0	"""(Me produce control truth talk) 	 Let and Sure seat"""	"""Common special; May especially lot 	 Base stage voice"""
Laura Smith	77.0	"""Start: Perform civil	 Focus first"""	"""Note: Body subject movie	 then If sense site"""
